Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551100203,2019-02-25T13:10:03Z,PAL126,"14.511566,121.013596",0,9,171
1551100268,2019-02-25T13:11:08Z,PAL126,"14.51202,121.013466",0,2,135
1551100799,2019-02-25T13:19:59Z,PAL126,"14.50827,121.015732",0,23,236
1551100816,2019-02-25T13:20:16Z,PAL126,"14.507854,121.014992",0,27,239
1551100822,2019-02-25T13:20:22Z,PAL126,"14.507679,121.014702",0,28,239
1551100830,2019-02-25T13:20:30Z,PAL126,"14.507504,121.01442",0,30,239
1551100849,2019-02-25T13:20:49Z,PAL126,"14.506897,121.013374",0,34,239
1551100856,2019-02-25T13:20:56Z,PAL126,"14.506643,121.012947",0,15,239
1551100864,2019-02-25T13:21:04Z,PAL126,"14.506352,121.012451",0,15,239
1551100870,2019-02-25T13:21:10Z,PAL126,"14.506039,121.011932",0,16,239
1551100877,2019-02-25T13:21:17Z,PAL126,"14.50573,121.011406",0,18,239
1551100885,2019-02-25T13:21:25Z,PAL126,"14.505375,121.01078",0,20,241
1551100896,2019-02-25T13:21:36Z,PAL126,"14.504871,121.009903",0,22,239
1551100905,2019-02-25T13:21:45Z,PAL126,"14.504391,121.009087",0,18,239
1551100941,2019-02-25T13:22:21Z,PAL126,"14.502834,121.008003",0,24,216
1551100947,2019-02-25T13:22:27Z,PAL126,"14.503466,121.007492",0,26,236
1551100976,2019-02-25T13:22:56Z,PAL126,"14.502651,121.005928",0,34,239
1551101022,2019-02-25T13:23:42Z,PAL126,"14.50074,121.002495",0,21,239
1551101034,2019-02-25T13:23:54Z,PAL126,"14.500196,121.001518",0,20,239
1551101040,2019-02-25T13:24:00Z,PAL126,"14.499939,121.001038",0,19,239
1551101049,2019-02-25T13:24:09Z,PAL126,"14.499538,121.000328",0,34,239
1551101056,2019-02-25T13:24:16Z,PAL126,"14.499344,121",0,27,239
1551101064,2019-02-25T13:24:24Z,PAL126,"14.499184,120.999718",0,17,239
1551101072,2019-02-25T13:24:32Z,PAL126,"14.498909,120.99958",0,20,210
1551101179,2019-02-25T13:26:19Z,PAL126,"14.498578,120.999756",0,12,171
1551101212,2019-02-25T13:26:52Z,PAL126,"14.498008,121.000603",0,25,98
1551101237,2019-02-25T13:27:17Z,PAL126,"14.498692,121.001656",0,26,59
1551101290,2019-02-25T13:28:10Z,PAL126,"14.514802,121.030113",450,183,58
1551101297,2019-02-25T13:28:17Z,PAL126,"14.517549,121.0345",725,182,57
1551101304,2019-02-25T13:28:24Z,PAL126,"14.520401,121.038979",1025,179,56
1551101315,2019-02-25T13:28:35Z,PAL126,"14.525881,121.047607",1550,178,57
1551101322,2019-02-25T13:28:42Z,PAL126,"14.528595,121.05191",1750,178,57
1551101328,2019-02-25T13:28:48Z,PAL126,"14.531188,121.056129",1900,180,57
1551101334,2019-02-25T13:28:54Z,PAL126,"14.534088,121.06086",2000,186,57
1551101341,2019-02-25T13:29:01Z,PAL126,"14.536743,121.065308",2075,192,58
1551101352,2019-02-25T13:29:12Z,PAL126,"14.542465,121.075111",2225,204,59
1551101364,2019-02-25T13:29:24Z,PAL126,"14.548599,121.086006",2400,217,59
1551101370,2019-02-25T13:29:30Z,PAL126,"14.551758,121.091545",2475,223,59
1551101380,2019-02-25T13:29:40Z,PAL126,"14.558258,121.102959",2675,235,58
1551101388,2019-02-25T13:29:48Z,PAL126,"14.561966,121.108643",2750,241,53
1551101396,2019-02-25T13:29:56Z,PAL126,"14.568558,121.115364",2850,248,38
1551101402,2019-02-25T13:30:02Z,PAL126,"14.575227,121.119255",2950,254,23
1551101408,2019-02-25T13:30:08Z,PAL126,"14.582565,121.121284",3025,260,8
1551101432,2019-02-25T13:30:32Z,PAL126,"14.611863,121.117813",3650,273,350
1551101438,2019-02-25T13:30:38Z,PAL126,"14.619644,121.116592",3850,275,351
1551101445,2019-02-25T13:30:45Z,PAL126,"14.627289,121.115601",4050,276,352
1551101457,2019-02-25T13:30:57Z,PAL126,"14.642355,121.113907",4600,271,354
1551101463,2019-02-25T13:31:03Z,PAL126,"14.650177,121.113091",4900,269,354
1551101469,2019-02-25T13:31:09Z,PAL126,"14.657547,121.112381",5150,268,354
