Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549607496,2019-02-08T06:31:36Z,PAL127,"40.641701,-73.792877",0,0,320
1549607529,2019-02-08T06:32:09Z,PAL127,"40.641781,-73.793167",0,2,106
1549607549,2019-02-08T06:32:29Z,PAL127,"40.641815,-73.793404",0,9,112
1549607572,2019-02-08T06:32:52Z,PAL127,"40.641815,-73.793671",0,2,129
1549607643,2019-02-08T06:34:03Z,PAL127,"40.64217,-73.794205",0,2,216
1549607690,2019-02-08T06:34:50Z,PAL127,"40.642262,-73.79425",0,0,271
1549607953,2019-02-08T06:39:13Z,PAL127,"40.642162,-73.794601",0,0,249
1549608040,2019-02-08T06:40:40Z,PAL127,"40.640705,-73.795441",0,21,163
1549608048,2019-02-08T06:40:48Z,PAL127,"40.640476,-73.795242",0,22,149
1549608057,2019-02-08T06:40:57Z,PAL127,"40.640236,-73.794876",0,23,132
1549608063,2019-02-08T06:41:03Z,PAL127,"40.640099,-73.794571",0,24,123
1549608069,2019-02-08T06:41:09Z,PAL127,"40.63995,-73.794235",0,25,120
1549608077,2019-02-08T06:41:17Z,PAL127,"40.639709,-73.793747",0,26,120
1549608084,2019-02-08T06:41:24Z,PAL127,"40.639549,-73.793396",0,28,120
1549608099,2019-02-08T06:41:39Z,PAL127,"40.639034,-73.792328",0,34,120
1549608107,2019-02-08T06:41:47Z,PAL127,"40.638805,-73.791824",0,16,120
1549608117,2019-02-08T06:41:57Z,PAL127,"40.638302,-73.790756",0,18,120
1549608133,2019-02-08T06:42:13Z,PAL127,"40.637569,-73.78923",0,20,120
1549608143,2019-02-08T06:42:23Z,PAL127,"40.637135,-73.788284",0,21,120
1549608154,2019-02-08T06:42:34Z,PAL127,"40.636642,-73.787247",0,28,120
1549608160,2019-02-08T06:42:40Z,PAL127,"40.636436,-73.786835",0,31,120
1549608167,2019-02-08T06:42:47Z,PAL127,"40.63623,-73.786407",0,33,120
1549608181,2019-02-08T06:43:01Z,PAL127,"40.635658,-73.785179",0,16,120
1549608187,2019-02-08T06:43:07Z,PAL127,"40.635406,-73.784653",0,17,120
1549608195,2019-02-08T06:43:15Z,PAL127,"40.635147,-73.784073",0,18,120
1549608205,2019-02-08T06:43:25Z,PAL127,"40.634548,-73.782837",0,17,120
