Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549775814,2019-02-10T05:16:54Z,PAL127,"40.641418,-73.792328",0,0,326
1549776316,2019-02-10T05:25:16Z,PAL127,"40.641418,-73.792328",0,0,180
1549776616,2019-02-10T05:30:16Z,PAL127,"40.641418,-73.792328",0,0,180
1549776671,2019-02-10T05:31:11Z,PAL127,"40.641418,-73.792328",0,0,180
1549776817,2019-02-10T05:33:37Z,PAL127,"40.641415,-73.792328",0,0,180
1549777057,2019-02-10T05:37:37Z,PAL127,"40.641418,-73.792328",0,0,180
1549777183,2019-02-10T05:39:43Z,PAL127,"40.641418,-73.792328",0,0,180
1549777511,2019-02-10T05:45:11Z,PAL127,"40.641415,-73.792328",0,0,180
1549777567,2019-02-10T05:46:07Z,PAL127,"40.641418,-73.792328",0,0,180
1549777713,2019-02-10T05:48:33Z,PAL127,"40.641415,-73.792328",0,0,180
1549782399,2019-02-10T07:06:39Z,PAL127,"40.641418,-73.792328",0,0,180
1549782602,2019-02-10T07:10:02Z,PAL127,"40.640488,-73.791718",0,9,222
1549782625,2019-02-10T07:10:25Z,PAL127,"40.640327,-73.791946",0,9,225
1549782650,2019-02-10T07:10:50Z,PAL127,"40.640125,-73.792198",0,2,225
1549782867,2019-02-10T07:14:27Z,PAL127,"40.640034,-73.792404",0,0,221
1549782973,2019-02-10T07:16:13Z,PAL127,"40.639893,-73.792625",0,12,225
1549782985,2019-02-10T07:16:25Z,PAL127,"40.639675,-73.792923",0,18,225
1549782998,2019-02-10T07:16:38Z,PAL127,"40.639423,-73.793259",0,17,225
1549783009,2019-02-10T07:16:49Z,PAL127,"40.639149,-73.793594",0,20,222
1549783017,2019-02-10T07:16:57Z,PAL127,"40.638931,-73.793655",0,19,205
1549783027,2019-02-10T07:17:07Z,PAL127,"40.638668,-73.793472",0,18,163
1549783034,2019-02-10T07:17:14Z,PAL127,"40.638557,-73.793243",0,16,143
1549783047,2019-02-10T07:17:27Z,PAL127,"40.638359,-73.792809",0,18,120
1549783059,2019-02-10T07:17:39Z,PAL127,"40.638149,-73.792374",0,19,120
1549783065,2019-02-10T07:17:45Z,PAL127,"40.638039,-73.79216",0,19,120
1549783071,2019-02-10T07:17:51Z,PAL127,"40.637905,-73.791901",0,20,120
1549783077,2019-02-10T07:17:57Z,PAL127,"40.637775,-73.791626",0,23,120
1549783085,2019-02-10T07:18:05Z,PAL127,"40.637627,-73.791321",0,25,120
1549783099,2019-02-10T07:18:19Z,PAL127,"40.637215,-73.790497",0,26,120
1549783110,2019-02-10T07:18:30Z,PAL127,"40.636929,-73.789917",0,29,120
1549783123,2019-02-10T07:18:43Z,PAL127,"40.636448,-73.78891",0,15,120
1549783131,2019-02-10T07:18:51Z,PAL127,"40.636185,-73.788345",0,16,120
1549783147,2019-02-10T07:19:07Z,PAL127,"40.635403,-73.786705",0,18,120
1549783154,2019-02-10T07:19:14Z,PAL127,"40.635124,-73.786133",0,18,120
1549783160,2019-02-10T07:19:20Z,PAL127,"40.634857,-73.785553",0,18,120
1549783166,2019-02-10T07:19:26Z,PAL127,"40.634583,-73.785004",0,18,120
1549783172,2019-02-10T07:19:32Z,PAL127,"40.634331,-73.784462",0,17,120
1549783178,2019-02-10T07:19:38Z,PAL127,"40.634075,-73.783913",0,17,120
1549783185,2019-02-10T07:19:45Z,PAL127,"40.633808,-73.783386",0,34,120
1549783196,2019-02-10T07:19:56Z,PAL127,"40.633369,-73.782471",0,30,120
1549783204,2019-02-10T07:20:04Z,PAL127,"40.633198,-73.78212",0,26,120
1549783210,2019-02-10T07:20:10Z,PAL127,"40.633064,-73.781837",0,19,120
1549783220,2019-02-10T07:20:20Z,PAL127,"40.6329,-73.781357",0,19,109
1549783227,2019-02-10T07:20:27Z,PAL127,"40.632843,-73.781105",0,16,106
1549783233,2019-02-10T07:20:33Z,PAL127,"40.632816,-73.780899",0,16,101
1549783246,2019-02-10T07:20:46Z,PAL127,"40.632538,-73.78067",0,19,135
1549783254,2019-02-10T07:20:54Z,PAL127,"40.632214,-73.780777",0,21,177
1549783263,2019-02-10T07:21:03Z,PAL127,"40.631905,-73.78093",0,20,191
1549783269,2019-02-10T07:21:09Z,PAL127,"40.631676,-73.780991",0,22,191
1549783276,2019-02-10T07:21:16Z,PAL127,"40.631443,-73.781029",0,22,188
1549783283,2019-02-10T07:21:23Z,PAL127,"40.631199,-73.781059",0,21,185
1549783291,2019-02-10T07:21:31Z,PAL127,"40.631397,-73.780251",0,25,188
1549783302,2019-02-10T07:21:42Z,PAL127,"40.630932,-73.780525",0,31,202
1549783310,2019-02-10T07:21:50Z,PAL127,"40.630463,-73.780899",0,15,210
1549783318,2019-02-10T07:21:58Z,PAL127,"40.629852,-73.781387",0,16,210
1549783325,2019-02-10T07:22:05Z,PAL127,"40.62941,-73.781723",0,17,210
1549783332,2019-02-10T07:22:12Z,PAL127,"40.628963,-73.782074",0,18,210
1549783338,2019-02-10T07:22:18Z,PAL127,"40.628551,-73.78241",0,18,210
1549783351,2019-02-10T07:22:31Z,PAL127,"40.627605,-73.783134",0,19,210
1549783362,2019-02-10T07:22:42Z,PAL127,"40.626663,-73.783875",0,19,210
1549783369,2019-02-10T07:22:49Z,PAL127,"40.626171,-73.784256",0,20,210
1549783379,2019-02-10T07:22:59Z,PAL127,"40.625195,-73.785019",0,18,210
1549783387,2019-02-10T07:23:07Z,PAL127,"40.624813,-73.785316",0,34,210
1549783398,2019-02-10T07:23:18Z,PAL127,"40.624077,-73.785896",0,15,210
1549783405,2019-02-10T07:23:25Z,PAL127,"40.623684,-73.786209",0,15,210
1549783416,2019-02-10T07:23:36Z,PAL127,"40.623032,-73.786705",0,23,210
1549783425,2019-02-10T07:23:45Z,PAL127,"40.622715,-73.786743",0,22,188
1549783431,2019-02-10T07:23:51Z,PAL127,"40.622532,-73.786499",0,23,154
1549783437,2019-02-10T07:23:57Z,PAL127,"40.622429,-73.78627",0,25,137
1549783448,2019-02-10T07:24:08Z,PAL127,"40.622234,-73.78569",0,22,115
1549783454,2019-02-10T07:24:14Z,PAL127,"40.622292,-73.785294",0,18,87
1549783466,2019-02-10T07:24:26Z,PAL127,"40.622532,-73.785141",0,16,47
1549783473,2019-02-10T07:24:33Z,PAL127,"40.622753,-73.785034",0,18,30
1549783479,2019-02-10T07:24:39Z,PAL127,"40.623169,-73.784698",0,30,30
1549783485,2019-02-10T07:24:45Z,PAL127,"40.624111,-73.783966",0,55,30
1549783493,2019-02-10T07:24:53Z,PAL127,"40.625813,-73.782654",0,82,30
1549783500,2019-02-10T07:25:00Z,PAL127,"40.629444,-73.779808",0,115,30
1549783506,2019-02-10T07:25:06Z,PAL127,"40.632843,-73.777161",0,140,30
1549783514,2019-02-10T07:25:14Z,PAL127,"40.636333,-73.774376",0,159,30
1549783525,2019-02-10T07:25:25Z,PAL127,"40.644745,-73.767639",0,169,31
1549783531,2019-02-10T07:25:31Z,PAL127,"40.648453,-73.764587",0,169,32
1549783537,2019-02-10T07:25:37Z,PAL127,"40.652626,-73.760773",250,170,38
1549783543,2019-02-10T07:25:43Z,PAL127,"40.655884,-73.75634",525,171,52
1549783549,2019-02-10T07:25:49Z,PAL127,"40.658157,-73.750732",850,172,69
1549783555,2019-02-10T07:25:55Z,PAL127,"40.659302,-73.744873",1075,176,79
1549783565,2019-02-10T07:26:05Z,PAL127,"40.66008,-73.734497",1275,188,87
1549783576,2019-02-10T07:26:16Z,PAL127,"40.660172,-73.72052",1350,205,90
1549783583,2019-02-10T07:26:23Z,PAL127,"40.660076,-73.712334",1450,212,90
1549783593,2019-02-10T07:26:33Z,PAL127,"40.660027,-73.700974",1600,220,90
1549783613,2019-02-10T07:26:53Z,PAL127,"40.661797,-73.671135",1925,241,73
1549783621,2019-02-10T07:27:01Z,PAL127,"40.6665,-73.658897",2050,249,54
1549783627,2019-02-10T07:27:07Z,PAL127,"40.671066,-73.651733",2150,254,46
1549783635,2019-02-10T07:27:15Z,PAL127,"40.676182,-73.645416",2300,257,41
1549783642,2019-02-10T07:27:22Z,PAL127,"40.681686,-73.639343",2525,258,39
1549783683,2019-02-10T07:28:03Z,PAL127,"40.72208,-73.597038",4375,257,39
1549783689,2019-02-10T07:28:09Z,PAL127,"40.726738,-73.592041",4600,257,39
1549783703,2019-02-10T07:28:23Z,PAL127,"40.740562,-73.576935",5075,263,39
1549783720,2019-02-10T07:28:40Z,PAL127,"40.756809,-73.558769",5575,270,40
1549783737,2019-02-10T07:28:57Z,PAL127,"40.772125,-73.540985",6075,276,41
1549783751,2019-02-10T07:29:11Z,PAL127,"40.786423,-73.523926",6525,283,42
1549783768,2019-02-10T07:29:28Z,PAL127,"40.801781,-73.50528",7100,285,43
1549783779,2019-02-10T07:29:39Z,PAL127,"40.81192,-73.493164",7475,285,40
1549783792,2019-02-10T07:29:52Z,PAL127,"40.827988,-73.477234",7975,284,32
1549783798,2019-02-10T07:29:58Z,PAL127,"40.8339,-73.472694",8125,282,28
1549783809,2019-02-10T07:30:09Z,PAL127,"40.846748,-73.464828",8475,280,23
1549783830,2019-02-10T07:30:30Z,PAL127,"40.871655,-73.450409",9125,287,24
1549783845,2019-02-10T07:30:45Z,PAL127,"40.890335,-73.438904",9550,293,25
1549783855,2019-02-10T07:30:55Z,PAL127,"40.903355,-73.430809",9675,303,24
1549783870,2019-02-10T07:31:10Z,PAL127,"40.923386,-73.41864",9850,318,24
1549783887,2019-02-10T07:31:27Z,PAL127,"40.945114,-73.405403",10050,332,24
1549783902,2019-02-10T07:31:42Z,PAL127,"40.967274,-73.391914",10250,346,24
1549783912,2019-02-10T07:31:52Z,PAL127,"40.982346,-73.382202",10475,355,28
1549783928,2019-02-10T07:32:08Z,PAL127,"41.004547,-73.364441",11025,361,32
1549783939,2019-02-10T07:32:19Z,PAL127,"41.019516,-73.351929",11325,364,32
1549783955,2019-02-10T07:32:35Z,PAL127,"41.041809,-73.333679",11700,370,31
1549783969,2019-02-10T07:32:49Z,PAL127,"41.064148,-73.31543",12175,373,31
1549784000,2019-02-10T07:33:20Z,PAL127,"41.110153,-73.277832",13375,372,31
1549784032,2019-02-10T07:33:52Z,PAL127,"41.156414,-73.240044",14325,378,31
1549784062,2019-02-10T07:34:22Z,PAL127,"41.202782,-73.202278",15125,384,31
1549784095,2019-02-10T07:34:55Z,PAL127,"41.250046,-73.163269",16100,385,31
1549784127,2019-02-10T07:35:27Z,PAL127,"41.301144,-73.121376",16925,392,31
1549784159,2019-02-10T07:35:59Z,PAL127,"41.351002,-73.080307",17750,396,31
1549784190,2019-02-10T07:36:30Z,PAL127,"41.400513,-73.039482",18650,397,31
1549784212,2019-02-10T07:36:52Z,PAL127,"41.434284,-73.017433",19100,385,21
1549784274,2019-02-10T07:37:54Z,PAL127,"41.53912,-72.962379",20600,396,22
1549784340,2019-02-10T07:39:00Z,PAL127,"41.652283,-72.901093",22175,401,22
1549784403,2019-02-10T07:40:03Z,PAL127,"41.760849,-72.842354",23450,408,22
1549784467,2019-02-10T07:41:07Z,PAL127,"41.873878,-72.780655",24750,416,22
1549784530,2019-02-10T07:42:10Z,PAL127,"41.987606,-72.718315",25900,422,22
1549784596,2019-02-10T07:43:16Z,PAL127,"42.106018,-72.653275",26850,431,22
1549784661,2019-02-10T07:44:21Z,PAL127,"42.227161,-72.586288",27925,434,22
1549784725,2019-02-10T07:45:25Z,PAL127,"42.347809,-72.519501",28950,439,22
1549784791,2019-02-10T07:46:31Z,PAL127,"42.470078,-72.45134",29925,439,22
1549784856,2019-02-10T07:47:36Z,PAL127,"42.592598,-72.382973",30400,443,22
1549784922,2019-02-10T07:48:42Z,PAL127,"42.716263,-72.313324",31350,440,22
1549784982,2019-02-10T07:49:42Z,PAL127,"42.833542,-72.247368",31850,443,22
1549785044,2019-02-10T07:50:44Z,PAL127,"42.950684,-72.181137",32150,451,22
1549785107,2019-02-10T07:51:47Z,PAL127,"43.072083,-72.112152",32375,461,22
1549785167,2019-02-10T07:52:47Z,PAL127,"43.19426,-72.042397",32550,472,22
1549785229,2019-02-10T07:53:49Z,PAL127,"43.319275,-71.970543",33025,474,22
1549785291,2019-02-10T07:54:51Z,PAL127,"43.443787,-71.898872",33300,479,22
1549785351,2019-02-10T07:55:51Z,PAL127,"43.568115,-71.826759",33800,477,22
1549785414,2019-02-10T07:56:54Z,PAL127,"43.694641,-71.753304",34075,481,22
1549785475,2019-02-10T07:57:55Z,PAL127,"43.821396,-71.679276",34350,482,23
1549785536,2019-02-10T07:58:56Z,PAL127,"43.945591,-71.606339",34625,482,22
1549785598,2019-02-10T07:59:58Z,PAL127,"44.072708,-71.531471",34850,482,23
1549785659,2019-02-10T08:00:59Z,PAL127,"44.199692,-71.456253",35025,484,22
1549785721,2019-02-10T08:02:01Z,PAL127,"44.327042,-71.380531",35000,490,23
1549785783,2019-02-10T08:03:03Z,PAL127,"44.456223,-71.303146",35000,490,23
1549785845,2019-02-10T08:04:05Z,PAL127,"44.58252,-71.22731",35000,482,23
1549785905,2019-02-10T08:05:05Z,PAL127,"44.707901,-71.151779",35000,484,23
1549785967,2019-02-10T08:06:07Z,PAL127,"44.835388,-71.074478",35000,489,23
1549786029,2019-02-10T08:07:09Z,PAL127,"44.963039,-70.996597",35000,486,23
1549786090,2019-02-10T08:08:10Z,PAL127,"45.089985,-70.918892",35000,485,23
1549786151,2019-02-10T08:09:11Z,PAL127,"45.21619,-70.841385",35000,489,23
1549786213,2019-02-10T08:10:13Z,PAL127,"45.344578,-70.761871",35000,492,23
1549786274,2019-02-10T08:11:14Z,PAL127,"45.473576,-70.681747",35000,494,23
1549786337,2019-02-10T08:12:17Z,PAL127,"45.603378,-70.600693",35000,491,23
1549786346,2019-02-10T08:12:26Z,PAL127,"45.622032,-70.589081",35000,491,23
1549786433,2019-02-10T08:13:53Z,PAL127,"45.804794,-70.474136",35000,497,23
1549786493,2019-02-10T08:14:53Z,PAL127,"45.932674,-70.393181",35000,493,24
1549786555,2019-02-10T08:15:55Z,PAL127,"46.059402,-70.312637",35000,495,23
1549786616,2019-02-10T08:16:56Z,PAL127,"46.188583,-70.230705",35000,492,21
1549786678,2019-02-10T08:17:58Z,PAL127,"46.320316,-70.173386",35000,483,16
1549786739,2019-02-10T08:18:59Z,PAL127,"46.450882,-70.11602",35000,481,16
1549786801,2019-02-10T08:20:01Z,PAL127,"46.581799,-70.058922",35000,479,16
1549786864,2019-02-10T08:21:04Z,PAL127,"46.710842,-70.002068",35000,475,16
1549786922,2019-02-10T08:22:02Z,PAL127,"46.839512,-69.945351",35000,474,16
1549786983,2019-02-10T08:23:03Z,PAL127,"46.967995,-69.888329",35000,478,16
1549787044,2019-02-10T08:24:04Z,PAL127,"47.098064,-69.830299",35000,482,17
1549787107,2019-02-10T08:25:07Z,PAL127,"47.228943,-69.771629",35000,484,17
1549787169,2019-02-10T08:26:09Z,PAL127,"47.359268,-69.712967",35000,482,17
1549787228,2019-02-10T08:27:08Z,PAL127,"47.488541,-69.654282",35000,480,17
1549787290,2019-02-10T08:28:10Z,PAL127,"47.6194,-69.594727",35000,483,17
1549787350,2019-02-10T08:29:10Z,PAL127,"47.748093,-69.535561",35000,470,17
1549787414,2019-02-10T08:30:14Z,PAL127,"47.874344,-69.477745",35025,469,17
1549787474,2019-02-10T08:31:14Z,PAL127,"48.00206,-69.418732",35000,473,17
1549787536,2019-02-10T08:32:16Z,PAL127,"48.131149,-69.358589",35000,481,17
1549787599,2019-02-10T08:33:19Z,PAL127,"48.266476,-69.295326",35000,478,17
1549787667,2019-02-10T08:34:27Z,PAL127,"48.410835,-69.227531",35000,483,17
1549787731,2019-02-10T08:35:31Z,PAL127,"48.547047,-69.163055",35000,485,17
