Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550558806,2019-02-19T06:46:46Z,PAL127,"40.64233,-73.790894",0,0,337
1550558846,2019-02-19T06:47:26Z,PAL127,"40.642082,-73.790718",0,10,345
1550558928,2019-02-19T06:48:48Z,PAL127,"40.641998,-73.790649",0,0,148
1550558948,2019-02-19T06:49:08Z,PAL127,"40.641769,-73.790543",0,10,11
1550558966,2019-02-19T06:49:26Z,PAL127,"40.641548,-73.790512",0,10,28
1550558977,2019-02-19T06:49:37Z,PAL127,"40.642048,-73.790688",0,10,42
1550559027,2019-02-19T06:50:27Z,PAL127,"40.640934,-73.791138",0,12,225
1550559041,2019-02-19T06:50:41Z,PAL127,"40.640766,-73.791344",0,11,224
1550559063,2019-02-19T06:51:03Z,PAL127,"40.640522,-73.791656",0,10,225
1550559085,2019-02-19T06:51:25Z,PAL127,"40.640301,-73.791939",0,12,230
1550559102,2019-02-19T06:51:42Z,PAL127,"40.640121,-73.792145",0,9,50
1550559129,2019-02-19T06:52:09Z,PAL127,"40.639904,-73.792328",0,10,67
1550559145,2019-02-19T06:52:25Z,PAL127,"40.639709,-73.792542",0,10,106
1550559160,2019-02-19T06:52:40Z,PAL127,"40.639709,-73.792778",0,11,126
1550559175,2019-02-19T06:52:55Z,PAL127,"40.639847,-73.793015",0,11,126
1550559188,2019-02-19T06:53:08Z,PAL127,"40.639919,-73.793228",0,11,120
1550559204,2019-02-19T06:53:24Z,PAL127,"40.640007,-73.793442",0,2,120
1550559438,2019-02-19T06:57:18Z,PAL127,"40.639893,-73.793182",0,13,120
1550559447,2019-02-19T06:57:27Z,PAL127,"40.63979,-73.792953",0,15,120
1550559455,2019-02-19T06:57:35Z,PAL127,"40.639671,-73.792686",0,16,120
1550559466,2019-02-19T06:57:46Z,PAL127,"40.639526,-73.792374",0,17,120
1550559475,2019-02-19T06:57:55Z,PAL127,"40.639393,-73.792076",0,18,120
1550559488,2019-02-19T06:58:08Z,PAL127,"40.639183,-73.791611",0,20,120
1550559494,2019-02-19T06:58:14Z,PAL127,"40.639069,-73.791382",0,20,120
1550559502,2019-02-19T06:58:22Z,PAL127,"40.638893,-73.79097",0,21,120
1550559511,2019-02-19T06:58:31Z,PAL127,"40.638706,-73.790565",0,22,120
1550559519,2019-02-19T06:58:39Z,PAL127,"40.638588,-73.790298",0,23,120
1550559528,2019-02-19T06:58:48Z,PAL127,"40.638359,-73.78978",0,24,120
1550559535,2019-02-19T06:58:55Z,PAL127,"40.638195,-73.789421",0,24,120
1550559543,2019-02-19T06:59:03Z,PAL127,"40.638042,-73.789078",0,24,120
1550559555,2019-02-19T06:59:15Z,PAL127,"40.637695,-73.78833",0,25,120
1550559564,2019-02-19T06:59:24Z,PAL127,"40.63752,-73.787926",0,25,120
1550559578,2019-02-19T06:59:38Z,PAL127,"40.637192,-73.787216",0,24,120
1550559591,2019-02-19T06:59:51Z,PAL127,"40.63689,-73.786552",0,24,120
1550559600,2019-02-19T07:00:00Z,PAL127,"40.636677,-73.786072",0,25,120
1550559607,2019-02-19T07:00:07Z,PAL127,"40.636505,-73.78569",0,26,120
1550559613,2019-02-19T07:00:13Z,PAL127,"40.636356,-73.785362",0,26,120
1550559619,2019-02-19T07:00:19Z,PAL127,"40.636196,-73.785004",0,26,120
1550559627,2019-02-19T07:00:27Z,PAL127,"40.635979,-73.784515",0,25,120
1550559633,2019-02-19T07:00:33Z,PAL127,"40.63583,-73.784195",0,23,120
1550559643,2019-02-19T07:00:43Z,PAL127,"40.635647,-73.783806",0,20,120
1550559654,2019-02-19T07:00:54Z,PAL127,"40.635448,-73.783371",0,15,120
1550559892,2019-02-19T07:04:52Z,PAL127,"40.635326,-73.783096",0,14,120
1550559903,2019-02-19T07:05:03Z,PAL127,"40.635159,-73.7827",0,20,120
1550559910,2019-02-19T07:05:10Z,PAL127,"40.63504,-73.782455",0,21,120
1550559921,2019-02-19T07:05:21Z,PAL127,"40.634819,-73.781982",0,20,120
1550559928,2019-02-19T07:05:28Z,PAL127,"40.634708,-73.781769",0,16,123
1550559936,2019-02-19T07:05:36Z,PAL127,"40.634491,-73.781723",0,17,151
1550559946,2019-02-19T07:05:46Z,PAL127,"40.634274,-73.781898",0,15,188
1550559958,2019-02-19T07:05:58Z,PAL127,"40.63401,-73.782135",0,18,205
1550559967,2019-02-19T07:06:07Z,PAL127,"40.633736,-73.782349",0,21,210
1550559973,2019-02-19T07:06:13Z,PAL127,"40.633492,-73.782539",0,25,210
1550559979,2019-02-19T07:06:19Z,PAL127,"40.633266,-73.782761",0,24,213
1550559987,2019-02-19T07:06:27Z,PAL127,"40.633141,-73.783035",0,21,230
1550559993,2019-02-19T07:06:33Z,PAL127,"40.633179,-73.783287",0,18,258
1550560001,2019-02-19T07:06:41Z,PAL127,"40.633366,-73.783508",0,14,292
1550560014,2019-02-19T07:06:54Z,PAL127,"40.633472,-73.783768",0,17,295
1550560026,2019-02-19T07:07:06Z,PAL127,"40.634193,-73.7854",0,52,300
1550560033,2019-02-19T07:07:13Z,PAL127,"40.635681,-73.788696",0,87,300
1550560040,2019-02-19T07:07:20Z,PAL127,"40.637356,-73.792358",0,113,300
1550560048,2019-02-19T07:07:28Z,PAL127,"40.639114,-73.796204",0,128,300
1550560054,2019-02-19T07:07:34Z,PAL127,"40.642246,-73.803093",0,161,301
1550560060,2019-02-19T07:07:40Z,PAL127,"40.644653,-73.808411",0,161,301
1550560067,2019-02-19T07:07:47Z,PAL127,"40.647034,-73.813416",75,157,301
1550560075,2019-02-19T07:07:55Z,PAL127,"40.650299,-73.820381",600,151,300
1550560082,2019-02-19T07:08:02Z,PAL127,"40.652252,-73.8255",900,150,292
1550560088,2019-02-19T07:08:08Z,PAL127,"40.653233,-73.830246",1150,151,278
1550560095,2019-02-19T07:08:15Z,PAL127,"40.653183,-73.836739",1375,159,262
1550560103,2019-02-19T07:08:23Z,PAL127,"40.650787,-73.845459",1475,180,239
1550560111,2019-02-19T07:08:31Z,PAL127,"40.647598,-73.851219",1475,195,229
1550560118,2019-02-19T07:08:38Z,PAL127,"40.641998,-73.859131",1525,209,224
1550560125,2019-02-19T07:08:45Z,PAL127,"40.637451,-73.86483",1625,216,223
1550560131,2019-02-19T07:08:51Z,PAL127,"40.633072,-73.870178",1700,223,222
1550560143,2019-02-19T07:09:03Z,PAL127,"40.623764,-73.881561",1875,238,221
1550560149,2019-02-19T07:09:09Z,PAL127,"40.618011,-73.88739",1950,249,214
1550560157,2019-02-19T07:09:17Z,PAL127,"40.608902,-73.894043",2075,262,204
1550560163,2019-02-19T07:09:23Z,PAL127,"40.605236,-73.895912",2175,265,199
1550560170,2019-02-19T07:09:30Z,PAL127,"40.594341,-73.898476",2425,273,182
1550560191,2019-02-19T07:09:51Z,PAL127,"40.568832,-73.887985",3250,273,143
1550560198,2019-02-19T07:09:58Z,PAL127,"40.563263,-73.881409",3425,275,132
1550560205,2019-02-19T07:10:05Z,PAL127,"40.558498,-73.873253",3600,275,121
1550560214,2019-02-19T07:10:14Z,PAL127,"40.554073,-73.859711",3925,270,105
1550560222,2019-02-19T07:10:22Z,PAL127,"40.552631,-73.844482",4225,267,89
1550560229,2019-02-19T07:10:29Z,PAL127,"40.553558,-73.834778",4400,263,77
1550560236,2019-02-19T07:10:36Z,PAL127,"40.557285,-73.822067",4700,257,62
1550560244,2019-02-19T07:10:44Z,PAL127,"40.560837,-73.814148",4950,255,56
1550560250,2019-02-19T07:10:50Z,PAL127,"40.565186,-73.805969",5175,256,54
1550560257,2019-02-19T07:10:57Z,PAL127,"40.571625,-73.794601",5450,259,52
1550560264,2019-02-19T07:11:04Z,PAL127,"40.576035,-73.787109",5625,261,52
1550560279,2019-02-19T07:11:19Z,PAL127,"40.588303,-73.768921",6100,262,41
1550560286,2019-02-19T07:11:26Z,PAL127,"40.594204,-73.762894",6275,262,35
1550560294,2019-02-19T07:11:34Z,PAL127,"40.603188,-73.755463",6525,263,29
1550560301,2019-02-19T07:11:41Z,PAL127,"40.610123,-73.750412",6750,264,28
1550560307,2019-02-19T07:11:47Z,PAL127,"40.616177,-73.745918",6950,265,29
1550560317,2019-02-19T07:11:57Z,PAL127,"40.628265,-73.736389",7375,267,31
1550560331,2019-02-19T07:12:11Z,PAL127,"40.641918,-73.724937",7850,268,32
1550560344,2019-02-19T07:12:24Z,PAL127,"40.654629,-73.714333",8225,272,32
1550560354,2019-02-19T07:12:34Z,PAL127,"40.667664,-73.70359",8575,276,31
1550560368,2019-02-19T07:12:48Z,PAL127,"40.680634,-73.693176",9075,274,31
1550560381,2019-02-19T07:13:01Z,PAL127,"40.693966,-73.682495",9525,275,31
1550560391,2019-02-19T07:13:11Z,PAL127,"40.706768,-73.672447",9750,282,30
1550560404,2019-02-19T07:13:24Z,PAL127,"40.721245,-73.661209",9875,294,30
1550560418,2019-02-19T07:13:38Z,PAL127,"40.739685,-73.646973",10100,308,30
1550560430,2019-02-19T07:13:50Z,PAL127,"40.754791,-73.635193",10225,321,30
1550560442,2019-02-19T07:14:02Z,PAL127,"40.77063,-73.622864",10350,334,30
1550560455,2019-02-19T07:14:15Z,PAL127,"40.78743,-73.609741",10475,346,30
1550560467,2019-02-19T07:14:27Z,PAL127,"40.804478,-73.596413",10575,357,30
1550560479,2019-02-19T07:14:39Z,PAL127,"40.821239,-73.583244",10725,366,30
1550560490,2019-02-19T07:14:50Z,PAL127,"40.839203,-73.569092",11025,372,31
1550560503,2019-02-19T07:15:03Z,PAL127,"40.857101,-73.554871",11525,370,31
1550560515,2019-02-19T07:15:15Z,PAL127,"40.874821,-73.540733",12175,365,31
1550560550,2019-02-19T07:15:50Z,PAL127,"40.922745,-73.502808",13425,366,30
1550560582,2019-02-19T07:16:22Z,PAL127,"40.972,-73.463928",14425,371,30
1550560615,2019-02-19T07:16:55Z,PAL127,"41.021458,-73.424942",15275,381,30
1550560647,2019-02-19T07:17:27Z,PAL127,"41.067719,-73.388245",16150,383,31
1550560679,2019-02-19T07:17:59Z,PAL127,"41.119034,-73.347473",17000,390,30
1550560712,2019-02-19T07:18:32Z,PAL127,"41.170944,-73.306152",17825,397,31
1550560745,2019-02-19T07:19:05Z,PAL127,"41.22345,-73.263428",18750,400,32
1550560807,2019-02-19T07:20:07Z,PAL127,"41.321163,-73.181305",20100,412,32
1550560867,2019-02-19T07:21:07Z,PAL127,"41.421436,-73.097595",21200,428,32
1550560928,2019-02-19T07:22:08Z,PAL127,"41.5242,-73.011208",22400,439,32
1550560988,2019-02-19T07:23:08Z,PAL127,"41.631435,-72.920921",23450,454,32
1550561049,2019-02-19T07:24:09Z,PAL127,"41.742188,-72.827248",24250,468,32
1550561111,2019-02-19T07:25:11Z,PAL127,"41.853287,-72.732491",25300,473,32
1550561173,2019-02-19T07:26:13Z,PAL127,"41.968937,-72.633743",26475,473,32
1550561234,2019-02-19T07:27:14Z,PAL127,"42.07922,-72.539406",27300,479,32
1550561315,2019-02-19T07:28:35Z,PAL127,"42.232563,-72.40731",28300,489,32
1550561380,2019-02-19T07:29:40Z,PAL127,"42.355637,-72.300591",29075,494,32
1550561442,2019-02-19T07:30:42Z,PAL127,"42.475845,-72.195969",29825,497,32
1550561503,2019-02-19T07:31:43Z,PAL127,"42.597439,-72.08979",30425,504,32
1550561565,2019-02-19T07:32:45Z,PAL127,"42.719513,-71.982735",30625,516,33
1550561629,2019-02-19T07:33:49Z,PAL127,"42.846401,-71.870598",30950,526,33
1550561690,2019-02-19T07:34:50Z,PAL127,"42.972881,-71.757858",32125,515,33
1550561754,2019-02-19T07:35:54Z,PAL127,"43.099972,-71.644981",32625,518,33
1550561818,2019-02-19T07:36:58Z,PAL127,"43.227905,-71.530319",33075,519,33
1550561880,2019-02-19T07:38:00Z,PAL127,"43.354519,-71.416237",33450,520,33
1550561943,2019-02-19T07:39:03Z,PAL127,"43.479446,-71.303055",34075,513,33
1550562005,2019-02-19T07:40:05Z,PAL127,"43.601669,-71.191788",34575,507,33
1550562069,2019-02-19T07:41:09Z,PAL127,"43.725815,-71.078476",34950,503,33
1550562131,2019-02-19T07:42:11Z,PAL127,"43.845085,-70.968864",35000,503,33
1550562191,2019-02-19T07:43:11Z,PAL127,"43.964218,-70.859009",35000,507,33
1550562253,2019-02-19T07:44:13Z,PAL127,"44.084335,-70.747612",35025,514,33
1550562314,2019-02-19T07:45:14Z,PAL127,"44.205917,-70.634109",35000,521,34
1550562375,2019-02-19T07:46:15Z,PAL127,"44.327877,-70.519836",35000,524,34
1550562436,2019-02-19T07:47:16Z,PAL127,"44.450218,-70.40448",35000,521,34
1550562497,2019-02-19T07:48:17Z,PAL127,"44.571999,-70.289185",35025,522,34
1550562557,2019-02-19T07:49:17Z,PAL127,"44.694122,-70.17308",35000,528,34
1550562619,2019-02-19T07:50:19Z,PAL127,"44.817947,-70.054451",35025,530,34
1550562680,2019-02-19T07:51:20Z,PAL127,"44.942139,-69.935104",35000,532,34
1550562741,2019-02-19T07:52:21Z,PAL127,"45.065323,-69.815826",35025,533,34
1550562803,2019-02-19T07:53:23Z,PAL127,"45.189835,-69.694778",35000,529,34
1550562863,2019-02-19T07:54:23Z,PAL127,"45.312881,-69.574585",35000,528,34
1550562924,2019-02-19T07:55:24Z,PAL127,"45.435654,-69.453934",35000,530,34
1550562986,2019-02-19T07:56:26Z,PAL127,"45.559479,-69.331566",35000,533,34
1550563050,2019-02-19T07:57:30Z,PAL127,"45.691498,-69.20462",35000,521,27
1550563071,2019-02-19T07:57:51Z,PAL127,"45.734116,-69.182182",35000,500,13
1550563077,2019-02-19T07:57:57Z,PAL127,"45.747581,-69.178024",35000,495,10
1550563085,2019-02-19T07:58:05Z,PAL127,"45.767925,-69.173218",35000,492,8
1550563091,2019-02-19T07:58:11Z,PAL127,"45.781612,-69.170128",35000,494,8
1550563152,2019-02-19T07:59:12Z,PAL127,"45.919601,-69.133011",35000,499,10
1550563214,2019-02-19T08:00:14Z,PAL127,"46.059402,-69.095299",35000,500,10
1550563238,2019-02-19T08:00:38Z,PAL127,"46.115524,-69.080086",35000,499,10
1550563327,2019-02-19T08:02:07Z,PAL127,"46.315239,-69.026001",35000,491,10
1550563389,2019-02-19T08:03:09Z,PAL127,"46.451824,-68.988853",35000,488,10
1550563450,2019-02-19T08:04:10Z,PAL127,"46.588394,-68.951469",35000,490,10
1550563511,2019-02-19T08:05:11Z,PAL127,"46.724075,-68.914154",35000,493,10
1550563573,2019-02-19T08:06:13Z,PAL127,"46.863098,-68.875702",35000,494,10
1550563635,2019-02-19T08:07:15Z,PAL127,"47.001938,-68.83683",35000,497,10
1550563698,2019-02-19T08:08:18Z,PAL127,"47.146198,-68.796318",35000,501,10
1550563716,2019-02-19T08:08:36Z,PAL127,"47.186558,-68.784904",35000,501,10
1550563806,2019-02-19T08:10:06Z,PAL127,"47.392822,-68.726349",35000,498,10
1550563869,2019-02-19T08:11:09Z,PAL127,"47.533138,-68.68631",35025,497,11
1550563937,2019-02-19T08:12:17Z,PAL127,"47.68597,-68.642509",35000,496,10
1550563999,2019-02-19T08:13:19Z,PAL127,"47.825958,-68.601997",35000,499,11
1550564061,2019-02-19T08:14:21Z,PAL127,"47.966675,-68.561142",35000,498,11
1550564124,2019-02-19T08:15:24Z,PAL127,"48.109955,-68.519394",35000,495,11
1550564185,2019-02-19T08:16:25Z,PAL127,"48.248016,-68.478767",35000,499,11
1550564248,2019-02-19T08:17:28Z,PAL127,"48.389793,-68.437019",35000,499,11
1550564309,2019-02-19T08:18:29Z,PAL127,"48.529591,-68.395531",35000,500,11
1550564371,2019-02-19T08:19:31Z,PAL127,"48.670319,-68.353462",35000,501,11
1550564433,2019-02-19T08:20:33Z,PAL127,"48.810719,-68.311256",35000,501,11
1550564498,2019-02-19T08:21:38Z,PAL127,"48.952515,-68.268478",34975,504,11
1550564559,2019-02-19T08:22:39Z,PAL127,"49.093735,-68.225594",35000,501,11
1550564621,2019-02-19T08:23:41Z,PAL127,"49.236374,-68.181999",35000,501,11
1550564683,2019-02-19T08:24:43Z,PAL127,"49.377354,-68.138649",35000,505,11
1550564746,2019-02-19T08:25:46Z,PAL127,"49.521526,-68.094078",35000,511,11
1550564807,2019-02-19T08:26:47Z,PAL127,"49.663555,-68.049835",35000,508,11
1550564878,2019-02-19T08:27:58Z,PAL127,"49.82753,-67.998573",35000,508,11
1550564940,2019-02-19T08:29:00Z,PAL127,"49.96962,-67.953835",35000,507,11
1550565032,2019-02-19T08:30:32Z,PAL127,"50.179497,-67.887192",35000,505,11
1550565097,2019-02-19T08:31:37Z,PAL127,"50.327206,-67.839981",35000,509,11
1550565156,2019-02-19T08:32:36Z,PAL127,"50.467094,-67.794998",35000,508,11
1550565219,2019-02-19T08:33:39Z,PAL127,"50.612045,-67.748062",35000,511,11
1550565282,2019-02-19T08:34:42Z,PAL127,"50.754974,-67.701416",35000,509,11
1550565343,2019-02-19T08:35:43Z,PAL127,"50.897285,-67.654724",35000,507,11
1550565405,2019-02-19T08:36:45Z,PAL127,"51.038803,-67.608032",35000,505,11
1550565467,2019-02-19T08:37:47Z,PAL127,"51.179298,-67.56134",35000,505,11
1550565528,2019-02-19T08:38:48Z,PAL127,"51.320305,-67.514343",35000,507,11
1550565589,2019-02-19T08:39:49Z,PAL127,"51.462616,-67.466446",35000,506,11
1550565651,2019-02-19T08:40:51Z,PAL127,"51.60434,-67.418495",35000,503,11
1550565713,2019-02-19T08:41:53Z,PAL127,"51.744862,-67.370605",35000,506,11
1550565775,2019-02-19T08:42:55Z,PAL127,"51.887497,-67.321701",35000,507,11
1550565837,2019-02-19T08:43:57Z,PAL127,"52.03006,-67.272568",35000,506,12
1550565899,2019-02-19T08:44:59Z,PAL127,"52.167927,-67.224716",35000,506,12
1550565963,2019-02-19T08:46:03Z,PAL127,"52.312317,-67.174225",35000,508,12
1550566025,2019-02-19T08:47:05Z,PAL127,"52.456558,-67.123489",35000,509,12
