Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550643635,2019-02-20T06:20:35Z,PAL127,"40.641838,-73.791794",0,0,306
1550643694,2019-02-20T06:21:34Z,PAL127,"40.641781,-73.791565",0,2,320
1550643749,2019-02-20T06:22:29Z,PAL127,"40.641506,-73.791412",0,2,312
1550643876,2019-02-20T06:24:36Z,PAL127,"40.641094,-73.791",0,2,222
1550643937,2019-02-20T06:25:37Z,PAL127,"40.640709,-73.791466",0,9,225
1550643962,2019-02-20T06:26:02Z,PAL127,"40.640522,-73.791702",0,10,225
1550643984,2019-02-20T06:26:24Z,PAL127,"40.640324,-73.791954",0,10,225
1550644046,2019-02-20T06:27:26Z,PAL127,"40.640167,-73.79216",0,0,221
1550644212,2019-02-20T06:30:12Z,PAL127,"40.639927,-73.792496",0,14,225
1550644227,2019-02-20T06:30:27Z,PAL127,"40.639675,-73.792801",0,14,225
1550644243,2019-02-20T06:30:43Z,PAL127,"40.639416,-73.793121",0,18,225
1550644251,2019-02-20T06:30:51Z,PAL127,"40.639194,-73.793304",0,19,213
1550644259,2019-02-20T06:30:59Z,PAL127,"40.638977,-73.793152",0,20,180
1550644282,2019-02-20T06:31:22Z,PAL127,"40.638565,-73.792313",0,19,120
1550644292,2019-02-20T06:31:32Z,PAL127,"40.638393,-73.791924",0,21,120
1550644300,2019-02-20T06:31:40Z,PAL127,"40.638241,-73.79158",0,21,120
1550644307,2019-02-20T06:31:47Z,PAL127,"40.638103,-73.791283",0,22,120
1550644318,2019-02-20T06:31:58Z,PAL127,"40.637867,-73.790726",0,23,120
1550644325,2019-02-20T06:32:05Z,PAL127,"40.637707,-73.790375",0,24,120
1550644341,2019-02-20T06:32:21Z,PAL127,"40.637341,-73.789581",0,26,120
1550644347,2019-02-20T06:32:27Z,PAL127,"40.637135,-73.789124",0,27,120
1550644354,2019-02-20T06:32:34Z,PAL127,"40.636951,-73.788719",0,28,120
1550644360,2019-02-20T06:32:40Z,PAL127,"40.636768,-73.7883",0,28,120
1550644367,2019-02-20T06:32:47Z,PAL127,"40.636589,-73.787926",0,29,120
1550644373,2019-02-20T06:32:53Z,PAL127,"40.636425,-73.787567",0,30,120
1550644387,2019-02-20T06:33:07Z,PAL127,"40.636036,-73.786697",0,31,120
1550644399,2019-02-20T06:33:19Z,PAL127,"40.635555,-73.78566",0,32,120
1550644407,2019-02-20T06:33:27Z,PAL127,"40.63533,-73.785164",0,33,120
1550644413,2019-02-20T06:33:33Z,PAL127,"40.635159,-73.78476",0,29,120
1550644420,2019-02-20T06:33:40Z,PAL127,"40.635006,-73.784439",0,19,120
1550644431,2019-02-20T06:33:51Z,PAL127,"40.63483,-73.784027",0,15,120
1550644446,2019-02-20T06:34:06Z,PAL127,"40.634697,-73.783737",0,12,120
1550644963,2019-02-20T06:42:43Z,PAL127,"40.634598,-73.783524",0,11,120
1550644973,2019-02-20T06:42:53Z,PAL127,"40.634483,-73.783257",0,16,120
1550644980,2019-02-20T06:43:00Z,PAL127,"40.634388,-73.783051",0,19,120
1550644991,2019-02-20T06:43:11Z,PAL127,"40.634171,-73.782578",0,20,120
1550644997,2019-02-20T06:43:17Z,PAL127,"40.634052,-73.78231",0,21,120
1550645005,2019-02-20T06:43:25Z,PAL127,"40.63393,-73.782043",0,22,120
1550645017,2019-02-20T06:43:37Z,PAL127,"40.633678,-73.781509",0,23,120
1550645028,2019-02-20T06:43:48Z,PAL127,"40.633434,-73.780853",0,25,115
1550645034,2019-02-20T06:43:54Z,PAL127,"40.633381,-73.780518",0,23,106
1550645040,2019-02-20T06:44:00Z,PAL127,"40.633331,-73.780197",0,18,104
1550645051,2019-02-20T06:44:11Z,PAL127,"40.633247,-73.779938",0,15,106
1550645060,2019-02-20T06:44:20Z,PAL127,"40.632946,-73.779755",0,20,146
1550645067,2019-02-20T06:44:27Z,PAL127,"40.63274,-73.779877",0,19,177
1550645076,2019-02-20T06:44:36Z,PAL127,"40.632458,-73.780029",0,19,194
1550645085,2019-02-20T06:44:45Z,PAL127,"40.632191,-73.780151",0,18,199
1550645095,2019-02-20T06:44:55Z,PAL127,"40.631962,-73.78038",0,18,210
1550645101,2019-02-20T06:45:01Z,PAL127,"40.631924,-73.780609",0,17,233
1550645109,2019-02-20T06:45:09Z,PAL127,"40.632019,-73.780853",0,14,270
1550645126,2019-02-20T06:45:26Z,PAL127,"40.632271,-73.781181",0,28,298
1550645133,2019-02-20T06:45:33Z,PAL127,"40.632946,-73.782669",0,52,300
1550645140,2019-02-20T06:45:40Z,PAL127,"40.633896,-73.784744",0,78,300
1550645152,2019-02-20T06:45:52Z,PAL127,"40.636826,-73.791199",0,124,300
1550645165,2019-02-20T06:46:05Z,PAL127,"40.640755,-73.79985",0,160,300
1550645177,2019-02-20T06:46:17Z,PAL127,"40.645752,-73.811218",0,168,300
1550645183,2019-02-20T06:46:23Z,PAL127,"40.648224,-73.81665",50,167,300
1550645195,2019-02-20T06:46:35Z,PAL127,"40.652206,-73.827812",575,168,286
1550645201,2019-02-20T06:46:41Z,PAL127,"40.652813,-73.833305",775,170,273
1550645221,2019-02-20T06:47:01Z,PAL127,"40.644897,-73.85347",1250,189,225
1550645227,2019-02-20T06:47:07Z,PAL127,"40.641033,-73.858398",1300,198,223
1550645237,2019-02-20T06:47:17Z,PAL127,"40.63472,-73.866211",1400,209,223
1550645250,2019-02-20T06:47:30Z,PAL127,"40.625626,-73.877502",1575,224,223
1550645262,2019-02-20T06:47:42Z,PAL127,"40.616131,-73.888237",1775,239,215
1550645270,2019-02-20T06:47:50Z,PAL127,"40.606724,-73.894234",1950,252,197
1550645276,2019-02-20T06:47:56Z,PAL127,"40.599976,-73.895874",2100,254,184
1550645301,2019-02-20T06:48:21Z,PAL127,"40.572235,-73.884399",2775,266,139
1550645307,2019-02-20T06:48:27Z,PAL127,"40.567249,-73.877563",3000,266,128
1550645313,2019-02-20T06:48:33Z,PAL127,"40.563061,-73.868889",3250,265,116
1550645320,2019-02-20T06:48:40Z,PAL127,"40.560452,-73.859962",3475,265,106
1550645327,2019-02-20T06:48:47Z,PAL127,"40.55901,-73.845978",3800,265,89
1550645333,2019-02-20T06:48:53Z,PAL127,"40.55983,-73.836304",4000,263,78
1550645339,2019-02-20T06:48:59Z,PAL127,"40.56213,-73.826874",4250,261,66
1550645345,2019-02-20T06:49:05Z,PAL127,"40.565853,-73.818321",4500,259,55
1550645353,2019-02-20T06:49:13Z,PAL127,"40.570633,-73.811035",4650,260,44
1550645362,2019-02-20T06:49:22Z,PAL127,"40.578918,-73.802368",4900,262,34
1550645370,2019-02-20T06:49:30Z,PAL127,"40.588615,-73.79454",5325,260,30
1550645376,2019-02-20T06:49:36Z,PAL127,"40.594761,-73.789795",5575,260,30
1550645382,2019-02-20T06:49:42Z,PAL127,"40.600891,-73.784973",5800,261,30
1550645396,2019-02-20T06:49:56Z,PAL127,"40.613617,-73.774879",6175,267,31
1550645406,2019-02-20T06:50:06Z,PAL127,"40.626232,-73.764519",6575,269,32
1550645418,2019-02-20T06:50:18Z,PAL127,"40.639545,-73.753342",7075,272,32
1550645430,2019-02-20T06:50:30Z,PAL127,"40.652161,-73.74292",7400,278,31
1550645443,2019-02-20T06:50:43Z,PAL127,"40.665569,-73.731995",7975,274,32
