Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551163324,2019-02-26T06:42:04Z,PAL127,"40.640385,-73.792007",0,0,287
1551163394,2019-02-26T06:43:14Z,PAL127,"40.640255,-73.792252",0,11,225
1551163411,2019-02-26T06:43:31Z,PAL127,"40.639988,-73.79261",0,19,225
1551163420,2019-02-26T06:43:40Z,PAL127,"40.639721,-73.792953",0,20,225
1551163427,2019-02-26T06:43:47Z,PAL127,"40.639545,-73.793198",0,21,225
1551163436,2019-02-26T06:43:56Z,PAL127,"40.639355,-73.793442",0,22,225
1551163444,2019-02-26T06:44:04Z,PAL127,"40.639046,-73.793442",0,21,185
1551163451,2019-02-26T06:44:11Z,PAL127,"40.638847,-73.792999",0,18,157
1551163457,2019-02-26T06:44:17Z,PAL127,"40.638741,-73.792732",0,17,135
1551163472,2019-02-26T06:44:32Z,PAL127,"40.638554,-73.792252",0,18,120
1551163482,2019-02-26T06:44:42Z,PAL127,"40.638336,-73.791763",0,23,120
1551163488,2019-02-26T06:44:48Z,PAL127,"40.638195,-73.791451",0,25,120
1551163494,2019-02-26T06:44:54Z,PAL127,"40.638054,-73.791153",0,25,120
1551163500,2019-02-26T06:45:00Z,PAL127,"40.637894,-73.790794",0,26,120
1551163512,2019-02-26T06:45:12Z,PAL127,"40.6376,-73.790138",0,28,120
1551163518,2019-02-26T06:45:18Z,PAL127,"40.63739,-73.789688",0,28,120
1551163533,2019-02-26T06:45:33Z,PAL127,"40.636963,-73.788742",0,31,120
1551163542,2019-02-26T06:45:42Z,PAL127,"40.636711,-73.788177",0,32,120
1551163551,2019-02-26T06:45:51Z,PAL127,"40.636379,-73.787445",0,33,120
1551163560,2019-02-26T06:46:00Z,PAL127,"40.63615,-73.786957",0,34,120
1551163569,2019-02-26T06:46:09Z,PAL127,"40.635738,-73.786041",0,15,120
1551163576,2019-02-26T06:46:16Z,PAL127,"40.635498,-73.785522",0,15,120
1551163583,2019-02-26T06:46:23Z,PAL127,"40.635281,-73.785019",0,16,120
1551163594,2019-02-26T06:46:34Z,PAL127,"40.634785,-73.783943",0,17,120
1551163602,2019-02-26T06:46:42Z,PAL127,"40.634541,-73.783386",0,17,120
1551163612,2019-02-26T06:46:52Z,PAL127,"40.634045,-73.782303",0,34,120
1551163623,2019-02-26T06:47:03Z,PAL127,"40.633736,-73.781631",0,32,120
1551163635,2019-02-26T06:47:15Z,PAL127,"40.633392,-73.780777",0,31,115
1551163644,2019-02-26T06:47:24Z,PAL127,"40.633278,-73.78006",0,31,101
1551163650,2019-02-26T06:47:30Z,PAL127,"40.633289,-73.779617",0,29,90
1551163659,2019-02-26T06:47:39Z,PAL127,"40.633415,-73.779007",0,24,75
1551163672,2019-02-26T06:47:52Z,PAL127,"40.633244,-73.778351",0,25,112
1551163681,2019-02-26T06:48:01Z,PAL127,"40.632935,-73.77771",0,26,120
1551163688,2019-02-26T06:48:08Z,PAL127,"40.632771,-73.777359",0,25,120
1551163700,2019-02-26T06:48:20Z,PAL127,"40.632504,-73.776749",0,25,120
1551163706,2019-02-26T06:48:26Z,PAL127,"40.632339,-73.776405",0,29,120
1551163712,2019-02-26T06:48:32Z,PAL127,"40.632168,-73.776001",0,30,120
1551163718,2019-02-26T06:48:38Z,PAL127,"40.631969,-73.775597",0,31,120
1551163727,2019-02-26T06:48:47Z,PAL127,"40.631653,-73.774895",0,33,120
1551163733,2019-02-26T06:48:53Z,PAL127,"40.63147,-73.77449",0,33,120
1551163739,2019-02-26T06:48:59Z,PAL127,"40.631241,-73.773972",0,15,120
1551163745,2019-02-26T06:49:05Z,PAL127,"40.631027,-73.773506",0,15,120
1551163752,2019-02-26T06:49:12Z,PAL127,"40.630795,-73.77298",0,16,120
