Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551337922,2019-02-28T07:12:02Z,PAL127,"40.639675,-73.793396",0,16,230
1551337928,2019-02-28T07:12:08Z,PAL127,"40.639698,-73.793625",0,17,253
1551337937,2019-02-28T07:12:17Z,PAL127,"40.639812,-73.793945",0,17,281
1551337948,2019-02-28T07:12:28Z,PAL127,"40.639954,-73.794243",0,19,295
1551337954,2019-02-28T07:12:34Z,PAL127,"40.640102,-73.794586",0,22,300
1551337960,2019-02-28T07:12:40Z,PAL127,"40.640232,-73.794884",0,24,300
1551337967,2019-02-28T07:12:47Z,PAL127,"40.640385,-73.795242",0,26,300
1551337976,2019-02-28T07:12:56Z,PAL127,"40.640617,-73.795761",0,25,300
1551337982,2019-02-28T07:13:02Z,PAL127,"40.640739,-73.796051",0,26,300
1551337988,2019-02-28T07:13:08Z,PAL127,"40.640907,-73.796417",0,26,303
1551338003,2019-02-28T07:13:23Z,PAL127,"40.6413,-73.797272",0,27,300
1551338012,2019-02-28T07:13:32Z,PAL127,"40.64156,-73.797852",0,28,300
1551338018,2019-02-28T07:13:38Z,PAL127,"40.641712,-73.798218",0,29,300
1551338027,2019-02-28T07:13:47Z,PAL127,"40.642014,-73.79882",0,31,306
1551338037,2019-02-28T07:13:57Z,PAL127,"40.642384,-73.799362",0,31,315
1551338046,2019-02-28T07:14:06Z,PAL127,"40.642757,-73.799866",0,31,315
1551338058,2019-02-28T07:14:18Z,PAL127,"40.643223,-73.800644",0,31,306
1551338067,2019-02-28T07:14:27Z,PAL127,"40.643524,-73.801346",0,32,300
1551338093,2019-02-28T07:14:53Z,PAL127,"40.644356,-73.803284",0,34,300
1551338105,2019-02-28T07:15:05Z,PAL127,"40.644768,-73.804245",0,15,300
1551338130,2019-02-28T07:15:30Z,PAL127,"40.645714,-73.806435",0,16,300
1551338137,2019-02-28T07:15:37Z,PAL127,"40.645958,-73.807007",0,16,300
1551338144,2019-02-28T07:15:44Z,PAL127,"40.646156,-73.807465",0,30,300
1551338157,2019-02-28T07:15:57Z,PAL127,"40.646358,-73.807968",0,13,300
1551338168,2019-02-28T07:16:08Z,PAL127,"40.64645,-73.808212",0,13,300
1551338205,2019-02-28T07:16:45Z,PAL127,"40.646832,-73.809196",0,2,300
1551338234,2019-02-28T07:17:14Z,PAL127,"40.646969,-73.809631",0,12,300
1551338244,2019-02-28T07:17:24Z,PAL127,"40.647053,-73.809837",0,14,300
1551338260,2019-02-28T07:17:40Z,PAL127,"40.647308,-73.810394",0,19,306
1551340013,2019-02-28T07:46:53Z,PAL127,"40.646202,-73.810913",0,23,126
1551340019,2019-02-28T07:46:59Z,PAL127,"40.646061,-73.8106",0,25,120
1551340026,2019-02-28T07:47:06Z,PAL127,"40.645901,-73.810242",0,27,120
1551340038,2019-02-28T07:47:18Z,PAL127,"40.645546,-73.809464",0,32,120
1551340044,2019-02-28T07:47:24Z,PAL127,"40.64534,-73.80899",0,34,120
1551340062,2019-02-28T07:47:42Z,PAL127,"40.644653,-73.807495",0,17,120
1551340069,2019-02-28T07:47:49Z,PAL127,"40.644329,-73.806747",0,19,120
1551340076,2019-02-28T07:47:56Z,PAL127,"40.644012,-73.806061",0,20,120
