Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550597430,2019-02-19T17:30:30Z,SIA31,"37.617943,-122.392387",0,0,28
1550597534,2019-02-19T17:32:14Z,SIA31,"37.61771,-122.392471",0,2,39
1550597561,2019-02-19T17:32:41Z,SIA31,"37.617496,-122.392586",0,2,59
1550597594,2019-02-19T17:33:14Z,SIA31,"37.617409,-122.39286",0,2,59
1550597639,2019-02-19T17:33:59Z,SIA31,"37.617233,-122.393356",0,9,243
1550597722,2019-02-19T17:35:22Z,SIA31,"37.617382,-122.393669",0,10,320
1550597738,2019-02-19T17:35:38Z,SIA31,"37.617443,-122.39389",0,10,303
1550597752,2019-02-19T17:35:52Z,SIA31,"37.617531,-122.394135",0,11,298
1550597759,2019-02-19T17:35:59Z,SIA31,"37.617085,-122.393349",0,10,298
1550597866,2019-02-19T17:37:46Z,SIA31,"37.617619,-122.394356",0,0,302
1550598007,2019-02-19T17:40:07Z,SIA31,"37.617756,-122.394653",0,11,298
1550598023,2019-02-19T17:40:23Z,SIA31,"37.617886,-122.394958",0,13,298
1550598038,2019-02-19T17:40:38Z,SIA31,"37.618183,-122.395164",0,16,323
1550598047,2019-02-19T17:40:47Z,SIA31,"37.618423,-122.395233",0,16,337
1550598055,2019-02-19T17:40:55Z,SIA31,"37.618629,-122.395325",0,17,340
1550598064,2019-02-19T17:41:04Z,SIA31,"37.618835,-122.395409",0,18,340
1550598071,2019-02-19T17:41:11Z,SIA31,"37.619129,-122.39547",0,20,348
1550598080,2019-02-19T17:41:20Z,SIA31,"37.619476,-122.395332",0,23,11
1550598087,2019-02-19T17:41:27Z,SIA31,"37.619717,-122.395073",0,23,33
1550598095,2019-02-19T17:41:35Z,SIA31,"37.619865,-122.39473",0,24,56
1550598106,2019-02-19T17:41:46Z,SIA31,"37.619957,-122.394287",0,22,70
1550598113,2019-02-19T17:41:53Z,SIA31,"37.620075,-122.393845",0,23,73
