Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551029393,2019-02-24T17:29:53Z,SIA31,"37.617466,-122.39164",0,0,180
1551029476,2019-02-24T17:31:16Z,SIA31,"37.617233,-122.391739",0,13,39
1551029489,2019-02-24T17:31:29Z,SIA31,"37.617027,-122.391846",0,10,56
1551029507,2019-02-24T17:31:47Z,SIA31,"37.616856,-122.392067",0,11,75
1551029517,2019-02-24T17:31:57Z,SIA31,"37.616844,-122.392296",0,11,67
1551029529,2019-02-24T17:32:09Z,SIA31,"37.616852,-122.392517",0,11,47
1551029543,2019-02-24T17:32:23Z,SIA31,"37.616787,-122.392754",0,9,25
1551029571,2019-02-24T17:32:51Z,SIA31,"37.616581,-122.392891",0,2,16
1551029635,2019-02-24T17:33:55Z,SIA31,"37.616821,-122.392883",0,2,2
1551029661,2019-02-24T17:34:21Z,SIA31,"37.61697,-122.393105",0,10,331
1551029676,2019-02-24T17:34:36Z,SIA31,"37.617058,-122.393364",0,12,309
1551029688,2019-02-24T17:34:48Z,SIA31,"37.617165,-122.393623",0,13,303
1551029700,2019-02-24T17:35:00Z,SIA31,"37.617279,-122.393875",0,13,300
1551029711,2019-02-24T17:35:11Z,SIA31,"37.617371,-122.394096",0,12,298
1551029729,2019-02-24T17:35:29Z,SIA31,"37.617451,-122.394302",0,0,241
1551029916,2019-02-24T17:38:36Z,SIA31,"37.617485,-122.394226",0,0,41
1551029946,2019-02-24T17:39:06Z,SIA31,"37.617584,-122.39444",0,13,298
1551029959,2019-02-24T17:39:19Z,SIA31,"37.617725,-122.394753",0,18,298
1551029970,2019-02-24T17:39:30Z,SIA31,"37.618137,-122.394989",0,21,331
1551029976,2019-02-24T17:39:36Z,SIA31,"37.618366,-122.395058",0,21,340
1551029985,2019-02-24T17:39:45Z,SIA31,"37.618675,-122.395187",0,22,340
1551029999,2019-02-24T17:39:59Z,SIA31,"37.619236,-122.395111",0,26,11
1551030008,2019-02-24T17:40:08Z,SIA31,"37.61956,-122.394753",0,26,39
1551030014,2019-02-24T17:40:14Z,SIA31,"37.619694,-122.394402",0,26,59
1551030021,2019-02-24T17:40:21Z,SIA31,"37.619781,-122.393982",0,18,70
1551030028,2019-02-24T17:40:28Z,SIA31,"37.619843,-122.393745",0,18,73
1551030038,2019-02-24T17:40:38Z,SIA31,"37.619911,-122.393425",0,15,73
1551030047,2019-02-24T17:40:47Z,SIA31,"37.61998,-122.393173",0,15,73
1551030055,2019-02-24T17:40:55Z,SIA31,"37.620037,-122.392906",0,16,73
1551030061,2019-02-24T17:41:01Z,SIA31,"37.620098,-122.392677",0,17,73
1551030069,2019-02-24T17:41:09Z,SIA31,"37.620144,-122.392471",0,18,73
1551030075,2019-02-24T17:41:15Z,SIA31,"37.620213,-122.392235",0,18,73
1551030085,2019-02-24T17:41:25Z,SIA31,"37.620491,-122.391968",0,16,42
1551030097,2019-02-24T17:41:37Z,SIA31,"37.620724,-122.39183",0,11,30
1551030127,2019-02-24T17:42:07Z,SIA31,"37.620934,-122.391663",0,2,28
1551030138,2019-02-24T17:42:18Z,SIA31,"37.620972,-122.391876",0,0,271
1551030144,2019-02-24T17:42:24Z,SIA31,"37.620941,-122.391655",0,0,119
1551030173,2019-02-24T17:42:53Z,SIA31,"37.620945,-122.391861",0,0,274
1551030205,2019-02-24T17:43:25Z,SIA31,"37.62093,-122.391624",0,0,103
1551030211,2019-02-24T17:43:31Z,SIA31,"37.620972,-122.391876",0,0,300
1551030323,2019-02-24T17:45:23Z,SIA31,"37.621616,-122.391052",0,2,28
1551030339,2019-02-24T17:45:39Z,SIA31,"37.621761,-122.391296",0,10,28
1551030347,2019-02-24T17:45:47Z,SIA31,"37.621685,-122.390984",0,0,109
1551030353,2019-02-24T17:45:53Z,SIA31,"37.621754,-122.391304",0,0,286
1551030364,2019-02-24T17:46:04Z,SIA31,"37.62167,-122.390976",0,0,107
1551030370,2019-02-24T17:46:10Z,SIA31,"37.621761,-122.391319",0,0,289
1551030389,2019-02-24T17:46:29Z,SIA31,"37.621662,-122.390953",0,0,108
1551030401,2019-02-24T17:46:41Z,SIA31,"37.621754,-122.391319",0,0,119
1551030408,2019-02-24T17:46:48Z,SIA31,"37.621685,-122.390923",0,0,107
1551030427,2019-02-24T17:47:07Z,SIA31,"37.621925,-122.390747",0,14,28
1551030437,2019-02-24T17:47:17Z,SIA31,"37.622074,-122.390541",0,16,39
1551030445,2019-02-24T17:47:25Z,SIA31,"37.622143,-122.390266",0,17,59
1551030452,2019-02-24T17:47:32Z,SIA31,"37.622181,-122.390022",0,17,67
1551030458,2019-02-24T17:47:38Z,SIA31,"37.622234,-122.389801",0,18,70
1551030467,2019-02-24T17:47:47Z,SIA31,"37.622452,-122.389534",0,20,47
1551030477,2019-02-24T17:47:57Z,SIA31,"37.622772,-122.389351",0,23,30
1551030487,2019-02-24T17:48:07Z,SIA31,"37.623127,-122.389038",0,27,36
1551030496,2019-02-24T17:48:16Z,SIA31,"37.623344,-122.388893",0,29,92
1551030512,2019-02-24T17:48:32Z,SIA31,"37.622868,-122.387932",0,25,118
1551030519,2019-02-24T17:48:39Z,SIA31,"37.622738,-122.387619",0,25,118
1551030526,2019-02-24T17:48:46Z,SIA31,"37.622589,-122.387268",0,26,118
1551030535,2019-02-24T17:48:55Z,SIA31,"37.622318,-122.386604",0,26,118
1551030544,2019-02-24T17:49:04Z,SIA31,"37.622169,-122.386261",0,26,118
1551030569,2019-02-24T17:49:29Z,SIA31,"37.621548,-122.384773",0,26,118
1551030580,2019-02-24T17:49:40Z,SIA31,"37.62133,-122.384262",0,27,118
1551030589,2019-02-24T17:49:49Z,SIA31,"37.621109,-122.383743",0,27,118
1551030601,2019-02-24T17:50:01Z,SIA31,"37.620831,-122.383057",0,30,118
