Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548984722,2019-02-01T01:32:02Z,SIA32,"1.330021,103.983559",0,24,202
1548984755,2019-02-01T01:32:35Z,SIA32,"1.328997,103.98484",0,26,109
1548984918,2019-02-01T01:35:18Z,SIA32,"1.352829,103.995094",225,171,22
1548984925,2019-02-01T01:35:25Z,SIA32,"1.357603,103.997101",525,169,23
1548984936,2019-02-01T01:35:36Z,SIA32,"1.365967,104.000771",1000,169,23
1548984943,2019-02-01T01:35:43Z,SIA32,"1.370316,104.002632",1250,169,23
1548984955,2019-02-01T01:35:55Z,SIA32,"1.379242,104.006546",1775,169,23
1548984967,2019-02-01T01:36:07Z,SIA32,"1.388048,104.010361",2025,178,23
1548984974,2019-02-01T01:36:14Z,SIA32,"1.392284,104.012543",2125,183,30
1548984980,2019-02-01T01:36:20Z,SIA32,"1.396408,104.015572",2225,189,42
1548984986,2019-02-01T01:36:26Z,SIA32,"1.400105,104.019737",2325,196,54
1548984992,2019-02-01T01:36:32Z,SIA32,"1.403084,104.024666",2425,203,63
1548984998,2019-02-01T01:36:38Z,SIA32,"1.405784,104.031479",2550,212,73
1548985005,2019-02-01T01:36:45Z,SIA32,"1.407028,104.038429",2650,221,85
1548985032,2019-02-01T01:37:12Z,SIA32,"1.403778,104.06813",3175,248,99
1548985040,2019-02-01T01:37:20Z,SIA32,"1.402526,104.074768",3325,252,101
1548985052,2019-02-01T01:37:32Z,SIA32,"1.399612,104.088432",3625,259,102
1548985058,2019-02-01T01:37:38Z,SIA32,"1.397824,104.096313",3825,261,103
1548985068,2019-02-01T01:37:48Z,SIA32,"1.394577,104.109428",4225,262,104
1548985076,2019-02-01T01:37:56Z,SIA32,"1.3927,104.116966",4450,263,104
1548985087,2019-02-01T01:38:07Z,SIA32,"1.389165,104.131355",4825,268,103
1548985093,2019-02-01T01:38:13Z,SIA32,"1.38735,104.139168",4950,272,102
1548985101,2019-02-01T01:38:21Z,SIA32,"1.385605,104.146759",5075,278,102
1548985113,2019-02-01T01:38:33Z,SIA32,"1.382276,104.161896",5200,291,102
1548985123,2019-02-01T01:38:43Z,SIA32,"1.378784,104.178505",5375,304,101
1548985135,2019-02-01T01:38:55Z,SIA32,"1.375293,104.195045",5525,315,101
1548985149,2019-02-01T01:39:09Z,SIA32,"1.371615,104.212517",5675,328,101
1548985159,2019-02-01T01:39:19Z,SIA32,"1.367752,104.230507",5825,338,101
1548985171,2019-02-01T01:39:31Z,SIA32,"1.363678,104.249596",5975,349,102
1548985182,2019-02-01T01:39:42Z,SIA32,"1.359558,104.26873",6150,358,102
1548985195,2019-02-01T01:39:55Z,SIA32,"1.355275,104.288574",6475,363,102
1548985209,2019-02-01T01:40:09Z,SIA32,"1.351086,104.307938",6825,366,102
1548985221,2019-02-01T01:40:21Z,SIA32,"1.346617,104.328445",7200,369,102
1548985233,2019-02-01T01:40:33Z,SIA32,"1.342255,104.34861",7625,369,102
1548985242,2019-02-01T01:40:42Z,SIA32,"1.33833,104.366562",7975,371,102
1548985254,2019-02-01T01:40:54Z,SIA32,"1.333969,104.386734",8375,372,102
1548985269,2019-02-01T01:41:09Z,SIA32,"1.330261,104.408386",8775,375,96
1548985276,2019-02-01T01:41:16Z,SIA32,"1.329712,104.423882",9050,376,89
1548985283,2019-02-01T01:41:23Z,SIA32,"1.330184,104.435707",9250,376,87
1548985289,2019-02-01T01:41:29Z,SIA32,"1.330673,104.446274",9425,378,87
1548985295,2019-02-01T01:41:35Z,SIA32,"1.331177,104.456795",9625,379,87
1548985307,2019-02-01T01:41:47Z,SIA32,"1.331909,104.477699",9975,381,88
1548985319,2019-02-01T01:41:59Z,SIA32,"1.332458,104.49897",10375,382,88
1548985330,2019-02-01T01:42:10Z,SIA32,"1.33287,104.519226",10750,382,88
1548985342,2019-02-01T01:42:22Z,SIA32,"1.333328,104.541107",11050,386,88
