Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549071493,2019-02-02T01:38:13Z,SIA32,"1.32959,103.985344",0,18,25
1549071549,2019-02-02T01:39:09Z,SIA32,"1.35318,103.9953",150,183,23
1549071555,2019-02-02T01:39:15Z,SIA32,"1.357956,103.997375",375,181,23
1549071561,2019-02-02T01:39:21Z,SIA32,"1.362534,103.999374",675,179,23
1549071569,2019-02-02T01:39:29Z,SIA32,"1.367249,104.001701",975,176,29
1549071577,2019-02-02T01:39:37Z,SIA32,"1.372559,104.006126",1400,174,49
1549071583,2019-02-02T01:39:43Z,SIA32,"1.375339,104.010406",1675,174,62
1549071591,2019-02-02T01:39:51Z,SIA32,"1.378143,104.017021",1950,176,70
1549071597,2019-02-02T01:39:57Z,SIA32,"1.379654,104.021584",2075,180,71
1549071606,2019-02-02T01:40:06Z,SIA32,"1.38208,104.02903",2200,190,72
1549071616,2019-02-02T01:40:16Z,SIA32,"1.383812,104.037216",2350,199,85
1549071627,2019-02-02T01:40:27Z,SIA32,"1.382446,104.048531",2525,214,105
1549071636,2019-02-02T01:40:36Z,SIA32,"1.379608,104.056824",2675,223,110
1549071643,2019-02-02T01:40:43Z,SIA32,"1.377319,104.062683",2750,228,111
1549071651,2019-02-02T01:40:51Z,SIA32,"1.373337,104.072227",2925,238,113
1549071657,2019-02-02T01:40:57Z,SIA32,"1.370819,104.078003",3050,242,113
1549071663,2019-02-02T01:41:03Z,SIA32,"1.367935,104.084755",3225,245,113
1549071675,2019-02-02T01:41:15Z,SIA32,"1.362538,104.09745",3625,247,112
1549071683,2019-02-02T01:41:23Z,SIA32,"1.359884,104.10379",3825,248,112
1549071693,2019-02-02T01:41:33Z,SIA32,"1.355576,104.116455",4175,249,102
1549071699,2019-02-02T01:41:39Z,SIA32,"1.354385,104.123253",4400,247,96
1549071709,2019-02-02T01:41:49Z,SIA32,"1.353516,104.134048",4675,250,93
1549071717,2019-02-02T01:41:57Z,SIA32,"1.353104,104.144615",4800,260,91
1549071726,2019-02-02T01:42:06Z,SIA32,"1.352783,104.155464",4925,269,91
1549071732,2019-02-02T01:42:12Z,SIA32,"1.352575,104.163078",5075,272,91
1549071744,2019-02-02T01:42:24Z,SIA32,"1.352203,104.178001",5475,273,91
1549071756,2019-02-02T01:42:36Z,SIA32,"1.351877,104.19339",5900,275,91
1549071770,2019-02-02T01:42:50Z,SIA32,"1.351593,104.208351",6250,279,91
1549071780,2019-02-02T01:43:00Z,SIA32,"1.351318,104.224403",6625,281,91
1549071792,2019-02-02T01:43:12Z,SIA32,"1.351044,104.239861",7025,283,90
1549071804,2019-02-02T01:43:24Z,SIA32,"1.350853,104.255753",7425,283,90
1549071818,2019-02-02T01:43:38Z,SIA32,"1.350667,104.27195",7825,285,90
1549071828,2019-02-02T01:43:48Z,SIA32,"1.350586,104.287117",8250,285,90
1549071841,2019-02-02T01:44:01Z,SIA32,"1.350434,104.303108",8650,286,90
1549071853,2019-02-02T01:44:13Z,SIA32,"1.350341,104.319733",8900,293,90
1549071864,2019-02-02T01:44:24Z,SIA32,"1.350341,104.335403",9250,294,90
1549071876,2019-02-02T01:44:36Z,SIA32,"1.350341,104.352074",9675,293,90
1549071888,2019-02-02T01:44:48Z,SIA32,"1.350294,104.368462",9950,295,90
1549071901,2019-02-02T01:45:01Z,SIA32,"1.350294,104.384941",10150,297,90
1549071921,2019-02-02T01:45:21Z,SIA32,"1.350387,104.414062",10500,309,89
1549071933,2019-02-02T01:45:33Z,SIA32,"1.35048,104.43116",10725,316,89
1549071946,2019-02-02T01:45:46Z,SIA32,"1.350586,104.449486",10925,323,89
1549071957,2019-02-02T01:45:57Z,SIA32,"1.350667,104.466812",11075,332,89
1549071970,2019-02-02T01:46:10Z,SIA32,"1.350806,104.486465",11225,340,89
1549071982,2019-02-02T01:46:22Z,SIA32,"1.350992,104.505173",11375,348,89
1549071995,2019-02-02T01:46:35Z,SIA32,"1.351273,104.525322",11525,356,89
1549072009,2019-02-02T01:46:49Z,SIA32,"1.351598,104.550301",11700,365,89
1549072023,2019-02-02T01:47:03Z,SIA32,"1.351868,104.570663",11825,373,89
1549072031,2019-02-02T01:47:11Z,SIA32,"1.352097,104.589844",11975,379,89
1549072045,2019-02-02T01:47:25Z,SIA32,"1.352342,104.612572",12125,385,89
1549072079,2019-02-02T01:47:59Z,SIA32,"1.35318,104.672241",12525,388,88
1549072111,2019-02-02T01:48:31Z,SIA32,"1.354112,104.731201",12925,395,89
1549072144,2019-02-02T01:49:04Z,SIA32,"1.354717,104.792664",13000,397,89
1549072177,2019-02-02T01:49:37Z,SIA32,"1.355368,104.853371",13250,395,89
1549072210,2019-02-02T01:50:10Z,SIA32,"1.35616,104.913422",14050,399,89
1549072242,2019-02-02T01:50:42Z,SIA32,"1.356905,104.972473",14675,406,89
1549072276,2019-02-02T01:51:16Z,SIA32,"1.357864,105.037354",15450,409,89
1549072309,2019-02-02T01:51:49Z,SIA32,"1.358551,105.099495",16075,415,89
1549072342,2019-02-02T01:52:22Z,SIA32,"1.359192,105.163177",16600,423,89
1549072375,2019-02-02T01:52:55Z,SIA32,"1.359879,105.228683",17250,427,89
1549072405,2019-02-02T01:53:25Z,SIA32,"1.360886,105.288734",17750,432,89
1549072439,2019-02-02T01:53:59Z,SIA32,"1.361839,105.353439",18400,434,89
1549072501,2019-02-02T01:55:01Z,SIA32,"1.36322,105.479736",19475,441,88
1549072515,2019-02-02T01:55:15Z,SIA32,"1.366882,105.509529",19675,443,79
1549072534,2019-02-02T01:55:34Z,SIA32,"1.380832,105.544235",19875,448,60
1549072551,2019-02-02T01:55:51Z,SIA32,"1.404295,105.573502",20150,449,48
1549072558,2019-02-02T01:55:58Z,SIA32,"1.412069,105.580315",20250,450,39
1549072568,2019-02-02T01:56:08Z,SIA32,"1.429413,105.593414",20400,451,35
1549072577,2019-02-02T01:56:17Z,SIA32,"1.444473,105.60408",20550,451,35
1549072640,2019-02-02T01:57:20Z,SIA32,"1.552597,105.680656",21675,452,35
1549072701,2019-02-02T01:58:21Z,SIA32,"1.65982,105.75605",22625,456,35
1549072750,2019-02-02T01:59:10Z,SIA32,"1.745087,105.816124",23325,458,34
1549072840,2019-02-02T02:00:40Z,SIA32,"1.911346,105.915138",24375,468,30
1549073276,2019-02-02T02:07:56Z,SIA32,"2.761292,106.416321",28775,500,32
1549073366,2019-02-02T02:09:26Z,SIA32,"2.938284,106.528931",29775,497,32
1549073400,2019-02-02T02:10:00Z,SIA32,"3.005645,106.571831",30125,497,32
1549073457,2019-02-02T02:10:57Z,SIA32,"3.118057,106.643448",31000,491,32
1549073533,2019-02-02T02:12:13Z,SIA32,"3.26131,106.734688",31925,486,32
1549073638,2019-02-02T02:13:58Z,SIA32,"3.461746,106.862434",32000,505,32
1549077586,2019-02-02T03:19:46Z,SIA32,"11.050524,112.279694",36000,507,35
1549080092,2019-02-02T04:01:32Z,SIA32,"15.599258,116.239258",36000,520,47
1549080433,2019-02-02T04:07:13Z,SIA32,"16.157351,116.863533",36000,520,47
1549080494,2019-02-02T04:08:14Z,SIA32,"16.256599,116.975113",36000,522,47
1549080558,2019-02-02T04:09:18Z,SIA32,"16.362135,117.094002",36000,521,47
1549080565,2019-02-02T04:09:25Z,SIA32,"16.373657,117.106979",36000,521,47
1549080666,2019-02-02T04:11:06Z,SIA32,"16.541407,117.296417",36000,520,47
1549080729,2019-02-02T04:12:09Z,SIA32,"16.642937,117.411278",36000,523,47
1549080789,2019-02-02T04:13:09Z,SIA32,"16.740976,117.522423",36000,521,47
1549080850,2019-02-02T04:14:10Z,SIA32,"16.840412,117.635277",36000,521,47
1549080863,2019-02-02T04:14:23Z,SIA32,"16.861038,117.658752",36000,522,47
1549080951,2019-02-02T04:15:51Z,SIA32,"17.003952,117.821434",36000,523,47
1549081015,2019-02-02T04:16:55Z,SIA32,"17.10878,117.940979",36000,524,47
1549081077,2019-02-02T04:17:57Z,SIA32,"17.210312,118.056961",36000,525,47
1549081139,2019-02-02T04:18:59Z,SIA32,"17.312824,118.174294",36000,525,47
1549081200,2019-02-02T04:20:00Z,SIA32,"17.412399,118.288467",36000,526,47
1549082006,2019-02-02T04:33:26Z,SIA32,"18.740158,119.830673",36000,533,48
1549082145,2019-02-02T04:35:45Z,SIA32,"18.969269,120.100677",36000,535,48
1549082207,2019-02-02T04:36:47Z,SIA32,"19.07048,120.220299",36000,535,48
1549082229,2019-02-02T04:37:09Z,SIA32,"19.109116,120.26606",36000,534,48
1549082261,2019-02-02T04:37:41Z,SIA32,"19.160202,120.32663",36000,535,48
1549082346,2019-02-02T04:39:06Z,SIA32,"19.300964,120.493729",36000,535,48
1549082405,2019-02-02T04:40:05Z,SIA32,"19.398085,120.609306",36000,535,48
1549082469,2019-02-02T04:41:09Z,SIA32,"19.50292,120.734352",36000,534,48
1549082535,2019-02-02T04:42:15Z,SIA32,"19.612831,120.865791",36000,537,48
1549082596,2019-02-02T04:43:16Z,SIA32,"19.713043,120.985764",36000,535,48
1549082658,2019-02-02T04:44:18Z,SIA32,"19.812561,121.10524",36000,537,48
1549082717,2019-02-02T04:45:17Z,SIA32,"19.912033,121.224815",36000,539,48
1549082782,2019-02-02T04:46:22Z,SIA32,"20.019699,121.354591",36000,538,48
1549082843,2019-02-02T04:47:23Z,SIA32,"20.119831,121.475533",36000,537,48
1549082905,2019-02-02T04:48:25Z,SIA32,"20.219971,121.596725",36000,541,48
1549082971,2019-02-02T04:49:31Z,SIA32,"20.329828,121.730011",36000,547,48
1549083312,2019-02-02T04:55:12Z,SIA32,"20.896322,122.422356",36000,543,49
1549083320,2019-02-02T04:55:20Z,SIA32,"20.911219,122.440681",36000,542,49
1549083408,2019-02-02T04:56:48Z,SIA32,"21.070847,122.598419",36000,539,35
1549083471,2019-02-02T04:57:51Z,SIA32,"21.203979,122.691521",36000,537,33
1549083532,2019-02-02T04:58:52Z,SIA32,"21.330143,122.779793",36000,538,33
1549083593,2019-02-02T04:59:53Z,SIA32,"21.456482,122.86805",36000,540,33
1549083657,2019-02-02T05:00:57Z,SIA32,"21.589645,122.961334",36000,540,33
1549083719,2019-02-02T05:01:59Z,SIA32,"21.72188,123.0541",36000,539,33
1549083781,2019-02-02T05:03:01Z,SIA32,"21.850317,123.144432",36000,540,33
1549083840,2019-02-02T05:04:00Z,SIA32,"21.967117,123.246155",36000,547,43
1549083905,2019-02-02T05:05:05Z,SIA32,"22.087051,123.364777",36000,547,42
1549083965,2019-02-02T05:06:05Z,SIA32,"22.19997,123.476715",36000,550,42
1549084029,2019-02-02T05:07:09Z,SIA32,"22.319,123.595093",36000,551,42
1549084089,2019-02-02T05:08:09Z,SIA32,"22.43222,123.707832",36000,549,42
1549084152,2019-02-02T05:09:12Z,SIA32,"22.55065,123.826141",36000,549,42
