Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549157688,2019-02-03T01:34:48Z,SIA32,"1.329987,103.983551",0,17,202
1549157726,2019-02-03T01:35:26Z,SIA32,"1.328985,103.984825",0,23,112
1549157734,2019-02-03T01:35:34Z,SIA32,"1.32895,103.985054",0,21,104
1549157825,2019-02-03T01:37:05Z,SIA32,"1.352966,103.995186",125,181,23
1549157832,2019-02-03T01:37:12Z,SIA32,"1.357603,103.997246",350,179,23
1549157839,2019-02-03T01:37:19Z,SIA32,"1.361893,103.999046",600,178,23
1549157851,2019-02-03T01:37:31Z,SIA32,"1.37115,104.002975",1200,173,23
1549157857,2019-02-03T01:37:37Z,SIA32,"1.375717,104.004913",1500,170,23
1549157867,2019-02-03T01:37:47Z,SIA32,"1.384094,104.009148",1950,170,33
1549157874,2019-02-03T01:37:54Z,SIA32,"1.387862,104.012352",2025,177,48
1549157880,2019-02-03T01:38:00Z,SIA32,"1.390457,104.016457",2050,185,65
1549157888,2019-02-03T01:38:08Z,SIA32,"1.391922,104.02433",2125,199,88
1549157908,2019-02-03T01:38:28Z,SIA32,"1.391074,104.041901",2325,219,91
1549157915,2019-02-03T01:38:35Z,SIA32,"1.390702,104.050896",2475,226,92
1549157921,2019-02-03T01:38:41Z,SIA32,"1.390469,104.057243",2625,230,92
1549157928,2019-02-03T01:38:48Z,SIA32,"1.390182,104.06385",2750,234,92
1549157936,2019-02-03T01:38:56Z,SIA32,"1.389862,104.070923",2875,239,92
1549157946,2019-02-03T01:39:06Z,SIA32,"1.389267,104.084518",3100,250,92
1549157958,2019-02-03T01:39:18Z,SIA32,"1.388718,104.098671",3325,260,92
1549157971,2019-02-03T01:39:31Z,SIA32,"1.388141,104.113167",3675,264,92
1549157982,2019-02-03T01:39:42Z,SIA32,"1.387573,104.127205",4050,267,92
1549157990,2019-02-03T01:39:50Z,SIA32,"1.387299,104.135216",4275,267,91
1549158000,2019-02-03T01:40:00Z,SIA32,"1.386838,104.150108",4750,267,91
1549158013,2019-02-03T01:40:13Z,SIA32,"1.38652,104.165192",5225,267,91
1549158023,2019-02-03T01:40:23Z,SIA32,"1.386326,104.17923",5600,269,90
1549158036,2019-02-03T01:40:36Z,SIA32,"1.3862,104.194939",6050,270,90
1549158050,2019-02-03T01:40:50Z,SIA32,"1.386108,104.209976",6350,276,90
1549158060,2019-02-03T01:41:00Z,SIA32,"1.385971,104.225388",6750,278,90
1549158071,2019-02-03T01:41:11Z,SIA32,"1.385814,104.240883",7225,276,90
1549158084,2019-02-03T01:41:24Z,SIA32,"1.385627,104.256325",7700,276,90
1549158096,2019-02-03T01:41:36Z,SIA32,"1.385605,104.271423",8025,280,90
1549158113,2019-02-03T01:41:53Z,SIA32,"1.385559,104.291679",8475,283,90
1549158123,2019-02-03T01:42:03Z,SIA32,"1.385513,104.307037",8825,286,90
1549158136,2019-02-03T01:42:16Z,SIA32,"1.385441,104.32338",9200,287,90
1549158147,2019-02-03T01:42:27Z,SIA32,"1.385348,104.338722",9625,286,90
1549158159,2019-02-03T01:42:39Z,SIA32,"1.385162,104.355293",10050,286,90
1549158173,2019-02-03T01:42:53Z,SIA32,"1.384976,104.371063",10325,292,90
1549158185,2019-02-03T01:43:05Z,SIA32,"1.384743,104.387779",10450,303,90
