Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549243909,2019-02-04T01:31:49Z,SIA32,"1.34643,103.983856",0,25,112
1549244213,2019-02-04T01:36:53Z,SIA32,"1.329987,103.983536",0,21,202
1549244242,2019-02-04T01:37:22Z,SIA32,"1.329128,103.984482",0,30,112
1549244371,2019-02-04T01:39:31Z,SIA32,"1.352325,103.995049",150,178,23
1549244378,2019-02-04T01:39:38Z,SIA32,"1.356857,103.997047",375,177,24
1549244390,2019-02-04T01:39:50Z,SIA32,"1.36575,104.000984",875,175,23
1549244396,2019-02-04T01:39:56Z,SIA32,"1.370453,104.003052",1175,175,23
1549244403,2019-02-04T01:40:03Z,SIA32,"1.374756,104.004959",1425,174,24
1549244415,2019-02-04T01:40:15Z,SIA32,"1.383545,104.008827",1900,175,23
1549244427,2019-02-04T01:40:27Z,SIA32,"1.393158,104.01297",2100,187,22
1549244437,2019-02-04T01:40:37Z,SIA32,"1.403366,104.017113",2225,201,21
1549244443,2019-02-04T01:40:43Z,SIA32,"1.408401,104.019112",2300,207,21
1549244450,2019-02-04T01:40:50Z,SIA32,"1.412721,104.020874",2375,211,24
1549244458,2019-02-04T01:40:58Z,SIA32,"1.421426,104.026466",2525,220,41
1549244464,2019-02-04T01:41:04Z,SIA32,"1.42543,104.030983",2625,227,54
1549244470,2019-02-04T01:41:10Z,SIA32,"1.428497,104.036713",2700,234,68
1549244476,2019-02-04T01:41:16Z,SIA32,"1.430131,104.04332",2800,242,81
1549244484,2019-02-04T01:41:24Z,SIA32,"1.43069,104.050232",2875,251,87
1549244491,2019-02-04T01:41:31Z,SIA32,"1.430832,104.060966",3025,260,89
1549244502,2019-02-04T01:41:42Z,SIA32,"1.430832,104.071854",3350,261,89
1549244509,2019-02-04T01:41:49Z,SIA32,"1.430969,104.082748",3700,260,88
1549244516,2019-02-04T01:41:56Z,SIA32,"1.431202,104.089684",3900,261,88
1549244529,2019-02-04T01:42:09Z,SIA32,"1.431702,104.104446",4300,264,87
1549244539,2019-02-04T01:42:19Z,SIA32,"1.432343,104.118736",4700,265,87
1549244545,2019-02-04T01:42:25Z,SIA32,"1.432552,104.12368",4825,266,87
1549244551,2019-02-04T01:42:31Z,SIA32,"1.432971,104.132919",5025,269,87
1549244564,2019-02-04T01:42:44Z,SIA32,"1.433762,104.149643",5300,280,87
1549244578,2019-02-04T01:42:58Z,SIA32,"1.434507,104.165588",5425,294,88
1549244601,2019-02-04T01:43:21Z,SIA32,"1.427105,104.198029",5725,320,114
1549244608,2019-02-04T01:43:28Z,SIA32,"1.422962,104.206841",5800,326,115
1549244618,2019-02-04T01:43:38Z,SIA32,"1.41481,104.223526",5950,337,115
1549244630,2019-02-04T01:43:50Z,SIA32,"1.406716,104.240318",6100,347,115
1549244641,2019-02-04T01:44:01Z,SIA32,"1.398615,104.257271",6275,355,115
1549244655,2019-02-04T01:44:15Z,SIA32,"1.389864,104.275879",6575,360,114
1549244668,2019-02-04T01:44:28Z,SIA32,"1.381165,104.294563",6950,362,114
1549244677,2019-02-04T01:44:37Z,SIA32,"1.373244,104.311729",7350,363,114
1549244690,2019-02-04T01:44:50Z,SIA32,"1.364227,104.331245",7700,367,114
1549244702,2019-02-04T01:45:02Z,SIA32,"1.355484,104.350098",8050,370,114
1549244714,2019-02-04T01:45:14Z,SIA32,"1.346849,104.368698",8475,369,114
1549244726,2019-02-04T01:45:26Z,SIA32,"1.338364,104.387199",8900,370,114
1549244738,2019-02-04T01:45:38Z,SIA32,"1.331487,104.406387",9275,369,103
1549244744,2019-02-04T01:45:44Z,SIA32,"1.329895,104.416481",9475,368,96
1549244751,2019-02-04T01:45:51Z,SIA32,"1.329579,104.426659",9650,369,88
1549244757,2019-02-04T01:45:57Z,SIA32,"1.330044,104.43689",9825,368,86
1549244763,2019-02-04T01:46:03Z,SIA32,"1.330719,104.447113",10025,368,86
1549244772,2019-02-04T01:46:12Z,SIA32,"1.331534,104.462456",10350,368,87
1549244783,2019-02-04T01:46:23Z,SIA32,"1.332278,104.483109",10675,371,88
1549244794,2019-02-04T01:46:34Z,SIA32,"1.332791,104.504135",11025,373,88
1549244808,2019-02-04T01:46:48Z,SIA32,"1.333116,104.524017",11325,375,88
1549244819,2019-02-04T01:46:59Z,SIA32,"1.333511,104.54525",11675,375,88
1549244831,2019-02-04T01:47:11Z,SIA32,"1.333923,104.566429",11950,379,88
1549244845,2019-02-04T01:47:25Z,SIA32,"1.33442,104.587662",12225,382,88
1549244876,2019-02-04T01:47:56Z,SIA32,"1.335817,104.646767",13025,387,88
1549244910,2019-02-04T01:48:30Z,SIA32,"1.33726,104.705719",13850,392,88
