Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549849202,2019-02-11T01:40:02Z,SIA32,"1.329276,103.985275",0,13,112
1549849287,2019-02-11T01:41:27Z,SIA32,"1.353973,103.995697",225,173,24
1549849294,2019-02-11T01:41:34Z,SIA32,"1.358826,103.997795",525,170,23
1549849300,2019-02-11T01:41:40Z,SIA32,"1.363282,103.99971",775,171,22
1549849308,2019-02-11T01:41:48Z,SIA32,"1.367844,104.00161",1025,172,22
1549849314,2019-02-11T01:41:54Z,SIA32,"1.372238,104.003426",1275,169,22
1549849320,2019-02-11T01:42:00Z,SIA32,"1.376678,104.005241",1550,169,22
1549849329,2019-02-11T01:42:09Z,SIA32,"1.385284,104.008781",1925,172,22
1549849335,2019-02-11T01:42:15Z,SIA32,"1.389771,104.010643",2000,177,22
1549849343,2019-02-11T01:42:23Z,SIA32,"1.39444,104.012596",2100,184,22
1549849354,2019-02-11T01:42:34Z,SIA32,"1.404528,104.0168",2325,194,23
1549849360,2019-02-11T01:42:40Z,SIA32,"1.409363,104.018837",2450,198,23
1549849366,2019-02-11T01:42:46Z,SIA32,"1.414676,104.021111",2600,200,23
1549849372,2019-02-11T01:42:52Z,SIA32,"1.419704,104.023293",2750,204,23
1549849378,2019-02-11T01:42:58Z,SIA32,"1.42529,104.025703",2875,208,23
1549849386,2019-02-11T01:43:06Z,SIA32,"1.430557,104.028008",2975,214,23
1549849395,2019-02-11T01:43:15Z,SIA32,"1.441676,104.032806",3125,227,23
1549849402,2019-02-11T01:43:22Z,SIA32,"1.447815,104.035454",3250,232,23
1549849408,2019-02-11T01:43:28Z,SIA32,"1.453687,104.037926",3425,235,22
1549849414,2019-02-11T01:43:34Z,SIA32,"1.460064,104.040672",3625,237,24
1549849422,2019-02-11T01:43:42Z,SIA32,"1.465942,104.043785",3775,242,33
1549849431,2019-02-11T01:43:51Z,SIA32,"1.473611,104.050613",3975,249,50
1549849438,2019-02-11T01:43:58Z,SIA32,"1.479104,104.059517",4075,260,66
1549849447,2019-02-11T01:44:07Z,SIA32,"1.481506,104.069946",4175,271,86
1549849453,2019-02-11T01:44:13Z,SIA32,"1.481049,104.07814",4250,278,100
1549849460,2019-02-11T01:44:20Z,SIA32,"1.479058,104.085281",4350,284,109
1549849466,2019-02-11T01:44:26Z,SIA32,"1.476218,104.092758",4475,287,111
1549849475,2019-02-11T01:44:35Z,SIA32,"1.47147,104.104027",4750,290,114
1549849483,2019-02-11T01:44:43Z,SIA32,"1.466302,104.115158",5075,291,115
1549849498,2019-02-11T01:44:58Z,SIA32,"1.45769,104.132729",5375,291,116
1549849512,2019-02-11T01:45:12Z,SIA32,"1.450288,104.14769",5525,289,116
1549849522,2019-02-11T01:45:22Z,SIA32,"1.444237,104.159859",5600,288,116
1549849532,2019-02-11T01:45:32Z,SIA32,"1.437378,104.173805",5700,287,116
1549849546,2019-02-11T01:45:46Z,SIA32,"1.428967,104.19088",5850,286,115
1549849559,2019-02-11T01:45:59Z,SIA32,"1.421892,104.205513",6075,288,115
1549849570,2019-02-11T01:46:10Z,SIA32,"1.415281,104.21962",6575,285,114
1549849583,2019-02-11T01:46:23Z,SIA32,"1.408585,104.234093",7100,281,114
1549849594,2019-02-11T01:46:34Z,SIA32,"1.401967,104.248177",7525,283,115
1549849607,2019-02-11T01:46:47Z,SIA32,"1.395357,104.262527",7900,285,114
1549849620,2019-02-11T01:47:00Z,SIA32,"1.388443,104.277573",8275,287,114
1549849630,2019-02-11T01:47:10Z,SIA32,"1.38208,104.291634",8675,287,114
1549849644,2019-02-11T01:47:24Z,SIA32,"1.375432,104.306328",9100,287,114
1549849658,2019-02-11T01:47:38Z,SIA32,"1.366974,104.324913",9650,286,114
1549849670,2019-02-11T01:47:50Z,SIA32,"1.360428,104.339256",9950,291,114
1549849681,2019-02-11T01:48:01Z,SIA32,"1.353607,104.354012",10075,301,114
1549849694,2019-02-11T01:48:14Z,SIA32,"1.346291,104.369926",10225,312,114
1549849708,2019-02-11T01:48:28Z,SIA32,"1.33905,104.385574",10350,322,114
1549849718,2019-02-11T01:48:38Z,SIA32,"1.332047,104.402702",10475,331,107
1549849725,2019-02-11T01:48:45Z,SIA32,"1.330032,104.412018",10550,336,97
1549849751,2019-02-11T01:49:11Z,SIA32,"1.330696,104.45488",10825,356,87
1549849766,2019-02-11T01:49:26Z,SIA32,"1.331627,104.479172",11000,366,88
1549849778,2019-02-11T01:49:38Z,SIA32,"1.332278,104.500534",11150,374,88
1549849789,2019-02-11T01:49:49Z,SIA32,"1.332837,104.52066",11275,381,88
1549849802,2019-02-11T01:50:02Z,SIA32,"1.333396,104.542961",11500,386,88
1549849815,2019-02-11T01:50:15Z,SIA32,"1.333908,104.56427",11800,388,88
1549849826,2019-02-11T01:50:26Z,SIA32,"1.334427,104.585838",12075,390,88
1549849860,2019-02-11T01:51:00Z,SIA32,"1.335863,104.646767",12850,397,88
1549849894,2019-02-11T01:51:34Z,SIA32,"1.337306,104.70771",13700,401,88
1549849926,2019-02-11T01:52:06Z,SIA32,"1.338821,104.768745",14000,408,88
1549849955,2019-02-11T01:52:35Z,SIA32,"1.340192,104.826805",14000,410,88
1549849989,2019-02-11T01:53:09Z,SIA32,"1.341682,104.888748",14000,411,88
1549850022,2019-02-11T01:53:42Z,SIA32,"1.343218,104.951401",14200,412,88
1549850055,2019-02-11T01:54:15Z,SIA32,"1.344772,105.013985",15275,407,88
1549850096,2019-02-11T01:54:56Z,SIA32,"1.346603,105.093071",16150,412,88
1549850128,2019-02-11T01:55:28Z,SIA32,"1.34806,105.153221",16875,414,88
1549850163,2019-02-11T01:56:03Z,SIA32,"1.34967,105.220444",17725,413,88
1549850196,2019-02-11T01:56:36Z,SIA32,"1.351132,105.283356",18350,415,88
1549850230,2019-02-11T01:57:10Z,SIA32,"1.352646,105.346085",18950,418,88
1549850324,2019-02-11T01:58:44Z,SIA32,"1.357091,105.532822",20375,430,88
1549850370,2019-02-11T01:59:30Z,SIA32,"1.359238,105.624092",21050,435,88
1549850428,2019-02-11T02:00:28Z,SIA32,"1.369846,105.74028",22175,435,72
1549850438,2019-02-11T02:00:38Z,SIA32,"1.377823,105.75882",22350,436,64
1549850444,2019-02-11T02:00:44Z,SIA32,"1.383865,105.769707",22475,438,59
1549850452,2019-02-11T02:00:52Z,SIA32,"1.393681,105.784225",22625,440,53
1549850460,2019-02-11T02:01:00Z,SIA32,"1.402898,105.795448",22750,442,48
1549850488,2019-02-11T02:01:28Z,SIA32,"1.449264,105.832199",23100,454,28
1549850504,2019-02-11T02:01:44Z,SIA32,"1.478302,105.846664",23225,459,26
1549850645,2019-02-11T02:04:05Z,SIA32,"1.7492,105.987762",24825,472,27
1549850658,2019-02-11T02:04:18Z,SIA32,"1.774475,106.000793",25000,473,27
1549850846,2019-02-11T02:07:26Z,SIA32,"2.1465,106.193336",27000,485,27
1549850913,2019-02-11T02:08:33Z,SIA32,"2.281153,106.262985",27725,487,27
1549850976,2019-02-11T02:09:36Z,SIA32,"2.405121,106.327248",28125,496,27
1549851022,2019-02-11T02:10:22Z,SIA32,"2.499296,106.376022",28500,499,27
1549851191,2019-02-11T02:13:11Z,SIA32,"2.849602,106.557343",30150,500,27
1549851280,2019-02-11T02:14:40Z,SIA32,"3.029984,106.650757",31000,500,27
1549851342,2019-02-11T02:15:42Z,SIA32,"3.163101,106.719658",31000,503,27
1549851408,2019-02-11T02:16:48Z,SIA32,"3.299973,106.790558",31000,503,27
1549851433,2019-02-11T02:17:13Z,SIA32,"3.351929,106.817459",31000,504,27
1549857305,2019-02-11T03:55:05Z,SIA32,"11.90332,117.515068",31000,507,52
1549857365,2019-02-11T03:56:05Z,SIA32,"11.990204,117.629906",31000,508,52
1549857426,2019-02-11T03:57:06Z,SIA32,"12.078735,117.747063",31000,511,52
1549857488,2019-02-11T03:58:08Z,SIA32,"12.168594,117.866013",31000,509,52
1549857550,2019-02-11T03:59:10Z,SIA32,"12.256897,117.98317",31000,510,52
1549857611,2019-02-11T04:00:11Z,SIA32,"12.345468,118.100761",31000,510,52
1549857672,2019-02-11T04:01:12Z,SIA32,"12.434097,118.218575",31400,511,52
1549857681,2019-02-11T04:01:21Z,SIA32,"12.446869,118.235619",31525,510,52
1549857773,2019-02-11T04:02:53Z,SIA32,"12.578368,118.410744",32350,514,52
1549857833,2019-02-11T04:03:53Z,SIA32,"12.666306,118.528023",33075,511,52
1549857895,2019-02-11T04:04:55Z,SIA32,"12.754662,118.646034",33750,509,52
1549857955,2019-02-11T04:05:55Z,SIA32,"12.842087,118.762978",34300,509,52
