Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550022274,2019-02-13T01:44:34Z,SIA32,"1.353745,103.99556",150,177,23
1550022285,2019-02-13T01:44:45Z,SIA32,"1.36277,103.999474",675,175,23
1550022291,2019-02-13T01:44:51Z,SIA32,"1.36734,104.001373",975,172,22
1550022303,2019-02-13T01:45:03Z,SIA32,"1.376266,104.005005",1525,171,22
1550022313,2019-02-13T01:45:13Z,SIA32,"1.385069,104.008614",1850,176,22
1550022320,2019-02-13T01:45:20Z,SIA32,"1.389724,104.010506",1950,182,22
1550022326,2019-02-13T01:45:26Z,SIA32,"1.394623,104.012505",2025,188,22
1550022334,2019-02-13T01:45:34Z,SIA32,"1.399567,104.014503",2100,194,22
1550022345,2019-02-13T01:45:45Z,SIA32,"1.410416,104.018929",2250,208,22
1550022356,2019-02-13T01:45:56Z,SIA32,"1.4211,104.02343",2425,219,23
1550022362,2019-02-13T01:46:02Z,SIA32,"1.427012,104.02594",2550,224,23
1550022369,2019-02-13T01:46:09Z,SIA32,"1.432709,104.028374",2650,230,23
1550022376,2019-02-13T01:46:16Z,SIA32,"1.438477,104.030846",2850,232,23
1550022387,2019-02-13T01:46:27Z,SIA32,"1.451033,104.036263",3300,232,23
1550022400,2019-02-13T01:46:40Z,SIA32,"1.462718,104.041473",3750,232,27
1550022406,2019-02-13T01:46:46Z,SIA32,"1.467865,104.044762",3950,232,37
1550022414,2019-02-13T01:46:54Z,SIA32,"1.474775,104.051941",4250,235,54
1550022421,2019-02-13T01:47:01Z,SIA32,"1.478119,104.05761",4400,241,64
1550022429,2019-02-13T01:47:09Z,SIA32,"1.481186,104.067528",4525,251,80
1550022453,2019-02-13T01:47:33Z,SIA32,"1.474686,104.095833",5050,270,112
1550022460,2019-02-13T01:47:40Z,SIA32,"1.470259,104.106018",5400,270,114
1550022474,2019-02-13T01:47:54Z,SIA32,"1.463835,104.119896",5800,272,115
1550022485,2019-02-13T01:48:05Z,SIA32,"1.457225,104.133347",6200,274,116
1550022498,2019-02-13T01:48:18Z,SIA32,"1.450568,104.14679",6650,273,116
1550022512,2019-02-13T01:48:32Z,SIA32,"1.443538,104.160812",7125,272,116
1550022522,2019-02-13T01:48:42Z,SIA32,"1.43692,104.174179",7500,275,116
1550022534,2019-02-13T01:48:54Z,SIA32,"1.430099,104.188332",7850,278,115
1550022547,2019-02-13T01:49:07Z,SIA32,"1.423567,104.202148",8150,283,114
1550022557,2019-02-13T01:49:17Z,SIA32,"1.41691,104.216499",8475,286,114
1550022572,2019-02-13T01:49:32Z,SIA32,"1.410095,104.231209",8900,286,114
1550022582,2019-02-13T01:49:42Z,SIA32,"1.403597,104.245293",9325,284,114
1550022594,2019-02-13T01:49:54Z,SIA32,"1.39694,104.259827",9675,286,114
1550022607,2019-02-13T01:50:07Z,SIA32,"1.390329,104.274178",9950,290,114
1550022619,2019-02-13T01:50:19Z,SIA32,"1.38327,104.289444",10125,300,114
1550022629,2019-02-13T01:50:29Z,SIA32,"1.376266,104.304573",10225,311,114
1550022642,2019-02-13T01:50:42Z,SIA32,"1.368896,104.320496",10300,323,114
1550022653,2019-02-13T01:50:53Z,SIA32,"1.361094,104.337486",10400,334,114
1550022668,2019-02-13T01:51:08Z,SIA32,"1.353041,104.354965",10500,344,114
1550022680,2019-02-13T01:51:20Z,SIA32,"1.345034,104.372437",10600,353,114
1550022689,2019-02-13T01:51:29Z,SIA32,"1.336807,104.390411",10725,362,113
1550022699,2019-02-13T01:51:39Z,SIA32,"1.331953,104.405304",10850,368,102
1550022705,2019-02-13T01:51:45Z,SIA32,"1.330463,104.415154",10925,371,95
1550022730,2019-02-13T01:52:10Z,SIA32,"1.332046,104.45739",11200,386,87
1550022740,2019-02-13T01:52:20Z,SIA32,"1.332651,104.479126",11350,392,88
1550022753,2019-02-13T01:52:33Z,SIA32,"1.332962,104.500229",11575,396,89
1550022765,2019-02-13T01:52:45Z,SIA32,"1.333237,104.521736",11775,395,89
1550022777,2019-02-13T01:52:57Z,SIA32,"1.333535,104.544952",11975,395,89
1550022791,2019-02-13T01:53:11Z,SIA32,"1.333878,104.566292",12175,395,88
1550022823,2019-02-13T01:53:43Z,SIA32,"1.335165,104.627586",12675,397,88
1550022857,2019-02-13T01:54:17Z,SIA32,"1.336701,104.688057",12975,401,88
1550022889,2019-02-13T01:54:49Z,SIA32,"1.338191,104.749573",13250,402,88
1550022922,2019-02-13T01:55:22Z,SIA32,"1.339634,104.811089",13825,404,88
1550022951,2019-02-13T01:55:51Z,SIA32,"1.340927,104.865433",14625,405,88
1550022985,2019-02-13T01:56:25Z,SIA32,"1.342473,104.928719",15175,414,88
1550023017,2019-02-13T01:56:57Z,SIA32,"1.343948,104.992149",15925,418,88
1550023050,2019-02-13T01:57:30Z,SIA32,"1.345505,105.056526",16450,427,88
1550023082,2019-02-13T01:58:02Z,SIA32,"1.347107,105.119843",17075,430,88
1550023116,2019-02-13T01:58:36Z,SIA32,"1.348618,105.184456",17700,434,88
1550023149,2019-02-13T01:59:09Z,SIA32,"1.350248,105.254044",18450,434,88
1550023219,2019-02-13T02:00:19Z,SIA32,"1.353607,105.393425",19800,439,88
1550023282,2019-02-13T02:01:22Z,SIA32,"1.356674,105.523773",20700,449,88
1550023344,2019-02-13T02:02:24Z,SIA32,"1.35965,105.648209",21675,454,88
1550023406,2019-02-13T02:03:26Z,SIA32,"1.388489,105.775108",22850,456,59
1550023427,2019-02-13T02:03:47Z,SIA32,"1.41806,105.809464",23075,462,42
1550023435,2019-02-13T02:03:55Z,SIA32,"1.431435,105.820503",23175,464,36
