Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550280915,2019-02-16T01:35:15Z,SIA32,"1.355927,103.996536",275,176,24
1550280927,2019-02-16T01:35:27Z,SIA32,"1.364725,104.000511",800,173,24
1550280936,2019-02-16T01:35:36Z,SIA32,"1.373151,104.004158",1350,168,23
1550280943,2019-02-16T01:35:43Z,SIA32,"1.377823,104.006126",1650,166,23
1550280949,2019-02-16T01:35:49Z,SIA32,"1.382229,104.007996",1875,166,23
1550280957,2019-02-16T01:35:57Z,SIA32,"1.386558,104.009842",1975,171,23
1550280967,2019-02-16T01:36:07Z,SIA32,"1.395447,104.014275",2075,185,31
1550280977,2019-02-16T01:36:17Z,SIA32,"1.40181,104.019669",2200,196,47
1550280987,2019-02-16T01:36:27Z,SIA32,"1.406204,104.026886",2325,209,68
1550280996,2019-02-16T01:36:36Z,SIA32,"1.408019,104.035126",2400,221,85
1550281018,2019-02-16T01:36:58Z,SIA32,"1.405197,104.061569",2950,241,100
1550281026,2019-02-16T01:37:06Z,SIA32,"1.403778,104.068321",3175,241,102
1550281038,2019-02-16T01:37:18Z,SIA32,"1.400574,104.081726",3600,244,103
1550281045,2019-02-16T01:37:25Z,SIA32,"1.398941,104.088211",3800,245,104
1550281055,2019-02-16T01:37:35Z,SIA32,"1.395493,104.101463",4150,249,104
1550281061,2019-02-16T01:37:41Z,SIA32,"1.393821,104.108101",4250,255,104
1550281068,2019-02-16T01:37:48Z,SIA32,"1.392052,104.115067",4325,262,104
1550281075,2019-02-16T01:37:55Z,SIA32,"1.390228,104.122459",4425,269,103
1550281087,2019-02-16T01:38:07Z,SIA32,"1.386703,104.137169",4725,275,103
1550281096,2019-02-16T01:38:16Z,SIA32,"1.383207,104.152328",5125,278,102
1550281111,2019-02-16T01:38:31Z,SIA32,"1.379995,104.167625",5500,280,102
1550281120,2019-02-16T01:38:40Z,SIA32,"1.376736,104.18264",5875,280,101
1550281135,2019-02-16T01:38:55Z,SIA32,"1.373657,104.198196",6300,283,101
1550281145,2019-02-16T01:39:05Z,SIA32,"1.371277,104.213562",6625,288,95
1550281154,2019-02-16T01:39:14Z,SIA32,"1.370636,104.225899",6950,289,90
1550281162,2019-02-16T01:39:22Z,SIA32,"1.370591,104.233688",7150,289,90
1550281178,2019-02-16T01:39:38Z,SIA32,"1.370451,104.258026",7725,293,90
1550281191,2019-02-16T01:39:51Z,SIA32,"1.37027,104.274124",8150,292,90
1550281203,2019-02-16T01:40:03Z,SIA32,"1.369986,104.290085",8575,292,91
1550281214,2019-02-16T01:40:14Z,SIA32,"1.368851,104.306709",8925,296,96
1550281221,2019-02-16T01:40:21Z,SIA32,"1.36734,104.315231",9100,299,102
1550281227,2019-02-16T01:40:27Z,SIA32,"1.365097,104.323006",9250,300,108
1550281235,2019-02-16T01:40:35Z,SIA32,"1.360024,104.33493",9525,302,114
1550281243,2019-02-16T01:40:43Z,SIA32,"1.356445,104.342697",9675,304,114
1550281252,2019-02-16T01:40:52Z,SIA32,"1.351272,104.354019",9950,304,113
1550281261,2019-02-16T01:41:01Z,SIA32,"1.345093,104.368347",10275,307,112
1550281275,2019-02-16T01:41:15Z,SIA32,"1.337631,104.386131",10450,319,112
1550281286,2019-02-16T01:41:26Z,SIA32,"1.33136,104.403122",10575,328,105
1550281292,2019-02-16T01:41:32Z,SIA32,"1.329625,104.412361",10650,333,96
1550281299,2019-02-16T01:41:39Z,SIA32,"1.329208,104.421417",10700,337,90
1550281321,2019-02-16T01:42:01Z,SIA32,"1.330582,104.455307",10950,354,87
1550281332,2019-02-16T01:42:12Z,SIA32,"1.331451,104.474533",11075,364,87
1550281346,2019-02-16T01:42:26Z,SIA32,"1.332184,104.495811",11200,373,88
1550281356,2019-02-16T01:42:36Z,SIA32,"1.332791,104.516304",11300,381,88
1550281368,2019-02-16T01:42:48Z,SIA32,"1.333303,104.537567",11450,389,88
1550281380,2019-02-16T01:43:00Z,SIA32,"1.333786,104.558281",11625,394,88
1550281394,2019-02-16T01:43:14Z,SIA32,"1.334327,104.581985",11950,397,88
1550281406,2019-02-16T01:43:26Z,SIA32,"1.334793,104.603439",12275,398,88
1550281437,2019-02-16T01:43:57Z,SIA32,"1.336189,104.663055",13525,391,88
1550281471,2019-02-16T01:44:31Z,SIA32,"1.337631,104.723541",14350,397,88
1550281505,2019-02-16T01:45:05Z,SIA32,"1.339168,104.785133",15150,401,88
1550281538,2019-02-16T01:45:38Z,SIA32,"1.340611,104.846741",16075,400,88
1550281571,2019-02-16T01:46:11Z,SIA32,"1.342054,104.908302",16775,406,88
1550281603,2019-02-16T01:46:43Z,SIA32,"1.343582,104.969894",17550,408,88
1550281635,2019-02-16T01:47:15Z,SIA32,"1.345093,105.032692",18225,412,88
1550281696,2019-02-16T01:48:16Z,SIA32,"1.347794,105.147682",19400,418,88
1550281755,2019-02-16T01:49:15Z,SIA32,"1.350586,105.264198",20600,422,88
1550281907,2019-02-16T01:51:47Z,SIA32,"1.357743,105.565163",23350,428,88
1550281959,2019-02-16T01:52:39Z,SIA32,"1.360163,105.665321",24300,427,88
1550282027,2019-02-16T01:53:47Z,SIA32,"1.398615,105.794884",25250,442,48
1550282036,2019-02-16T01:53:56Z,SIA32,"1.412109,105.808067",25375,444,41
1550282042,2019-02-16T01:54:02Z,SIA32,"1.422043,105.815987",25450,445,36
1550282048,2019-02-16T01:54:08Z,SIA32,"1.432663,105.823105",25525,448,32
1550282055,2019-02-16T01:54:15Z,SIA32,"1.443512,105.829254",25600,449,28
1550282061,2019-02-16T01:54:21Z,SIA32,"1.45499,105.834991",25650,450,26
1550282069,2019-02-16T01:54:29Z,SIA32,"1.469002,105.841858",25725,451,26
1550282132,2019-02-16T01:55:32Z,SIA32,"1.585197,105.902901",26450,458,27
1550282240,2019-02-16T01:57:20Z,SIA32,"1.789421,106.008598",27975,458,27
1550282254,2019-02-16T01:57:34Z,SIA32,"1.820984,106.024933",28250,457,27
1550282424,2019-02-16T02:00:24Z,SIA32,"2.140239,106.190109",29975,463,27
1550282483,2019-02-16T02:01:23Z,SIA32,"2.252655,106.248314",30225,473,27
1550282549,2019-02-16T02:02:29Z,SIA32,"2.381799,106.31517",30850,473,27
1550282571,2019-02-16T02:02:51Z,SIA32,"2.428723,106.339462",31050,475,27
1550282762,2019-02-16T02:06:02Z,SIA32,"2.806634,106.535088",32000,494,27
1550282785,2019-02-16T02:06:25Z,SIA32,"2.856674,106.561005",32000,500,27
1550282875,2019-02-16T02:07:55Z,SIA32,"3.04454,106.658302",32000,512,27
1550282925,2019-02-16T02:08:45Z,SIA32,"3.150833,106.713371",32000,513,27
1550283016,2019-02-16T02:10:16Z,SIA32,"3.344546,106.813675",32000,517,27
1550289342,2019-02-16T03:55:42Z,SIA32,"15.485742,116.113029",35000,539,47
1550289730,2019-02-16T04:02:10Z,SIA32,"16.145599,116.850441",35000,537,47
1550289794,2019-02-16T04:03:14Z,SIA32,"16.25267,116.970856",35000,537,47
1550289806,2019-02-16T04:03:26Z,SIA32,"16.272812,116.993507",35000,537,47
1550289979,2019-02-16T04:06:19Z,SIA32,"16.563101,117.321037",35000,535,47
1550290042,2019-02-16T04:07:22Z,SIA32,"16.669418,117.441437",35000,536,47
1550290103,2019-02-16T04:08:23Z,SIA32,"16.770721,117.556313",35000,536,47
1550290163,2019-02-16T04:09:23Z,SIA32,"16.87413,117.673744",35000,535,47
1550290226,2019-02-16T04:10:26Z,SIA32,"16.979836,117.794037",35000,535,47
1550290289,2019-02-16T04:11:29Z,SIA32,"17.082825,117.911392",35000,536,47
1550290348,2019-02-16T04:12:28Z,SIA32,"17.184586,118.027664",35000,538,47
1550290413,2019-02-16T04:13:33Z,SIA32,"17.290665,118.148987",35000,538,47
1550290472,2019-02-16T04:14:32Z,SIA32,"17.392685,118.265945",35000,539,47
1550290534,2019-02-16T04:15:34Z,SIA32,"17.494936,118.383324",35000,538,47
1550290594,2019-02-16T04:16:34Z,SIA32,"17.597122,118.500893",35000,540,47
1550290658,2019-02-16T04:17:38Z,SIA32,"17.704607,118.624779",35000,542,47
1550290719,2019-02-16T04:18:39Z,SIA32,"17.807209,118.743225",35000,543,47
1550290780,2019-02-16T04:19:40Z,SIA32,"17.910049,118.86219",35000,542,47
1550290843,2019-02-16T04:20:43Z,SIA32,"18.017578,118.986801",35000,540,47
1550290907,2019-02-16T04:21:47Z,SIA32,"18.124924,119.111458",35000,543,48
1550290968,2019-02-16T04:22:48Z,SIA32,"18.227234,119.230499",35000,543,48
1550291028,2019-02-16T04:23:48Z,SIA32,"18.328537,119.348602",35000,540,48
1550291092,2019-02-16T04:24:52Z,SIA32,"18.435974,119.474113",35000,541,48
1550291157,2019-02-16T04:25:57Z,SIA32,"18.543457,119.599869",35000,543,48
1550291218,2019-02-16T04:26:58Z,SIA32,"18.645382,119.719414",35000,543,48
1550291278,2019-02-16T04:27:58Z,SIA32,"18.747574,119.839508",35000,541,48
1550291339,2019-02-16T04:28:59Z,SIA32,"18.848768,119.958565",35000,539,48
1550291400,2019-02-16T04:30:00Z,SIA32,"18.950113,120.078171",35000,536,48
1550291461,2019-02-16T04:31:01Z,SIA32,"19.051411,120.197922",35000,535,48
1550291521,2019-02-16T04:32:01Z,SIA32,"19.151497,120.316475",35000,536,48
1550291585,2019-02-16T04:33:05Z,SIA32,"19.256744,120.441299",35000,537,48
1550291645,2019-02-16T04:34:05Z,SIA32,"19.357025,120.56057",35000,538,48
