Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550886742,2019-02-23T01:52:22Z,SIA32,"1.350277,103.981049",0,18,213
1550886764,2019-02-23T01:52:44Z,SIA32,"1.349608,103.980774",0,23,202
1550886786,2019-02-23T01:53:06Z,SIA32,"1.348677,103.9804",0,25,202
1550886806,2019-02-23T01:53:26Z,SIA32,"1.347722,103.980324",0,26,160
1550886814,2019-02-23T01:53:34Z,SIA32,"1.347583,103.980705",0,25,118
1550886825,2019-02-23T01:53:45Z,SIA32,"1.347427,103.981094",0,26,112
1550887357,2019-02-23T02:02:37Z,SIA32,"1.330902,103.983932",0,11,202
1550887429,2019-02-23T02:03:49Z,SIA32,"1.329765,103.983498",0,18,194
1550887456,2019-02-23T02:04:16Z,SIA32,"1.329346,103.983917",0,10,126
1550887718,2019-02-23T02:08:38Z,SIA32,"1.328962,103.984947",0,20,109
1550887812,2019-02-23T02:10:12Z,SIA32,"1.352234,103.994949",200,175,23
1550887820,2019-02-23T02:10:20Z,SIA32,"1.356905,103.997009",425,175,23
1550887826,2019-02-23T02:10:26Z,SIA32,"1.361374,103.998947",675,174,23
1550887837,2019-02-23T02:10:37Z,SIA32,"1.369986,104.002693",1150,174,23
1550887848,2019-02-23T02:10:48Z,SIA32,"1.37915,104.006683",1650,175,23
1550887854,2019-02-23T02:10:54Z,SIA32,"1.383486,104.00856",1850,175,23
1550887861,2019-02-23T02:11:01Z,SIA32,"1.388168,104.010597",1975,180,23
1550887872,2019-02-23T02:11:12Z,SIA32,"1.397917,104.014671",2100,193,22
1550887880,2019-02-23T02:11:20Z,SIA32,"1.402665,104.016617",2175,199,22
1550887892,2019-02-23T02:11:32Z,SIA32,"1.412842,104.020836",2375,209,22
1550887902,2019-02-23T02:11:42Z,SIA32,"1.424469,104.025681",2550,223,22
1550887908,2019-02-23T02:11:48Z,SIA32,"1.430318,104.028168",2650,230,23
1550887915,2019-02-23T02:11:55Z,SIA32,"1.436646,104.030846",2825,233,22
1550887927,2019-02-23T02:12:07Z,SIA32,"1.448776,104.035965",3175,237,23
1550887933,2019-02-23T02:12:13Z,SIA32,"1.454956,104.038528",3400,238,22
1550887940,2019-02-23T02:12:20Z,SIA32,"1.461042,104.041046",3600,238,22
1550887952,2019-02-23T02:12:32Z,SIA32,"1.47258,104.047279",3925,244,36
1550887960,2019-02-23T02:12:40Z,SIA32,"1.480175,104.054688",4125,250,51
1550887966,2019-02-23T02:12:46Z,SIA32,"1.483749,104.060265",4275,252,62
1550887972,2019-02-23T02:12:52Z,SIA32,"1.486542,104.067108",4475,252,72
1550887979,2019-02-23T02:12:59Z,SIA32,"1.488144,104.073906",4725,251,80
1550887989,2019-02-23T02:13:09Z,SIA32,"1.489206,104.084564",5050,254,87
1550887996,2019-02-23T02:13:16Z,SIA32,"1.48938,104.095276",5200,262,90
1550888003,2019-02-23T02:13:23Z,SIA32,"1.489299,104.102089",5300,268,90
1550888020,2019-02-23T02:13:40Z,SIA32,"1.488968,104.125343",5775,275,90
1550888031,2019-02-23T02:13:51Z,SIA32,"1.488785,104.140381",6225,275,90
1550888044,2019-02-23T02:14:04Z,SIA32,"1.488556,104.15593",6675,275,90
1550888056,2019-02-23T02:14:16Z,SIA32,"1.488281,104.171387",7025,279,93
1550888067,2019-02-23T02:14:27Z,SIA32,"1.48618,104.186905",7325,283,100
1550888074,2019-02-23T02:14:34Z,SIA32,"1.484665,104.194244",7500,285,102
1550888080,2019-02-23T02:14:40Z,SIA32,"1.482735,104.202431",7750,284,103
1550888095,2019-02-23T02:14:55Z,SIA32,"1.47789,104.221199",8275,283,104
1550888108,2019-02-23T02:15:08Z,SIA32,"1.473751,104.23629",8775,280,105
1550888119,2019-02-23T02:15:19Z,SIA32,"1.468258,104.251205",9150,282,112
1550888125,2019-02-23T02:15:25Z,SIA32,"1.464208,104.258263",9300,286,123
1550888133,2019-02-23T02:15:33Z,SIA32,"1.45932,104.264755",9400,290,128
1550888140,2019-02-23T02:15:40Z,SIA32,"1.451825,104.273514",9625,292,130
1550888146,2019-02-23T02:15:46Z,SIA32,"1.446304,104.279663",9825,292,132
1550888154,2019-02-23T02:15:54Z,SIA32,"1.440559,104.286018",10025,293,132
1550888164,2019-02-23T02:16:04Z,SIA32,"1.42934,104.298187",10300,299,132
1550888176,2019-02-23T02:16:16Z,SIA32,"1.418354,104.309975",10400,309,132
1550888188,2019-02-23T02:16:28Z,SIA32,"1.405691,104.32357",10550,319,132
1550888202,2019-02-23T02:16:42Z,SIA32,"1.39357,104.336647",10675,329,132
