Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551318625,2019-02-28T01:50:25Z,SIA32,"1.329613,103.985321",0,2,22
1551318679,2019-02-28T01:51:19Z,SIA32,"1.35346,103.995491",325,175,23
1551318686,2019-02-28T01:51:26Z,SIA32,"1.357975,103.997482",550,176,24
1551318696,2019-02-28T01:51:36Z,SIA32,"1.366774,104.001884",1100,173,33
1551318703,2019-02-28T01:51:43Z,SIA32,"1.370219,104.004868",1350,172,47
1551318713,2019-02-28T01:51:53Z,SIA32,"1.374082,104.011124",1750,172,65
1551318719,2019-02-28T01:51:59Z,SIA32,"1.376724,104.017715",1950,179,70
1551318726,2019-02-28T01:52:06Z,SIA32,"1.378412,104.022766",2000,188,71
1551318732,2019-02-28T01:52:12Z,SIA32,"1.380066,104.027908",2050,197,72
1551318738,2019-02-28T01:52:18Z,SIA32,"1.38167,104.033043",2100,203,72
1551318744,2019-02-28T01:52:24Z,SIA32,"1.383499,104.038895",2175,210,72
1551318751,2019-02-28T01:52:31Z,SIA32,"1.385239,104.044533",2250,217,72
1551318764,2019-02-28T01:52:44Z,SIA32,"1.388839,104.056198",2450,228,72
1551318774,2019-02-28T01:52:54Z,SIA32,"1.392703,104.068611",2650,235,72
1551318782,2019-02-28T01:53:02Z,SIA32,"1.394623,104.074974",2750,236,73
1551318788,2019-02-28T01:53:08Z,SIA32,"1.39666,104.08149",2850,236,73
1551318798,2019-02-28T01:53:18Z,SIA32,"1.400478,104.093941",3025,236,73
1551318805,2019-02-28T01:53:25Z,SIA32,"1.40234,104.09996",3150,236,73
1551318811,2019-02-28T01:53:31Z,SIA32,"1.404327,104.106354",3300,237,72
1551318822,2019-02-28T01:53:42Z,SIA32,"1.40831,104.119202",3775,237,72
1551318828,2019-02-28T01:53:48Z,SIA32,"1.410067,104.125053",3975,238,74
1551318835,2019-02-28T01:53:55Z,SIA32,"1.411603,104.13192",4175,242,80
1551318842,2019-02-28T01:54:02Z,SIA32,"1.411789,104.141685",4300,254,96
1551318850,2019-02-28T01:54:10Z,SIA32,"1.4103,104.149445",4375,264,103
1551318856,2019-02-28T01:54:16Z,SIA32,"1.408298,104.156593",4450,270,106
1551318865,2019-02-28T01:54:25Z,SIA32,"1.404785,104.167473",4725,274,108
1551318872,2019-02-28T01:54:32Z,SIA32,"1.402267,104.174736",4975,272,109
1551318885,2019-02-28T01:54:45Z,SIA32,"1.396195,104.192398",5525,274,108
1551318901,2019-02-28T01:55:01Z,SIA32,"1.390096,104.21067",5975,280,108
1551318912,2019-02-28T01:55:12Z,SIA32,"1.385101,104.225853",6150,292,107
1551318925,2019-02-28T01:55:25Z,SIA32,"1.380112,104.241776",6300,304,107
1551318937,2019-02-28T01:55:37Z,SIA32,"1.37492,104.258598",6475,315,106
1551318949,2019-02-28T01:55:49Z,SIA32,"1.369707,104.275551",6625,327,106
1551318961,2019-02-28T01:56:01Z,SIA32,"1.364227,104.293587",6775,338,106
1551318973,2019-02-28T01:56:13Z,SIA32,"1.358674,104.311821",6925,347,106
1551318987,2019-02-28T01:56:27Z,SIA32,"1.352948,104.330437",7075,357,107
1551318996,2019-02-28T01:56:36Z,SIA32,"1.347222,104.349091",7375,361,107
1551319011,2019-02-28T01:56:51Z,SIA32,"1.341064,104.369141",7825,361,107
1551319021,2019-02-28T01:57:01Z,SIA32,"1.335258,104.388062",8050,367,106
1551319035,2019-02-28T01:57:15Z,SIA32,"1.33051,104.407951",8350,369,98
1551319043,2019-02-28T01:57:23Z,SIA32,"1.329625,104.423485",8625,369,89
1551319049,2019-02-28T01:57:29Z,SIA32,"1.330032,104.433472",8775,371,87
1551319056,2019-02-28T01:57:36Z,SIA32,"1.330603,104.444557",8950,372,86
1551319072,2019-02-28T01:57:52Z,SIA32,"1.331953,104.47496",9525,372,88
1551319087,2019-02-28T01:58:07Z,SIA32,"1.332642,104.500839",10025,373,88
1551319101,2019-02-28T01:58:21Z,SIA32,"1.333116,104.522034",10325,376,88
1551319111,2019-02-28T01:58:31Z,SIA32,"1.333535,104.542824",10650,379,88
1551319125,2019-02-28T01:58:45Z,SIA32,"1.333954,104.564461",10975,381,88
1551319136,2019-02-28T01:58:56Z,SIA32,"1.33442,104.585251",11275,384,88
1551319147,2019-02-28T01:59:07Z,SIA32,"1.334885,104.606789",11675,383,88
1551319160,2019-02-28T01:59:20Z,SIA32,"1.335397,104.628204",12050,384,88
1551319189,2019-02-28T01:59:49Z,SIA32,"1.336624,104.681229",12950,385,88
1551319222,2019-02-28T02:00:22Z,SIA32,"1.338135,104.739975",13775,389,88
1551319272,2019-02-28T02:01:12Z,SIA32,"1.339122,104.827705",14925,397,90
1551319304,2019-02-28T02:01:44Z,SIA32,"1.338913,104.88871",15500,406,90
1551319337,2019-02-28T02:02:17Z,SIA32,"1.338284,104.950928",16250,409,90
1551319372,2019-02-28T02:02:52Z,SIA32,"1.337725,105.013908",17100,408,90
1551319407,2019-02-28T02:03:27Z,SIA32,"1.337399,105.082382",17875,411,90
1551319439,2019-02-28T02:03:59Z,SIA32,"1.337632,105.144608",18600,411,89
1551319500,2019-02-28T02:05:00Z,SIA32,"1.339401,105.260628",19700,417,87
1551319563,2019-02-28T02:06:03Z,SIA32,"1.347565,105.384911",20550,427,82
1551319624,2019-02-28T02:07:04Z,SIA32,"1.368027,105.504272",21500,431,80
1551319689,2019-02-28T02:08:09Z,SIA32,"1.397919,105.630661",22400,439,69
1551319747,2019-02-28T02:09:07Z,SIA32,"1.441909,105.739616",23025,449,59
1551319755,2019-02-28T02:09:15Z,SIA32,"1.452255,105.754112",23150,450,51
1551319761,2019-02-28T02:09:21Z,SIA32,"1.461227,105.764214",23225,451,48
1551319768,2019-02-28T02:09:28Z,SIA32,"1.470399,105.772812",23300,452,40
1551319774,2019-02-28T02:09:34Z,SIA32,"1.480453,105.780647",23350,453,36
1551319780,2019-02-28T02:09:40Z,SIA32,"1.491211,105.787636",23400,455,30
