Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551326760,2019-02-28T04:06:00Z,SIA33,"37.617611,-122.391655",0,0,300
1551327085,2019-02-28T04:11:25Z,SIA33,"37.617397,-122.391739",0,11,39
1551327103,2019-02-28T04:11:43Z,SIA33,"37.617188,-122.391846",0,11,59
1551327117,2019-02-28T04:11:57Z,SIA33,"37.617035,-122.392052",0,10,75
1551327133,2019-02-28T04:12:13Z,SIA33,"37.616932,-122.392334",0,11,90
1551327146,2019-02-28T04:12:26Z,SIA33,"37.616898,-122.392563",0,11,101
1551327163,2019-02-28T04:12:43Z,SIA33,"37.617004,-122.392822",0,11,84
1551327179,2019-02-28T04:12:59Z,SIA33,"37.617058,-122.393158",0,11,50
1551327189,2019-02-28T04:13:09Z,SIA33,"37.616982,-122.392776",0,9,241
1551327223,2019-02-28T04:13:43Z,SIA33,"37.617085,-122.393143",0,10,47
1551327244,2019-02-28T04:14:04Z,SIA33,"37.617302,-122.39325",0,10,5
1551327304,2019-02-28T04:15:04Z,SIA33,"37.617542,-122.394211",0,11,300
1551327501,2019-02-28T04:18:21Z,SIA33,"37.617508,-122.394432",0,0,259
1551327529,2019-02-28T04:18:49Z,SIA33,"37.617573,-122.394638",0,10,298
1551327541,2019-02-28T04:19:01Z,SIA33,"37.617645,-122.394867",0,12,298
1551327552,2019-02-28T04:19:12Z,SIA33,"37.617783,-122.395088",0,14,303
1551327564,2019-02-28T04:19:24Z,SIA33,"37.618,-122.395233",0,15,326
1551327574,2019-02-28T04:19:34Z,SIA33,"37.618263,-122.395332",0,16,337
1551327584,2019-02-28T04:19:44Z,SIA33,"37.618526,-122.395454",0,18,340
1551327594,2019-02-28T04:19:54Z,SIA33,"37.618824,-122.395569",0,20,345
1551327603,2019-02-28T04:20:03Z,SIA33,"37.61919,-122.3955",0,22,5
1551327611,2019-02-28T04:20:11Z,SIA33,"37.619419,-122.395294",0,18,25
1551327617,2019-02-28T04:20:17Z,SIA33,"37.619549,-122.395081",0,19,42
1551327627,2019-02-28T04:20:27Z,SIA33,"37.619637,-122.394753",0,16,61
1551327633,2019-02-28T04:20:33Z,SIA33,"37.619671,-122.394547",0,17,67
1551327640,2019-02-28T04:20:40Z,SIA33,"37.61974,-122.394226",0,17,73
1551327650,2019-02-28T04:20:50Z,SIA33,"37.619808,-122.393906",0,16,73
1551327661,2019-02-28T04:21:01Z,SIA33,"37.6199,-122.393501",0,17,73
1551327675,2019-02-28T04:21:15Z,SIA33,"37.620003,-122.393036",0,20,73
1551327681,2019-02-28T04:21:21Z,SIA33,"37.620064,-122.392799",0,20,73
1551327690,2019-02-28T04:21:30Z,SIA33,"37.620296,-122.392487",0,21,50
1551327699,2019-02-28T04:21:39Z,SIA33,"37.620586,-122.392311",0,20,30
1551327706,2019-02-28T04:21:46Z,SIA33,"37.620815,-122.392181",0,21,28
1551327712,2019-02-28T04:21:52Z,SIA33,"37.621101,-122.392006",0,22,28
1551327719,2019-02-28T04:21:59Z,SIA33,"37.621342,-122.391846",0,23,28
1551327728,2019-02-28T04:22:08Z,SIA33,"37.621693,-122.391624",0,25,28
1551327734,2019-02-28T04:22:14Z,SIA33,"37.621902,-122.391418",0,26,36
1551327742,2019-02-28T04:22:22Z,SIA33,"37.622097,-122.390907",0,26,61
