Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549611560,2019-02-08T07:39:20Z,SIA34,"1.328985,103.984863",0,22,109
1549611621,2019-02-08T07:40:21Z,SIA34,"1.329632,103.985359",0,23,22
1549611677,2019-02-08T07:41:17Z,SIA34,"1.356033,103.99649",400,177,23
1549611689,2019-02-08T07:41:29Z,SIA34,"1.365191,104.000275",1000,170,22
1549611699,2019-02-08T07:41:39Z,SIA34,"1.373749,104.003754",1550,169,21
1549611706,2019-02-08T07:41:46Z,SIA34,"1.378326,104.005524",1800,171,21
1549611717,2019-02-08T07:41:57Z,SIA34,"1.387436,104.009247",2000,181,22
1549611723,2019-02-08T07:42:03Z,SIA34,"1.391958,104.01107",2075,188,22
1549611729,2019-02-08T07:42:09Z,SIA34,"1.396846,104.013016",2150,194,22
1549611735,2019-02-08T07:42:15Z,SIA34,"1.402479,104.015289",2250,201,21
1549611741,2019-02-08T07:42:21Z,SIA34,"1.407486,104.01725",2350,205,21
1549611747,2019-02-08T07:42:27Z,SIA34,"1.412255,104.019173",2425,211,22
1549611754,2019-02-08T07:42:34Z,SIA34,"1.418747,104.021812",2500,221,22
1549611765,2019-02-08T07:42:45Z,SIA34,"1.430603,104.026749",2650,235,23
1549611771,2019-02-08T07:42:51Z,SIA34,"1.436695,104.029495",2775,240,25
1549611777,2019-02-08T07:42:57Z,SIA34,"1.442734,104.032845",2975,242,32
1549611784,2019-02-08T07:43:04Z,SIA34,"1.4481,104.03688",3150,246,40
1549611792,2019-02-08T07:43:12Z,SIA34,"1.455083,104.043938",3350,254,50
1549611798,2019-02-08T07:43:18Z,SIA34,"1.459076,104.049561",3475,260,58
1549611805,2019-02-08T07:43:25Z,SIA34,"1.462578,104.056862",3600,268,69
1549611812,2019-02-08T07:43:32Z,SIA34,"1.464615,104.064079",3750,273,78
1549611837,2019-02-08T07:43:57Z,SIA34,"1.459226,104.097969",4525,287,109
1549611844,2019-02-08T07:44:04Z,SIA34,"1.456247,104.105827",4750,288,111
1549611850,2019-02-08T07:44:10Z,SIA34,"1.453171,104.11338",4975,289,112
1549611868,2019-02-08T07:44:28Z,SIA34,"1.443741,104.135025",5725,288,113
1549611879,2019-02-08T07:44:39Z,SIA34,"1.437469,104.149132",6000,287,113
1549611889,2019-02-08T07:44:49Z,SIA34,"1.431793,104.161934",6200,291,113
1549611904,2019-02-08T07:45:04Z,SIA34,"1.423782,104.179955",6500,302,113
1549611916,2019-02-08T07:45:16Z,SIA34,"1.417099,104.195221",6725,313,113
1549611929,2019-02-08T07:45:29Z,SIA34,"1.409912,104.212166",6925,325,112
1549611939,2019-02-08T07:45:39Z,SIA34,"1.402945,104.228813",7075,337,112
1549611954,2019-02-08T07:45:54Z,SIA34,"1.395584,104.246758",7225,348,112
1549611963,2019-02-08T07:46:03Z,SIA34,"1.388214,104.264816",7375,358,112
1549611976,2019-02-08T07:46:16Z,SIA34,"1.380569,104.28344",7600,365,112
1549611988,2019-02-08T07:46:28Z,SIA34,"1.372639,104.302681",7950,369,112
1549612002,2019-02-08T07:46:42Z,SIA34,"1.364912,104.32177",8300,372,111
1549612011,2019-02-08T07:46:51Z,SIA34,"1.357137,104.340805",8725,372,112
1549612026,2019-02-08T07:47:06Z,SIA34,"1.349213,104.359734",9175,372,112
1549612036,2019-02-08T07:47:16Z,SIA34,"1.34117,104.378975",9650,370,112
1549612048,2019-02-08T07:47:28Z,SIA34,"1.333466,104.398422",10175,369,108
1549612054,2019-02-08T07:47:34Z,SIA34,"1.330928,104.408241",10375,371,101
