Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549262407,2019-02-04T06:40:07Z,UAL1,"37.618481,-122.391907",0,0,194
1549262964,2019-02-04T06:49:24Z,UAL1,"37.618702,-122.391724",0,10,191
1549262988,2019-02-04T06:49:48Z,UAL1,"37.618961,-122.391609",0,2,199
1549263027,2019-02-04T06:50:27Z,UAL1,"37.619167,-122.391502",0,2,233
1549263066,2019-02-04T06:51:06Z,UAL1,"37.61927,-122.391159",0,2,292
1549263091,2019-02-04T06:51:31Z,UAL1,"37.619133,-122.390953",0,2,281
1549263130,2019-02-04T06:52:10Z,UAL1,"37.619144,-122.390953",0,2,284
1549263154,2019-02-04T06:52:34Z,UAL1,"37.619247,-122.39119",0,9,284
1549263210,2019-02-04T06:53:30Z,UAL1,"37.619389,-122.391518",0,0,60
1549263376,2019-02-04T06:56:16Z,UAL1,"37.619385,-122.391525",0,0,241
1549263411,2019-02-04T06:56:51Z,UAL1,"37.619476,-122.391754",0,2,284
1549263872,2019-02-04T07:04:32Z,UAL1,"37.619534,-122.391861",0,0,180
1549264062,2019-02-04T07:07:42Z,UAL1,"37.619514,-122.391861",0,0,180
1549264226,2019-02-04T07:10:26Z,UAL1,"37.619659,-122.392197",0,12,284
1549264238,2019-02-04T07:10:38Z,UAL1,"37.619816,-122.39241",0,14,295
1549264248,2019-02-04T07:10:48Z,UAL1,"37.620037,-122.392471",0,15,329
1549264260,2019-02-04T07:11:00Z,UAL1,"37.620285,-122.392349",0,14,357
1549264270,2019-02-04T07:11:10Z,UAL1,"37.620529,-122.392204",0,15,11
1549264280,2019-02-04T07:11:20Z,UAL1,"37.62075,-122.392052",0,15,14
1549264292,2019-02-04T07:11:32Z,UAL1,"37.620995,-122.391891",0,14,14
1549264310,2019-02-04T07:11:50Z,UAL1,"37.621296,-122.391693",0,12,14
1549264337,2019-02-04T07:12:17Z,UAL1,"37.621513,-122.391556",0,2,14
1549264481,2019-02-04T07:14:41Z,UAL1,"37.62175,-122.39138",0,11,14
1549264494,2019-02-04T07:14:54Z,UAL1,"37.621983,-122.391228",0,14,14
1549264507,2019-02-04T07:15:07Z,UAL1,"37.622192,-122.390991",0,16,28
1549264516,2019-02-04T07:15:16Z,UAL1,"37.622307,-122.390724",0,16,70
1549264524,2019-02-04T07:15:24Z,UAL1,"37.622391,-122.390427",0,17,56
1549264531,2019-02-04T07:15:31Z,UAL1,"37.622452,-122.390205",0,18,53
1549264542,2019-02-04T07:15:42Z,UAL1,"37.622738,-122.389923",0,19,22
1549264549,2019-02-04T07:15:49Z,UAL1,"37.622948,-122.389877",0,18,9
1549264560,2019-02-04T07:16:00Z,UAL1,"37.623238,-122.390114",0,16,312
1549264574,2019-02-04T07:16:14Z,UAL1,"37.623493,-122.390381",0,17,309
1549264583,2019-02-04T07:16:23Z,UAL1,"37.623741,-122.390503",0,17,320
1549264590,2019-02-04T07:16:30Z,UAL1,"37.623951,-122.390633",0,15,320
1549264602,2019-02-04T07:16:42Z,UAL1,"37.624111,-122.390907",0,13,295
1549264613,2019-02-04T07:16:53Z,UAL1,"37.624207,-122.391129",0,15,286
1549264620,2019-02-04T07:17:00Z,UAL1,"37.624332,-122.391426",0,18,284
1549264631,2019-02-04T07:17:11Z,UAL1,"37.624485,-122.391769",0,20,284
1549264641,2019-02-04T07:17:21Z,UAL1,"37.624649,-122.392151",0,15,284
1549264653,2019-02-04T07:17:33Z,UAL1,"37.624786,-122.392487",0,16,284
1549264667,2019-02-04T07:17:47Z,UAL1,"37.624924,-122.392822",0,14,284
1549264679,2019-02-04T07:17:59Z,UAL1,"37.625038,-122.393074",0,12,284
1549264689,2019-02-04T07:18:09Z,UAL1,"37.625153,-122.393349",0,14,284
1549264703,2019-02-04T07:18:23Z,UAL1,"37.625275,-122.393639",0,15,284
1549264713,2019-02-04T07:18:33Z,UAL1,"37.625473,-122.394035",0,20,286
1549264719,2019-02-04T07:18:39Z,UAL1,"37.625603,-122.394279",0,22,289
1549264725,2019-02-04T07:18:45Z,UAL1,"37.62574,-122.394531",0,21,289
1549264736,2019-02-04T07:18:56Z,UAL1,"37.625954,-122.394867",0,16,292
1549264748,2019-02-04T07:19:08Z,UAL1,"37.626125,-122.395103",0,14,300
1549264761,2019-02-04T07:19:21Z,UAL1,"37.626381,-122.395355",0,12,306
1549264777,2019-02-04T07:19:37Z,UAL1,"37.626591,-122.395561",0,12,306
1549264822,2019-02-04T07:20:22Z,UAL1,"37.626789,-122.395782",0,12,306
1549264838,2019-02-04T07:20:38Z,UAL1,"37.627007,-122.396011",0,13,306
1549264854,2019-02-04T07:20:54Z,UAL1,"37.62727,-122.396271",0,13,306
1549264869,2019-02-04T07:21:09Z,UAL1,"37.62751,-122.3965",0,13,309
1549264884,2019-02-04T07:21:24Z,UAL1,"37.627728,-122.396622",0,11,320
1549264896,2019-02-04T07:21:36Z,UAL1,"37.627991,-122.396652",0,15,337
1549264916,2019-02-04T07:21:56Z,UAL1,"37.628426,-122.396362",0,17,25
1549264924,2019-02-04T07:22:04Z,UAL1,"37.62851,-122.396103",0,17,47
1549264933,2019-02-04T07:22:13Z,UAL1,"37.628506,-122.39579",0,16,73
1549264945,2019-02-04T07:22:25Z,UAL1,"37.628418,-122.395454",0,13,92
1549264957,2019-02-04T07:22:37Z,UAL1,"37.6283,-122.395172",0,14,101
1549264968,2019-02-04T07:22:48Z,UAL1,"37.628197,-122.394958",0,13,104
1549264978,2019-02-04T07:22:58Z,UAL1,"37.628071,-122.394653",0,16,106
1549264990,2019-02-04T07:23:10Z,UAL1,"37.627907,-122.394325",0,13,106
1549265006,2019-02-04T07:23:26Z,UAL1,"37.627777,-122.394066",0,10,106
1549265026,2019-02-04T07:23:46Z,UAL1,"37.627674,-122.393829",0,2,104
1549265153,2019-02-04T07:25:53Z,UAL1,"37.627579,-122.393608",0,2,104
1549265181,2019-02-04T07:26:21Z,UAL1,"37.627487,-122.393394",0,9,104
1549265198,2019-02-04T07:26:38Z,UAL1,"37.627373,-122.393105",0,11,104
1549265216,2019-02-04T07:26:56Z,UAL1,"37.627277,-122.392876",0,2,104
1549265303,2019-02-04T07:28:23Z,UAL1,"37.627155,-122.392662",0,2,112
1549265319,2019-02-04T07:28:39Z,UAL1,"37.626953,-122.392593",0,12,140
1549265330,2019-02-04T07:28:50Z,UAL1,"37.626709,-122.392654",0,14,168
1549265339,2019-02-04T07:28:59Z,UAL1,"37.626492,-122.392754",0,17,182
1549265349,2019-02-04T07:29:09Z,UAL1,"37.626251,-122.392761",0,15,168
1549265360,2019-02-04T07:29:20Z,UAL1,"37.626057,-122.392548",0,13,126
1549265369,2019-02-04T07:29:29Z,UAL1,"37.625965,-122.392311",0,16,112
1549265375,2019-02-04T07:29:35Z,UAL1,"37.625851,-122.392075",0,23,106
1549265382,2019-02-04T07:29:42Z,UAL1,"37.625546,-122.39138",0,30,104
1549265390,2019-02-04T07:29:50Z,UAL1,"37.6245,-122.388847",0,69,104
1549265402,2019-02-04T07:30:02Z,UAL1,"37.622028,-122.383041",300,116,117
1549265408,2019-02-04T07:30:08Z,UAL1,"37.620392,-122.379044",300,137,117
1549265414,2019-02-04T07:30:14Z,UAL1,"37.61824,-122.373901",300,157,118
