Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549607862,2019-02-08T06:37:42Z,UAL1,"37.619087,-122.393333",0,0,300
1549608062,2019-02-08T06:41:02Z,UAL1,"37.619316,-122.393173",0,9,185
1549608082,2019-02-08T06:41:22Z,UAL1,"37.619549,-122.393036",0,10,165
1549608099,2019-02-08T06:41:39Z,UAL1,"37.619797,-122.392982",0,10,132
1549608118,2019-02-08T06:41:58Z,UAL1,"37.620003,-122.393074",0,10,87
1549608132,2019-02-08T06:42:12Z,UAL1,"37.620083,-122.393303",0,10,53
1549608147,2019-02-08T06:42:27Z,UAL1,"37.620003,-122.393524",0,10,53
1549608166,2019-02-08T06:42:46Z,UAL1,"37.619923,-122.393784",0,10,61
1549608184,2019-02-08T06:43:04Z,UAL1,"37.619877,-122.394051",0,10,61
1549608295,2019-02-08T06:44:55Z,UAL1,"37.619854,-122.39418",0,0,89
1549608415,2019-02-08T06:46:55Z,UAL1,"37.619934,-122.39386",0,14,59
1549608423,2019-02-08T06:47:03Z,UAL1,"37.619991,-122.393654",0,16,59
1549608434,2019-02-08T06:47:14Z,UAL1,"37.620094,-122.393219",0,19,59
1549608446,2019-02-08T06:47:26Z,UAL1,"37.620213,-122.392723",0,19,59
1549608458,2019-02-08T06:47:38Z,UAL1,"37.620358,-122.392403",0,12,47
1549608645,2019-02-08T06:50:45Z,UAL1,"37.620609,-122.392159",0,16,25
1549608654,2019-02-08T06:50:54Z,UAL1,"37.620888,-122.391968",0,23,14
1549608661,2019-02-08T06:51:01Z,UAL1,"37.621159,-122.3918",0,27,14
1549608667,2019-02-08T06:51:07Z,UAL1,"37.621456,-122.391594",0,29,14
1549608676,2019-02-08T06:51:16Z,UAL1,"37.621914,-122.391289",0,31,11
1549608684,2019-02-08T06:51:24Z,UAL1,"37.62228,-122.390877",0,27,36
1549608692,2019-02-08T06:51:32Z,UAL1,"37.622406,-122.390427",0,27,56
1549608698,2019-02-08T06:51:38Z,UAL1,"37.622505,-122.390022",0,30,56
1549608704,2019-02-08T06:51:44Z,UAL1,"37.622635,-122.389503",0,29,61
1549608715,2019-02-08T06:51:55Z,UAL1,"37.622505,-122.388817",0,31,95
1549608722,2019-02-08T06:52:02Z,UAL1,"37.622257,-122.388206",0,34,104
1549608729,2019-02-08T06:52:09Z,UAL1,"37.622063,-122.387741",0,15,104
1549608736,2019-02-08T06:52:16Z,UAL1,"37.621799,-122.387123",0,17,104
1549608745,2019-02-08T06:52:25Z,UAL1,"37.621479,-122.386353",0,17,104
1549608773,2019-02-08T06:52:53Z,UAL1,"37.620445,-122.383888",0,17,104
1549608781,2019-02-08T06:53:01Z,UAL1,"37.620155,-122.383171",0,17,104
1549608801,2019-02-08T06:53:21Z,UAL1,"37.619366,-122.381325",0,16,104
1549608818,2019-02-08T06:53:38Z,UAL1,"37.618824,-122.380028",0,32,104
1549608826,2019-02-08T06:53:46Z,UAL1,"37.618572,-122.379425",0,32,104
1549608835,2019-02-08T06:53:55Z,UAL1,"37.618328,-122.378784",0,28,101
1549608841,2019-02-08T06:54:01Z,UAL1,"37.618237,-122.378456",0,23,95
1549608852,2019-02-08T06:54:12Z,UAL1,"37.61805,-122.377831",0,26,95
1549608867,2019-02-08T06:54:27Z,UAL1,"37.617687,-122.376709",0,16,98
1549608873,2019-02-08T06:54:33Z,UAL1,"37.617523,-122.37619",0,15,95
1549608880,2019-02-08T06:54:40Z,UAL1,"37.617325,-122.375511",0,17,98
