Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551426210,2019-03-01T07:43:30Z,UAL1,"37.618824,-122.393875",0,0,180
1551426440,2019-03-01T07:47:20Z,UAL1,"37.619099,-122.394051",0,2,146
1551426467,2019-03-01T07:47:47Z,UAL1,"37.619316,-122.394096",0,2,123
1551426501,2019-03-01T07:48:21Z,UAL1,"37.619537,-122.394325",0,2,81
1551426521,2019-03-01T07:48:41Z,UAL1,"37.61956,-122.394531",0,2,78
1551426558,2019-03-01T07:49:18Z,UAL1,"37.619625,-122.394867",0,2,30
1551426681,2019-03-01T07:51:21Z,UAL1,"37.619854,-122.394226",0,0,67
1551426880,2019-03-01T07:54:40Z,UAL1,"37.619911,-122.393982",0,13,56
1551426891,2019-03-01T07:54:51Z,UAL1,"37.620003,-122.393639",0,17,59
1551426899,2019-03-01T07:54:59Z,UAL1,"37.62006,-122.393394",0,18,59
1551426910,2019-03-01T07:55:10Z,UAL1,"37.620178,-122.392891",0,19,59
1551426922,2019-03-01T07:55:22Z,UAL1,"37.620358,-122.392372",0,22,50
1551426932,2019-03-01T07:55:32Z,UAL1,"37.620678,-122.392113",0,22,16
1551426938,2019-03-01T07:55:38Z,UAL1,"37.620888,-122.391983",0,23,14
1551426949,2019-03-01T07:55:49Z,UAL1,"37.621365,-122.391655",0,23,14
1551426967,2019-03-01T07:56:07Z,UAL1,"37.622074,-122.391174",0,26,16
1551426976,2019-03-01T07:56:16Z,UAL1,"37.622349,-122.390648",0,27,47
1551426983,2019-03-01T07:56:23Z,UAL1,"37.622452,-122.390266",0,27,56
1551426993,2019-03-01T07:56:33Z,UAL1,"37.622612,-122.389549",0,29,61
1551427000,2019-03-01T07:56:40Z,UAL1,"37.622601,-122.389114",0,31,81
1551427007,2019-03-01T07:56:47Z,UAL1,"37.622395,-122.388527",0,32,98
1551427014,2019-03-01T07:56:54Z,UAL1,"37.622227,-122.3881",0,32,104
1551427024,2019-03-01T07:57:04Z,UAL1,"37.621857,-122.387245",0,33,104
1551427040,2019-03-01T07:57:20Z,UAL1,"37.621387,-122.386101",0,33,104
1551427046,2019-03-01T07:57:26Z,UAL1,"37.621239,-122.385773",0,33,104
1551427070,2019-03-01T07:57:50Z,UAL1,"37.62048,-122.383934",0,33,104
1551427082,2019-03-01T07:58:02Z,UAL1,"37.620106,-122.383064",0,33,104
1551427106,2019-03-01T07:58:26Z,UAL1,"37.619328,-122.381226",0,15,104
1551427128,2019-03-01T07:58:48Z,UAL1,"37.618664,-122.379623",0,33,104
1551427139,2019-03-01T07:58:59Z,UAL1,"37.61832,-122.378723",0,34,101
1551427146,2019-03-01T07:59:06Z,UAL1,"37.618141,-122.378174",0,15,95
1551427152,2019-03-01T07:59:12Z,UAL1,"37.617977,-122.377632",0,15,95
1551427160,2019-03-01T07:59:20Z,UAL1,"37.617771,-122.376961",0,16,98
1551427173,2019-03-01T07:59:33Z,UAL1,"37.617416,-122.375816",0,16,95
1551427179,2019-03-01T07:59:39Z,UAL1,"37.617233,-122.375252",0,17,98
1551427185,2019-03-01T07:59:45Z,UAL1,"37.617046,-122.374771",0,17,101
1551427200,2019-03-01T08:00:00Z,UAL1,"37.616467,-122.373383",0,17,104
1551427206,2019-03-01T08:00:06Z,UAL1,"37.616238,-122.372841",0,17,104
1551427212,2019-03-01T08:00:12Z,UAL1,"37.61602,-122.372299",0,17,104
1551427218,2019-03-01T08:00:18Z,UAL1,"37.61578,-122.371758",0,16,104
1551427224,2019-03-01T08:00:24Z,UAL1,"37.615582,-122.371262",0,16,104
1551427230,2019-03-01T08:00:30Z,UAL1,"37.615356,-122.37072",0,16,104
1551427236,2019-03-01T08:00:36Z,UAL1,"37.615162,-122.370239",0,16,104
1551427242,2019-03-01T08:00:42Z,UAL1,"37.614918,-122.369667",0,17,106
1551427248,2019-03-01T08:00:48Z,UAL1,"37.614628,-122.369171",0,17,112
1551427255,2019-03-01T08:00:55Z,UAL1,"37.614288,-122.36869",0,17,118
1551427264,2019-03-01T08:01:04Z,UAL1,"37.6138,-122.367989",0,18,115
1551427275,2019-03-01T08:01:15Z,UAL1,"37.613266,-122.366859",0,19,104
1551427287,2019-03-01T08:01:27Z,UAL1,"37.612782,-122.365707",0,18,104
1551427298,2019-03-01T08:01:38Z,UAL1,"37.612381,-122.364738",0,18,104
1551427306,2019-03-01T08:01:46Z,UAL1,"37.612045,-122.363945",0,18,104
1551427315,2019-03-01T08:01:55Z,UAL1,"37.611637,-122.362976",0,19,104
1551427327,2019-03-01T08:02:07Z,UAL1,"37.611145,-122.361809",0,17,104
1551427337,2019-03-01T08:02:17Z,UAL1,"37.610836,-122.361076",0,27,104
1551427343,2019-03-01T08:02:23Z,UAL1,"37.61071,-122.360786",0,23,104
1551427354,2019-03-01T08:02:34Z,UAL1,"37.610542,-122.360291",0,23,95
1551427365,2019-03-01T08:02:45Z,UAL1,"37.610554,-122.359665",0,25,70
1551427371,2019-03-01T08:02:51Z,UAL1,"37.610706,-122.359306",0,26,47
1551427377,2019-03-01T08:02:57Z,UAL1,"37.610928,-122.359093",0,27,25
1551427385,2019-03-01T08:03:05Z,UAL1,"37.61124,-122.358887",0,27,16
