Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549118876,2019-02-02T14:47:56Z,UAL28,"1.345963,103.990273",0,17,202
1549118890,2019-02-02T14:48:10Z,UAL28,"1.345534,103.990097",0,19,202
1549119445,2019-02-02T14:57:25Z,UAL28,"1.35481,103.995964",175,189,23
1549119458,2019-02-02T14:57:38Z,UAL28,"1.365051,104.000183",650,193,21
1549119467,2019-02-02T14:57:47Z,UAL28,"1.372453,104.003021",1075,192,21
1549119473,2019-02-02T14:57:53Z,UAL28,"1.377319,104.004913",1325,190,21
1549119480,2019-02-02T14:58:00Z,UAL28,"1.382555,104.007004",1525,193,22
1549119492,2019-02-02T14:58:12Z,UAL28,"1.392792,104.011246",1700,206,23
1549119503,2019-02-02T14:58:23Z,UAL28,"1.403597,104.0159",1775,223,23
1549119514,2019-02-02T14:58:34Z,UAL28,"1.415909,104.021255",2075,233,23
1549119520,2019-02-02T14:58:40Z,UAL28,"1.421566,104.02372",2325,232,23
1549119528,2019-02-02T14:58:48Z,UAL28,"1.427811,104.026375",2625,230,23
1549119539,2019-02-02T14:58:59Z,UAL28,"1.439392,104.031265",3100,228,23
1549119545,2019-02-02T14:59:05Z,UAL28,"1.445354,104.033806",3325,229,23
1549119551,2019-02-02T14:59:11Z,UAL28,"1.451266,104.036316",3525,231,23
1549119557,2019-02-02T14:59:17Z,UAL28,"1.457225,104.039345",3725,231,29
1549119565,2019-02-02T14:59:25Z,UAL28,"1.464752,104.045319",3975,234,44
1549119573,2019-02-02T14:59:33Z,UAL28,"1.468964,104.0504",4150,237,53
1549119581,2019-02-02T14:59:41Z,UAL28,"1.473953,104.059052",4375,242,64
1549119590,2019-02-02T14:59:50Z,UAL28,"1.477249,104.06916",4475,254,76
1549119599,2019-02-02T14:59:59Z,UAL28,"1.47822,104.080025",4625,264,89
1549119622,2019-02-02T15:00:22Z,UAL28,"1.470337,104.104912",5075,283,118
1549119629,2019-02-02T15:00:29Z,UAL28,"1.46458,104.11554",5325,288,117
1549119642,2019-02-02T15:00:42Z,UAL28,"1.457382,104.129814",5725,292,116
1549119653,2019-02-02T15:00:53Z,UAL28,"1.450056,104.144852",5950,303,115
1549119665,2019-02-02T15:01:05Z,UAL28,"1.442963,104.160164",6050,316,114
1549119676,2019-02-02T15:01:16Z,UAL28,"1.436043,104.175201",6050,332,114
1549119689,2019-02-02T15:01:29Z,UAL28,"1.42717,104.194427",6100,349,114
1549119701,2019-02-02T15:01:41Z,UAL28,"1.419098,104.212097",6400,355,114
1549119713,2019-02-02T15:01:53Z,UAL28,"1.410952,104.22995",6775,360,114
1549119726,2019-02-02T15:02:06Z,UAL28,"1.402359,104.248619",7200,362,114
1549119737,2019-02-02T15:02:17Z,UAL28,"1.39389,104.26696",7675,364,114
1549119750,2019-02-02T15:02:30Z,UAL28,"1.385559,104.285019",8125,365,114
1549119761,2019-02-02T15:02:41Z,UAL28,"1.37677,104.304153",8525,367,114
1549119773,2019-02-02T15:02:53Z,UAL28,"1.368118,104.322777",8925,370,114
