Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549549686,2019-02-07T14:28:06Z,UAL28,"1.359009,103.997795",375,186,22
1549549692,2019-02-07T14:28:12Z,UAL28,"1.364044,103.999794",650,186,21
1549549705,2019-02-07T14:28:25Z,UAL28,"1.374023,104.003563",1225,184,20
1549549711,2019-02-07T14:28:31Z,UAL28,"1.378644,104.005386",1400,188,21
1549549718,2019-02-07T14:28:38Z,UAL28,"1.383626,104.007332",1525,195,21
1549549724,2019-02-07T14:28:44Z,UAL28,"1.388886,104.00975",1600,203,26
1549549730,2019-02-07T14:28:50Z,UAL28,"1.396042,104.01432",1725,215,36
1549549736,2019-02-07T14:28:56Z,UAL28,"1.400524,104.01841",1825,222,43
1549549742,2019-02-07T14:29:02Z,UAL28,"1.404667,104.023903",2050,227,56
1549549749,2019-02-07T14:29:09Z,UAL28,"1.406576,104.027695",2200,228,63
1549549757,2019-02-07T14:29:17Z,UAL28,"1.408903,104.037827",2625,231,80
1549549781,2019-02-07T14:29:41Z,UAL28,"1.404785,104.061897",3325,248,103
1549549789,2019-02-07T14:29:49Z,UAL28,"1.402542,104.072418",3600,254,101
1549549801,2019-02-07T14:30:01Z,UAL28,"1.399933,104.086617",3875,265,99
1549549813,2019-02-07T14:30:13Z,UAL28,"1.397871,104.10157",4100,279,97
1549549819,2019-02-07T14:30:19Z,UAL28,"1.39666,104.10981",4325,282,98
1549549825,2019-02-07T14:30:25Z,UAL28,"1.395493,104.117195",4550,284,99
1549549837,2019-02-07T14:30:37Z,UAL28,"1.392564,104.133202",5050,287,100
1549549849,2019-02-07T14:30:49Z,UAL28,"1.389404,104.148811",5500,290,101
1549549861,2019-02-07T14:31:01Z,UAL28,"1.386,104.164314",5800,288,102
1549549872,2019-02-07T14:31:12Z,UAL28,"1.382629,104.179115",5975,293,102
1549549885,2019-02-07T14:31:25Z,UAL28,"1.378647,104.19648",6025,296,102
