Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549727158,2019-02-09T15:45:58Z,UAL28,"1.330114,103.983597",0,22,199
1549727206,2019-02-09T15:46:46Z,UAL28,"1.329567,103.985336",0,27,33
1549727279,2019-02-09T15:47:59Z,UAL28,"1.358022,103.997246",175,197,22
1549727285,2019-02-09T15:48:05Z,UAL28,"1.363329,103.99942",375,199,22
1549727291,2019-02-09T15:48:11Z,UAL28,"1.368301,104.001373",600,202,21
1549727301,2019-02-09T15:48:21Z,UAL28,"1.378876,104.005569",1225,197,22
1549727309,2019-02-09T15:48:29Z,UAL28,"1.383728,104.007568",1475,196,22
1549727315,2019-02-09T15:48:35Z,UAL28,"1.388855,104.009758",1625,200,23
1549727321,2019-02-09T15:48:41Z,UAL28,"1.394394,104.012131",1775,204,23
1549727333,2019-02-09T15:48:53Z,UAL28,"1.404667,104.016373",2050,211,22
1549727339,2019-02-09T15:48:59Z,UAL28,"1.410579,104.018883",2150,219,23
1549727345,2019-02-09T15:49:05Z,UAL28,"1.416166,104.021255",2200,226,23
1549727351,2019-02-09T15:49:11Z,UAL28,"1.422357,104.023857",2250,236,23
1549727357,2019-02-09T15:49:17Z,UAL28,"1.428735,104.026604",2350,243,23
1549727363,2019-02-09T15:49:23Z,UAL28,"1.434647,104.029213",2450,248,23
1549727369,2019-02-09T15:49:29Z,UAL28,"1.441635,104.032288",2650,253,23
1549727380,2019-02-09T15:49:40Z,UAL28,"1.454385,104.037872",3075,256,24
1549727387,2019-02-09T15:49:47Z,UAL28,"1.460856,104.041573",3275,259,32
1549727394,2019-02-09T15:49:54Z,UAL28,"1.466583,104.046349",3450,265,43
1549727402,2019-02-09T15:50:02Z,UAL28,"1.473221,104.055145",3625,274,59
1549727408,2019-02-09T15:50:08Z,UAL28,"1.476517,104.062683",3800,279,69
1549727414,2019-02-09T15:50:14Z,UAL28,"1.478256,104.07032",3975,284,79
1549727420,2019-02-09T15:50:20Z,UAL28,"1.478668,104.078232",4175,287,89
1549727441,2019-02-09T15:50:41Z,UAL28,"1.469742,104.104492",4975,290,117
1549727447,2019-02-09T15:50:47Z,UAL28,"1.466023,104.111893",5175,292,116
1549727462,2019-02-09T15:51:02Z,UAL28,"1.457016,104.130417",5675,295,115
1549727474,2019-02-09T15:51:14Z,UAL28,"1.450056,104.145088",5900,293,114
1549727486,2019-02-09T15:51:26Z,UAL28,"1.443538,104.159248",6200,289,114
1549727498,2019-02-09T15:51:38Z,UAL28,"1.436829,104.173943",6500,296,114
1549727512,2019-02-09T15:51:52Z,UAL28,"1.429413,104.189957",6975,296,114
1549727522,2019-02-09T15:52:02Z,UAL28,"1.422638,104.204575",7500,294,114
1549727536,2019-02-09T15:52:16Z,UAL28,"1.415771,104.219566",7900,298,114
1549727546,2019-02-09T15:52:26Z,UAL28,"1.409136,104.234016",8275,299,114
1549727557,2019-02-09T15:52:37Z,UAL28,"1.401718,104.250015",8750,300,115
1549727571,2019-02-09T15:52:51Z,UAL28,"1.394531,104.265373",9200,300,114
1549727583,2019-02-09T15:53:03Z,UAL28,"1.387583,104.28038",9600,301,114
1549727593,2019-02-09T15:53:13Z,UAL28,"1.380367,104.295868",10000,303,114
1549727606,2019-02-09T15:53:26Z,UAL28,"1.373384,104.311066",10300,309,114
1549727617,2019-02-09T15:53:37Z,UAL28,"1.366013,104.327103",10425,320,114
1549727631,2019-02-09T15:53:51Z,UAL28,"1.358441,104.343742",10600,330,114
1549727643,2019-02-09T15:54:03Z,UAL28,"1.350667,104.360695",10750,340,114
1549727655,2019-02-09T15:54:15Z,UAL28,"1.342613,104.378448",10950,348,114
1549727667,2019-02-09T15:54:27Z,UAL28,"1.335723,104.396492",11075,357,106
1549727673,2019-02-09T15:54:33Z,UAL28,"1.333442,104.406532",11225,359,101
1549727679,2019-02-09T15:54:39Z,UAL28,"1.331953,104.416428",11375,361,97
1549727689,2019-02-09T15:54:49Z,UAL28,"1.330627,104.431007",11525,366,93
1549727695,2019-02-09T15:54:55Z,UAL28,"1.330463,104.441765",11625,371,90
1549727715,2019-02-09T15:55:15Z,UAL28,"1.33158,104.478989",11800,388,88
1549727727,2019-02-09T15:55:27Z,UAL28,"1.332185,104.500816",11850,399,88
1549727739,2019-02-09T15:55:39Z,UAL28,"1.332744,104.522881",11925,409,88
1549727751,2019-02-09T15:55:51Z,UAL28,"1.333303,104.546562",12125,414,88
1549727783,2019-02-09T15:56:23Z,UAL28,"1.335068,104.609352",12850,426,88
1549727818,2019-02-09T15:56:58Z,UAL28,"1.336853,104.67662",13725,432,88
1549727848,2019-02-09T15:57:28Z,UAL28,"1.338098,104.736786",14500,436,88
1549727881,2019-02-09T15:58:01Z,UAL28,"1.339417,104.80291",15600,433,88
1549727916,2019-02-09T15:58:36Z,UAL28,"1.341019,104.870178",16325,438,88
1549727947,2019-02-09T15:59:07Z,UAL28,"1.342621,104.936195",17075,442,88
1549727982,2019-02-09T15:59:42Z,UAL28,"1.344131,105.003975",17950,443,88
1549728022,2019-02-09T16:00:22Z,UAL28,"1.34657,105.090286",18825,448,88
1549728083,2019-02-09T16:01:23Z,UAL28,"1.349533,105.218163",20050,456,88
1549728140,2019-02-09T16:02:20Z,UAL28,"1.352371,105.33654",21175,462,88
1549728228,2019-02-09T16:03:48Z,UAL28,"1.356998,105.528984",22700,472,88
1549728290,2019-02-09T16:04:50Z,UAL28,"1.360107,105.663757",23850,473,88
