Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549895264,2019-02-11T14:27:44Z,UAL28,"1.334059,103.985252",0,25,202
1549895320,2019-02-11T14:28:40Z,UAL28,"1.330101,103.983582",0,19,202
1549895422,2019-02-11T14:30:22Z,UAL28,"1.329183,103.985161",0,11,39
1549895499,2019-02-11T14:31:39Z,UAL28,"1.354391,103.995773",100,189,23
1549895505,2019-02-11T14:31:45Z,UAL28,"1.359372,103.997864",375,188,22
1549895516,2019-02-11T14:31:56Z,UAL28,"1.369171,104.001701",975,186,21
1549895523,2019-02-11T14:32:03Z,UAL28,"1.373803,104.003448",1200,187,20
1549895529,2019-02-11T14:32:09Z,UAL28,"1.378784,104.005386",1325,193,21
1549895535,2019-02-11T14:32:15Z,UAL28,"1.383905,104.007423",1400,202,22
1549895541,2019-02-11T14:32:21Z,UAL28,"1.389258,104.009697",1500,210,23
1549895547,2019-02-11T14:32:27Z,UAL28,"1.394891,104.012115",1650,214,23
1549895553,2019-02-11T14:32:33Z,UAL28,"1.400391,104.014458",1825,219,23
1549895559,2019-02-11T14:32:39Z,UAL28,"1.406433,104.017067",2025,222,23
1549895566,2019-02-11T14:32:46Z,UAL28,"1.412155,104.019531",2225,224,23
1549895577,2019-02-11T14:32:57Z,UAL28,"1.423965,104.024605",2675,227,23
1549895583,2019-02-11T14:33:03Z,UAL28,"1.429642,104.027031",2900,228,23
1549895591,2019-02-11T14:33:11Z,UAL28,"1.435684,104.029633",3150,228,23
1549895597,2019-02-11T14:33:17Z,UAL28,"1.44149,104.032143",3375,230,23
1549895604,2019-02-11T14:33:24Z,UAL28,"1.447588,104.034798",3625,231,23
1549895613,2019-02-11T14:33:33Z,UAL28,"1.459273,104.040436",4050,233,29
1549895620,2019-02-11T14:33:40Z,UAL28,"1.464533,104.044365",4225,236,38
1549895626,2019-02-11T14:33:46Z,UAL28,"1.469002,104.049004",4375,240,48
1549895634,2019-02-11T14:33:54Z,UAL28,"1.474411,104.057518",4550,249,62
1549895641,2019-02-11T14:34:01Z,UAL28,"1.47702,104.064499",4725,253,72
1549895647,2019-02-11T14:34:07Z,UAL28,"1.478266,104.071167",4850,257,81
1549895673,2019-02-11T14:34:33Z,UAL28,"1.47147,104.100388",5350,282,115
1549895680,2019-02-11T14:34:40Z,UAL28,"1.466442,104.110802",5675,284,115
1549895691,2019-02-11T14:34:51Z,UAL28,"1.459488,104.125435",6250,284,115
1549895705,2019-02-11T14:35:05Z,UAL28,"1.452667,104.139915",6800,284,115
1549895716,2019-02-11T14:35:16Z,UAL28,"1.44603,104.153931",7325,284,115
1549895727,2019-02-11T14:35:27Z,UAL28,"1.439713,104.167336",7775,285,115
1549895742,2019-02-11T14:35:42Z,UAL28,"1.432412,104.182877",8275,287,114
1549895753,2019-02-11T14:35:53Z,UAL28,"1.425569,104.197701",8750,290,114
1549895764,2019-02-11T14:36:04Z,UAL28,"1.418726,104.212616",9225,290,114
1549895776,2019-02-11T14:36:16Z,UAL28,"1.412201,104.226784",9600,294,114
1549895788,2019-02-11T14:36:28Z,UAL28,"1.40504,104.242401",9950,301,114
1549895800,2019-02-11T14:36:40Z,UAL28,"1.398056,104.257645",10200,308,114
1549895813,2019-02-11T14:36:53Z,UAL28,"1.390823,104.273384",10325,322,114
1549895824,2019-02-11T14:37:04Z,UAL28,"1.383041,104.29023",10475,333,114
1549895836,2019-02-11T14:37:16Z,UAL28,"1.375339,104.306946",10675,344,114
1549895848,2019-02-11T14:37:28Z,UAL28,"1.366974,104.325005",10875,354,114
1549895860,2019-02-11T14:37:40Z,UAL28,"1.358459,104.343399",11100,362,114
1549895873,2019-02-11T14:37:53Z,UAL28,"1.349689,104.362396",11325,370,114
1549895885,2019-02-11T14:38:05Z,UAL28,"1.341522,104.381432",11550,380,110
1549895896,2019-02-11T14:38:16Z,UAL28,"1.33563,104.400993",11750,388,103
1549895903,2019-02-11T14:38:23Z,UAL28,"1.333282,104.412483",11850,392,100
1549895911,2019-02-11T14:38:31Z,UAL28,"1.331223,104.429237",11975,399,95
1549895917,2019-02-11T14:38:37Z,UAL28,"1.330719,104.440414",12050,404,91
1549895938,2019-02-11T14:38:58Z,UAL28,"1.331635,104.475044",12300,418,88
1549895970,2019-02-11T14:39:30Z,UAL28,"1.333237,104.538826",13200,427,88
1549896003,2019-02-11T14:40:03Z,UAL28,"1.334979,104.605232",14225,432,88
1549896035,2019-02-11T14:40:35Z,UAL28,"1.336533,104.67173",15175,438,88
1549896069,2019-02-11T14:41:09Z,UAL28,"1.341729,104.738632",16050,445,84
1549896102,2019-02-11T14:41:42Z,UAL28,"1.348898,104.806396",16950,449,83
1549896134,2019-02-11T14:42:14Z,UAL28,"1.356625,104.875061",17900,451,83
1549896167,2019-02-11T14:42:47Z,UAL28,"1.364594,104.943039",18600,459,83
1549896228,2019-02-11T14:43:48Z,UAL28,"1.379745,105.072495",20300,459,83
1549896290,2019-02-11T14:44:50Z,UAL28,"1.395171,105.205269",21675,469,83
1549896355,2019-02-11T14:45:55Z,UAL28,"1.410579,105.341789",23225,470,83
1549896417,2019-02-11T14:46:57Z,UAL28,"1.426666,105.478897",24350,478,83
1549896465,2019-02-11T14:47:45Z,UAL28,"1.443399,105.584251",25175,484,73
1549896475,2019-02-11T14:47:55Z,UAL28,"1.451313,105.604797",25325,486,67
1549896481,2019-02-11T14:48:01Z,UAL28,"1.45634,105.61541",25400,489,63
1549896492,2019-02-11T14:48:12Z,UAL28,"1.46727,105.634476",25525,491,58
1549896501,2019-02-11T14:48:21Z,UAL28,"1.478965,105.651115",25625,494,53
1549896507,2019-02-11T14:48:27Z,UAL28,"1.492046,105.66655",25750,497,48
1549896514,2019-02-11T14:48:34Z,UAL28,"1.501602,105.676277",25850,498,44
1549896522,2019-02-11T14:48:42Z,UAL28,"1.512955,105.686478",25950,501,40
1549896529,2019-02-11T14:48:49Z,UAL28,"1.529205,105.698997",26075,503,36
1549896538,2019-02-11T14:48:58Z,UAL28,"1.547012,105.710358",26225,507,30
1549896545,2019-02-11T14:49:05Z,UAL28,"1.559081,105.717224",26300,508,29
1549896607,2019-02-11T14:50:07Z,UAL28,"1.692034,105.78669",27175,514,27
1549896623,2019-02-11T14:50:23Z,UAL28,"1.722898,105.803024",27350,517,28
1549896753,2019-02-11T14:52:33Z,UAL28,"1.985732,105.980843",29575,513,36
1549896815,2019-02-11T14:53:35Z,UAL28,"2.103556,106.068451",30525,514,36
1549896876,2019-02-11T14:54:36Z,UAL28,"2.218277,106.153763",31400,515,36
1549896948,2019-02-11T14:55:48Z,UAL28,"2.355011,106.25544",31975,510,36
1549897054,2019-02-11T14:57:34Z,UAL28,"2.559906,106.404823",32000,508,32
1549897242,2019-02-11T15:00:42Z,UAL28,"2.955414,106.612213",32000,515,27
1549897264,2019-02-11T15:01:04Z,UAL28,"3.000618,106.63562",32000,514,27
1549897354,2019-02-11T15:02:34Z,UAL28,"3.189527,106.733459",32000,511,27
1549897375,2019-02-11T15:02:55Z,UAL28,"3.233053,106.755997",32000,513,27
1549897434,2019-02-11T15:03:54Z,UAL28,"3.360653,106.822105",31975,515,27
1549897491,2019-02-11T15:04:51Z,UAL28,"3.47559,106.881676",31975,513,27
1549903675,2019-02-11T16:47:55Z,UAL28,"12.589355,118.453484",31975,519,52
1549903738,2019-02-11T16:48:58Z,UAL28,"12.681473,118.576431",32000,518,52
1549903803,2019-02-11T16:50:03Z,UAL28,"12.774492,118.700821",32000,518,52
1549903849,2019-02-11T16:50:49Z,UAL28,"12.843109,118.79261",31975,516,52
1549903935,2019-02-11T16:52:15Z,UAL28,"12.968522,118.960732",32000,517,52
1549903997,2019-02-11T16:53:17Z,UAL28,"13.058807,119.080666",31975,517,52
1549904063,2019-02-11T16:54:23Z,UAL28,"13.155807,119.208481",32000,518,52
1549904126,2019-02-11T16:55:26Z,UAL28,"13.248367,119.330795",31975,516,52
1549904191,2019-02-11T16:56:31Z,UAL28,"13.342756,119.45565",32000,518,52
1549904237,2019-02-11T16:57:17Z,UAL28,"13.411467,119.546623",31975,517,52
1549904310,2019-02-11T16:58:30Z,UAL28,"13.51621,119.685493",31975,517,52
1549904418,2019-02-11T17:00:18Z,UAL28,"13.675185,119.89679",32775,515,52
1549904481,2019-02-11T17:01:21Z,UAL28,"13.767824,120.019997",34025,509,52
1549904544,2019-02-11T17:02:24Z,UAL28,"13.857857,120.140846",33975,508,53
1549904608,2019-02-11T17:03:28Z,UAL28,"13.94705,120.265259",34000,508,53
1549904674,2019-02-11T17:04:34Z,UAL28,"14.039795,120.394905",34000,509,53
1549904737,2019-02-11T17:05:37Z,UAL28,"14.128371,120.518623",33975,512,53
1549904799,2019-02-11T17:06:39Z,UAL28,"14.213608,120.637794",34000,512,53
1549904860,2019-02-11T17:07:40Z,UAL28,"14.297775,120.755699",34475,509,53
1549904923,2019-02-11T17:08:43Z,UAL28,"14.387062,120.880928",34975,510,53
1549904983,2019-02-11T17:09:43Z,UAL28,"14.473618,120.997925",35000,509,44
1549904992,2019-02-11T17:09:52Z,UAL28,"14.489943,121.011513",34975,509,36
1549905001,2019-02-11T17:10:01Z,UAL28,"14.508191,121.022743",34975,509,28
1549905010,2019-02-11T17:10:10Z,UAL28,"14.528627,121.031509",34975,507,19
1549905016,2019-02-11T17:10:16Z,UAL28,"14.54155,121.035286",34975,507,14
1549905022,2019-02-11T17:10:22Z,UAL28,"14.555675,121.037964",34975,507,9
