Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550758876,2019-02-21T14:21:16Z,UAL28,"1.346066,103.990334",0,17,202
1550758884,2019-02-21T14:21:24Z,UAL28,"1.345418,103.990059",0,17,202
1550759207,2019-02-21T14:26:47Z,UAL28,"1.359511,103.998001",225,198,23
1550759213,2019-02-21T14:26:53Z,UAL28,"1.36441,103.999977",450,200,21
1550759219,2019-02-21T14:26:59Z,UAL28,"1.369629,104.002029",725,201,21
1550759225,2019-02-21T14:27:05Z,UAL28,"1.374734,104.003967",1050,199,21
1550759231,2019-02-21T14:27:11Z,UAL28,"1.379929,104.006035",1375,195,22
1550759237,2019-02-21T14:27:17Z,UAL28,"1.38501,104.008125",1575,198,22
1550759244,2019-02-21T14:27:24Z,UAL28,"1.390469,104.010406",1725,203,22
1550759256,2019-02-21T14:27:36Z,UAL28,"1.401362,104.014862",1925,216,22
1550759266,2019-02-21T14:27:46Z,UAL28,"1.412953,104.019646",2125,230,23
1550759273,2019-02-21T14:27:53Z,UAL28,"1.419067,104.022232",2275,235,23
1550759281,2019-02-21T14:28:01Z,UAL28,"1.425156,104.024887",2450,238,23
1550759290,2019-02-21T14:28:10Z,UAL28,"1.437561,104.03019",2875,244,23
1550759297,2019-02-21T14:28:17Z,UAL28,"1.443538,104.032852",3025,250,23
1550759303,2019-02-21T14:28:23Z,UAL28,"1.449921,104.035637",3175,255,24
1550759309,2019-02-21T14:28:29Z,UAL28,"1.456879,104.038994",3350,259,27
1550759319,2019-02-21T14:28:39Z,UAL28,"1.465714,104.045372",3650,264,41
1550759325,2019-02-21T14:28:45Z,UAL28,"1.470539,104.05085",3850,267,51
1550759335,2019-02-21T14:28:55Z,UAL28,"1.475784,104.06073",4125,274,67
1550759343,2019-02-21T14:29:03Z,UAL28,"1.478359,104.071686",4300,285,82
1550759350,2019-02-21T14:29:10Z,UAL28,"1.478453,104.080307",4400,294,92
1550759356,2019-02-21T14:29:16Z,UAL28,"1.475647,104.092384",4550,306,108
1550759362,2019-02-21T14:29:22Z,UAL28,"1.47254,104.099625",4725,310,114
1550759371,2019-02-21T14:29:31Z,UAL28,"1.468258,104.108528",4875,316,115
1550759378,2019-02-21T14:29:38Z,UAL28,"1.462578,104.120369",5075,325,115
1550759384,2019-02-21T14:29:44Z,UAL28,"1.458482,104.128845",5225,330,115
1550759396,2019-02-21T14:29:56Z,UAL28,"1.450333,104.145828",5500,340,115
1550759407,2019-02-21T14:30:07Z,UAL28,"1.442887,104.161469",5825,343,115
1550759420,2019-02-21T14:30:20Z,UAL28,"1.434042,104.180511",6250,350,114
1550759432,2019-02-21T14:30:32Z,UAL28,"1.425523,104.198738",6575,359,114
1550759445,2019-02-21T14:30:45Z,UAL28,"1.41705,104.216736",6875,367,115
1550759456,2019-02-21T14:30:56Z,UAL28,"1.408298,104.235626",7300,370,114
1550759469,2019-02-21T14:31:09Z,UAL28,"1.399686,104.254379",7750,374,114
1550759480,2019-02-21T14:31:20Z,UAL28,"1.390655,104.27375",7975,382,114
1550759493,2019-02-21T14:31:33Z,UAL28,"1.381577,104.293259",8250,390,114
1550759505,2019-02-21T14:31:45Z,UAL28,"1.37233,104.313232",8625,394,114
1550759516,2019-02-21T14:31:56Z,UAL28,"1.363083,104.333199",9025,396,114
1550759529,2019-02-21T14:32:09Z,UAL28,"1.353836,104.353264",9475,398,114
1550759542,2019-02-21T14:32:22Z,UAL28,"1.344289,104.373909",9900,400,114
1550759553,2019-02-21T14:32:33Z,UAL28,"1.336934,104.394836",10275,401,106
1550759559,2019-02-21T14:32:39Z,UAL28,"1.33442,104.405304",10450,402,102
1550759566,2019-02-21T14:32:46Z,UAL28,"1.332465,104.416664",10650,402,98
1550759573,2019-02-21T14:32:53Z,UAL28,"1.330975,104.433006",10925,404,93
1550759597,2019-02-21T14:33:17Z,UAL28,"1.33172,104.477379",11600,409,88
1550759609,2019-02-21T14:33:29Z,UAL28,"1.332278,104.500908",11925,413,88
1550759622,2019-02-21T14:33:42Z,UAL28,"1.332825,104.523323",12225,416,88
1550759654,2019-02-21T14:34:14Z,UAL28,"1.33442,104.587524",13125,423,88
1550759689,2019-02-21T14:34:49Z,UAL28,"1.335956,104.653061",13950,431,88
1550759721,2019-02-21T14:35:21Z,UAL28,"1.337585,104.719955",14775,438,88
1550759755,2019-02-21T14:35:55Z,UAL28,"1.339142,104.787643",15600,444,88
1550759787,2019-02-21T14:36:27Z,UAL28,"1.340751,104.856216",16475,448,88
1550759819,2019-02-21T14:36:59Z,UAL28,"1.342427,104.922272",17275,452,88
1550759850,2019-02-21T14:37:30Z,UAL28,"1.344086,104.986656",18000,456,88
1550759905,2019-02-21T14:38:25Z,UAL28,"1.351318,105.103363",19125,468,78
1550759911,2019-02-21T14:38:31Z,UAL28,"1.354344,105.115814",19225,471,75
1550759920,2019-02-21T14:38:40Z,UAL28,"1.359698,105.135605",19425,473,74
1550759987,2019-02-21T14:39:47Z,UAL28,"1.400528,105.274765",20800,482,73
1550760049,2019-02-21T14:40:49Z,UAL28,"1.441723,105.410599",22075,491,73
1550760101,2019-02-21T14:41:41Z,UAL28,"1.478778,105.522636",23075,497,62
1550760109,2019-02-21T14:41:49Z,UAL28,"1.489838,105.539879",23275,498,54
1550760115,2019-02-21T14:41:55Z,UAL28,"1.497632,105.549301",23450,497,49
1550760121,2019-02-21T14:42:01Z,UAL28,"1.508618,105.560432",23625,497,43
1550760128,2019-02-21T14:42:08Z,UAL28,"1.518723,105.569489",23800,496,41
1550760136,2019-02-21T14:42:16Z,UAL28,"1.534607,105.582756",24025,496,39
1550760143,2019-02-21T14:42:23Z,UAL28,"1.54586,105.591873",24175,496,39
1550760206,2019-02-21T14:43:26Z,UAL28,"1.65834,105.68396",25400,498,40
1550760220,2019-02-21T14:43:40Z,UAL28,"1.679901,105.702072",25600,498,40
1550760362,2019-02-21T14:46:02Z,UAL28,"1.940623,105.916161",27900,504,38
1550760429,2019-02-21T14:47:09Z,UAL28,"2.061985,106.011864",28950,506,38
1550760458,2019-02-21T14:47:38Z,UAL28,"2.115846,106.054527",29275,509,38
1550760571,2019-02-21T14:49:31Z,UAL28,"2.323469,106.219559",31050,511,38
1550760634,2019-02-21T14:50:34Z,UAL28,"2.439337,106.311905",32075,509,38
1550760676,2019-02-21T14:51:16Z,UAL28,"2.52099,106.376778",32625,513,38
1550760803,2019-02-21T14:53:23Z,UAL28,"2.783917,106.523346",34650,508,27
1550760825,2019-02-21T14:53:45Z,UAL28,"2.82756,106.545876",34975,505,27
1550760912,2019-02-21T14:55:12Z,UAL28,"3.010574,106.64061",35000,500,27
1550760982,2019-02-21T14:56:22Z,UAL28,"3.153356,106.714752",35000,499,27
1550761039,2019-02-21T14:57:19Z,UAL28,"3.270621,106.775604",34975,498,27
1550767358,2019-02-21T16:42:38Z,UAL28,"12.540024,118.359688",35000,518,52
1550767421,2019-02-21T16:43:41Z,UAL28,"12.632881,118.483551",34975,519,52
1550767481,2019-02-21T16:44:41Z,UAL28,"12.721115,118.601295",35000,519,52
1550767545,2019-02-21T16:45:45Z,UAL28,"12.813354,118.724655",35000,518,52
1550767609,2019-02-21T16:46:49Z,UAL28,"12.906555,118.84948",35000,520,52
1550767668,2019-02-21T16:47:48Z,UAL28,"12.993614,118.966179",35000,518,52
1550767733,2019-02-21T16:48:53Z,UAL28,"13.08783,119.091042",35000,519,52
1550767790,2019-02-21T16:49:50Z,UAL28,"13.173615,119.20417",34975,519,52
1550767856,2019-02-21T16:50:56Z,UAL28,"13.270798,119.332451",34975,520,52
1550767919,2019-02-21T16:51:59Z,UAL28,"13.363678,119.455292",35000,519,52
1550767978,2019-02-21T16:52:58Z,UAL28,"13.451316,119.571434",34975,519,52
1550768043,2019-02-21T16:54:03Z,UAL28,"13.546469,119.697685",35000,520,52
1550768062,2019-02-21T16:54:22Z,UAL28,"13.575098,119.735703",35000,521,52
1550768150,2019-02-21T16:55:50Z,UAL28,"13.703979,119.906868",35000,522,52
1550768213,2019-02-21T16:56:53Z,UAL28,"13.796722,120.03051",35000,523,52
1550768277,2019-02-21T16:57:57Z,UAL28,"13.889233,120.15554",34975,523,53
1550768339,2019-02-21T16:58:59Z,UAL28,"13.978775,120.280685",35000,524,53
1550768401,2019-02-21T17:00:01Z,UAL28,"14.06868,120.406319",35000,525,53
1550768462,2019-02-21T17:01:02Z,UAL28,"14.156955,120.52951",34975,525,53
1550768526,2019-02-21T17:02:06Z,UAL28,"14.248849,120.658119",34975,524,53
1550768588,2019-02-21T17:03:08Z,UAL28,"14.338042,120.783066",35000,524,53
1550768651,2019-02-21T17:04:11Z,UAL28,"14.429424,120.911339",34975,523,53
1550768712,2019-02-21T17:05:12Z,UAL28,"14.518524,121.032822",35000,524,50
1550768773,2019-02-21T17:06:13Z,UAL28,"14.616302,121.147896",35000,524,48
1550768836,2019-02-21T17:07:16Z,UAL28,"14.717443,121.265739",35000,523,48
1550768897,2019-02-21T17:08:17Z,UAL28,"14.815203,121.37989",35000,525,48
1550768957,2019-02-21T17:09:17Z,UAL28,"14.912823,121.494026",35000,527,48
1550769021,2019-02-21T17:10:21Z,UAL28,"15.015471,121.614189",35000,527,48
1550769082,2019-02-21T17:11:22Z,UAL28,"15.114212,121.729912",34975,528,48
1550769143,2019-02-21T17:12:23Z,UAL28,"15.211807,121.844543",34975,528,48
1550769207,2019-02-21T17:13:27Z,UAL28,"15.314941,121.965927",35000,528,48
1550769267,2019-02-21T17:14:27Z,UAL28,"15.413177,122.081718",35000,528,48
1550769331,2019-02-21T17:15:31Z,UAL28,"15.515442,122.20237",35000,528,48
1550769391,2019-02-21T17:16:31Z,UAL28,"15.613341,122.318001",35000,528,48
1550769439,2019-02-21T17:17:19Z,UAL28,"15.690994,122.409912",35000,530,48
1550769527,2019-02-21T17:18:47Z,UAL28,"15.833161,122.578537",34975,530,48
1550769589,2019-02-21T17:19:49Z,UAL28,"15.931686,122.695602",35000,528,48
1550769654,2019-02-21T17:20:54Z,UAL28,"16.038504,122.822731",35000,529,48
1550769717,2019-02-21T17:21:57Z,UAL28,"16.136448,122.939415",35000,528,48
1550769794,2019-02-21T17:23:14Z,UAL28,"16.262234,123.089745",34975,528,48
1550769854,2019-02-21T17:24:14Z,UAL28,"16.359528,123.206177",34975,528,49
1550769904,2019-02-21T17:25:04Z,UAL28,"16.438154,123.300446",34975,529,49
1550769991,2019-02-21T17:26:31Z,UAL28,"16.578136,123.468475",35000,529,49
1550787148,2019-02-21T22:12:28Z,UAL28,"40.716667,169.350006",38000,575,14
1550787423,2019-02-21T22:17:03Z,UAL28,"41.087284,170.188812",38000,563,59
1550787730,2019-02-21T22:22:10Z,UAL28,"41.501034,171.093567",38000,565,58
1550788317,2019-02-21T22:31:57Z,UAL28,"42.284832,172.835495",38000,567,351
1550788885,2019-02-21T22:41:25Z,UAL28,"43.034485,174.617538",38000,569,15
1550789455,2019-02-21T22:50:55Z,UAL28,"43.75552,176.470444",38000,569,11
1550790052,2019-02-21T23:00:52Z,UAL28,"44.433334,178.366669",38000,564,80
1550790539,2019-02-21T23:08:59Z,UAL28,"45,180",38000,544,62
1550790601,2019-02-21T23:10:01Z,UAL28,"45.099998,-179.733337",38000,542,61
1550791185,2019-02-21T23:19:45Z,UAL28,"45.733334,-177.883331",38000,536,9
1550791767,2019-02-21T23:29:27Z,UAL28,"46.333332,-176.03334",39000,521,5
1550791868,2019-02-21T23:31:08Z,UAL28,"46.445969,-175.681854",39000,520,65
1550792332,2019-02-21T23:38:52Z,UAL28,"46.88961,-174.183395",39000,516,10
1550792920,2019-02-21T23:48:40Z,UAL28,"47.421665,-172.313614",39000,521,1
1550793486,2019-02-21T23:58:06Z,UAL28,"47.920399,-170.38504",39000,521,16
1550793602,2019-02-22T00:00:02Z,UAL28,"48.013512,-169.985168",39000,521,71
1550794070,2019-02-22T00:07:50Z,UAL28,"48.244137,-168.393021",39000,512,20
1550794634,2019-02-22T00:17:14Z,UAL28,"48.478405,-166.408936",39000,515,37
1550795223,2019-02-22T00:27:03Z,UAL28,"48.691128,-164.349945",39000,521,93
1550795784,2019-02-22T00:36:24Z,UAL28,"48.857635,-162.283401",39000,519,90
1550796372,2019-02-22T00:46:12Z,UAL28,"48.991085,-160.164291",39000,530,92
1550796411,2019-02-22T00:46:51Z,UAL28,"49.001209,-159.99939",39000,534,81
1550796938,2019-02-22T00:55:38Z,UAL28,"49.07423,-158.056427",39000,532,83
1550797522,2019-02-22T01:05:22Z,UAL28,"49.107643,-155.899445",39000,539,100
1550798107,2019-02-22T01:15:07Z,UAL28,"49.107094,-153.735367",39000,539,99
1550798671,2019-02-22T01:24:31Z,UAL28,"49.059143,-151.547958",40000,548,99
1550799081,2019-02-22T01:31:21Z,UAL28,"49.006847,-149.996262",40000,545,80
1550799259,2019-02-22T01:34:19Z,UAL28,"48.931938,-149.335724",40000,545,102
1550799821,2019-02-22T01:43:41Z,UAL28,"48.576939,-147.217422",40000,551,116
1550800405,2019-02-22T01:53:25Z,UAL28,"48.162403,-145.089691",40000,549,122
1550800973,2019-02-22T02:02:53Z,UAL28,"47.725121,-143.043671",40000,543,118
1550801558,2019-02-22T02:12:38Z,UAL28,"47.255337,-141.021378",40000,539,117
1550801871,2019-02-22T02:17:51Z,UAL28,"47.001133,-139.977539",40000,547,109
1550801967,2019-02-22T02:19:27Z,UAL28,"46.89196,-139.627655",40000,512,116
1550802144,2019-02-22T02:22:24Z,UAL28,"46.713711,-139.081833",40000,514,115
1550802709,2019-02-22T02:31:49Z,UAL28,"46.061779,-137.265152",40000,520,87
1550803292,2019-02-22T02:41:32Z,UAL28,"45.358101,-135.443359",40000,529,81
1550803860,2019-02-22T02:51:00Z,UAL28,"44.640297,-133.650589",40000,544,75
1550804442,2019-02-22T03:00:42Z,UAL28,"43.872868,-131.888519",40000,545,62
1550805008,2019-02-22T03:10:08Z,UAL28,"43.105022,-130.194641",40000,545,58
1550805085,2019-02-22T03:11:25Z,UAL28,"43.000927,-129.982971",40000,545,124
1550805372,2019-02-22T03:16:12Z,UAL28,"42.404709,-129.217133",40000,558,136
1550805434,2019-02-22T03:17:14Z,UAL28,"42.289543,-129.068207",40000,558,136
1550805501,2019-02-22T03:18:21Z,UAL28,"42.166084,-128.909424",40000,555,136
1550805563,2019-02-22T03:19:23Z,UAL28,"42.050079,-128.760849",40000,558,136
1550805627,2019-02-22T03:20:27Z,UAL28,"41.929367,-128.607483",39975,558,136
1550805693,2019-02-22T03:21:33Z,UAL28,"41.805073,-128.450363",40000,558,136
1550805753,2019-02-22T03:22:33Z,UAL28,"41.691345,-128.307083",39975,560,136
1550805819,2019-02-22T03:23:39Z,UAL28,"41.56789,-128.152649",40000,563,136
1550805884,2019-02-22T03:24:44Z,UAL28,"41.442802,-127.996918",40000,566,136
1550805945,2019-02-22T03:25:45Z,UAL28,"41.327633,-127.854271",39975,566,136
1550806011,2019-02-22T03:26:51Z,UAL28,"41.202732,-127.700462",40000,566,137
1550806076,2019-02-22T03:27:56Z,UAL28,"41.076576,-127.546089",40000,565,137
1550806135,2019-02-22T03:28:55Z,UAL28,"40.962383,-127.406761",40000,563,137
1550806202,2019-02-22T03:30:02Z,UAL28,"40.835762,-127.253326",40000,562,137
1550806266,2019-02-22T03:31:06Z,UAL28,"40.711189,-127.103386",40000,559,137
1550806327,2019-02-22T03:32:07Z,UAL28,"40.605003,-126.955322",40000,549,126
1550806392,2019-02-22T03:33:12Z,UAL28,"40.517029,-126.772827",40000,547,122
1550806457,2019-02-22T03:34:17Z,UAL28,"40.428524,-126.588158",40000,547,122
1550806517,2019-02-22T03:35:17Z,UAL28,"40.34697,-126.418823",40000,554,122
1550806582,2019-02-22T03:36:22Z,UAL28,"40.257771,-126.23497",39975,559,122
1550806648,2019-02-22T03:37:28Z,UAL28,"40.165874,-126.046638",39975,563,122
1550806709,2019-02-22T03:38:29Z,UAL28,"40.080734,-125.873291",39975,565,122
1550806774,2019-02-22T03:39:34Z,UAL28,"39.988312,-125.686157",39975,560,122
1550806839,2019-02-22T03:40:39Z,UAL28,"39.898544,-125.505188",40000,553,122
1550806899,2019-02-22T03:41:39Z,UAL28,"39.813812,-125.335258",39975,550,122
1550806965,2019-02-22T03:42:45Z,UAL28,"39.723724,-125.155701",39975,545,123
1550807030,2019-02-22T03:43:50Z,UAL28,"39.634232,-124.9785",40000,534,123
1550807046,2019-02-22T03:44:06Z,UAL28,"39.613632,-124.937958",40000,533,123
1550807137,2019-02-22T03:45:37Z,UAL28,"39.489578,-124.693985",39975,533,123
1550807201,2019-02-22T03:46:41Z,UAL28,"39.402878,-124.524475",39975,534,123
1550807261,2019-02-22T03:47:41Z,UAL28,"39.320812,-124.365417",40000,536,123
