Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551019332,2019-02-24T14:42:12Z,UAL28,"1.345745,103.990196",0,17,202
1551019704,2019-02-24T14:48:24Z,UAL28,"1.35878,103.997696",175,203,23
1551019715,2019-02-24T14:48:35Z,UAL28,"1.369995,104.002213",675,205,21
1551019721,2019-02-24T14:48:41Z,UAL28,"1.37506,104.004158",950,203,21
1551019733,2019-02-24T14:48:53Z,UAL28,"1.385559,104.00827",1500,200,21
1551019739,2019-02-24T14:48:59Z,UAL28,"1.390748,104.010406",1625,206,22
1551019745,2019-02-24T14:49:05Z,UAL28,"1.396567,104.012779",1675,215,22
1551019751,2019-02-24T14:49:11Z,UAL28,"1.402293,104.015144",1725,223,22
1551019762,2019-02-24T14:49:22Z,UAL28,"1.414124,104.020279",2050,231,24
1551019768,2019-02-24T14:49:28Z,UAL28,"1.41989,104.022911",2300,229,24
1551019774,2019-02-24T14:49:34Z,UAL28,"1.425797,104.025627",2500,232,25
1551019781,2019-02-24T14:49:41Z,UAL28,"1.431714,104.028732",2650,235,29
1551019787,2019-02-24T14:49:47Z,UAL28,"1.437161,104.032524",2775,240,36
1551019793,2019-02-24T14:49:53Z,UAL28,"1.442002,104.03688",2950,242,43
1551019799,2019-02-24T14:49:59Z,UAL28,"1.446332,104.041809",3100,244,51
1551019806,2019-02-24T14:50:06Z,UAL28,"1.450288,104.047958",3300,246,59
1551019812,2019-02-24T14:50:12Z,UAL28,"1.453221,104.054115",3525,246,66
1551019821,2019-02-24T14:50:21Z,UAL28,"1.456055,104.06385",3850,245,78
1551019827,2019-02-24T14:50:27Z,UAL28,"1.456573,104.070503",4050,247,87
1551019847,2019-02-24T14:50:47Z,UAL28,"1.449875,104.094063",4425,264,112
1551019853,2019-02-24T14:50:53Z,UAL28,"1.44675,104.101471",4550,269,112
1551019861,2019-02-24T14:51:01Z,UAL28,"1.443818,104.108437",4725,272,112
1551019868,2019-02-24T14:51:08Z,UAL28,"1.439346,104.118874",4950,278,113
1551019878,2019-02-24T14:51:18Z,UAL28,"1.434769,104.129768",5150,285,112
1551019887,2019-02-24T14:51:27Z,UAL28,"1.430085,104.141205",5475,288,112
1551019900,2019-02-24T14:51:40Z,UAL28,"1.422592,104.159744",5875,290,111
1551019914,2019-02-24T14:51:54Z,UAL28,"1.416687,104.175018",6050,290,110
1551019928,2019-02-24T14:52:08Z,UAL28,"1.411102,104.190193",6200,292,109
1551019938,2019-02-24T14:52:18Z,UAL28,"1.405645,104.205086",6650,292,110
1551019952,2019-02-24T14:52:32Z,UAL28,"1.399919,104.220428",7200,289,110
1551019962,2019-02-24T14:52:42Z,UAL28,"1.394333,104.235863",7650,291,109
1551019974,2019-02-24T14:52:54Z,UAL28,"1.388626,104.251221",8025,294,110
1551019987,2019-02-24T14:53:07Z,UAL28,"1.382767,104.266304",8450,296,111
1551019999,2019-02-24T14:53:19Z,UAL28,"1.377108,104.280426",8850,297,111
1551020010,2019-02-24T14:53:30Z,UAL28,"1.370636,104.296707",9275,300,111
1551020021,2019-02-24T14:53:41Z,UAL28,"1.364539,104.312721",9675,301,110
1551020034,2019-02-24T14:53:54Z,UAL28,"1.35858,104.328827",10050,305,110
1551020046,2019-02-24T14:54:06Z,UAL28,"1.352436,104.344734",10375,310,110
1551020059,2019-02-24T14:54:19Z,UAL28,"1.34657,104.360649",10525,320,110
1551020070,2019-02-24T14:54:30Z,UAL28,"1.340195,104.377708",10700,329,110
1551020081,2019-02-24T14:54:41Z,UAL28,"1.33429,104.395256",10950,336,105
1551020092,2019-02-24T14:54:52Z,UAL28,"1.331301,104.409561",11100,341,99
1551020098,2019-02-24T14:54:58Z,UAL28,"1.330261,104.418533",11200,344,95
1551020123,2019-02-24T14:55:23Z,UAL28,"1.330835,104.458572",11575,360,88
1551020133,2019-02-24T14:55:33Z,UAL28,"1.331441,104.478889",11675,371,88
1551020145,2019-02-24T14:55:45Z,UAL28,"1.332092,104.499344",11800,381,88
1551020156,2019-02-24T14:55:56Z,UAL28,"1.332791,104.52037",12100,384,88
1551020191,2019-02-24T14:56:31Z,UAL28,"1.334244,104.580765",12925,395,88
1551020222,2019-02-24T14:57:02Z,UAL28,"1.33563,104.635544",13875,397,88
1551020252,2019-02-24T14:57:32Z,UAL28,"1.336624,104.694771",14825,399,88
1551020288,2019-02-24T14:58:08Z,UAL28,"1.33861,104.75753",15725,403,88
1551020320,2019-02-24T14:58:40Z,UAL28,"1.340195,104.818138",16575,405,88
1551020353,2019-02-24T14:59:13Z,UAL28,"1.341635,104.881454",17275,413,88
1551020386,2019-02-24T14:59:46Z,UAL28,"1.34317,104.946014",17950,421,88
1551020418,2019-02-24T15:00:18Z,UAL28,"1.344635,105.009232",18575,429,88
1551020482,2019-02-24T15:01:22Z,UAL28,"1.347548,105.137077",19975,439,88
1551020545,2019-02-24T15:02:25Z,UAL28,"1.350667,105.265411",21375,446,88
1551020598,2019-02-24T15:03:18Z,UAL28,"1.353274,105.375366",22500,451,88
1551020687,2019-02-24T15:04:47Z,UAL28,"1.357773,105.564644",23900,470,88
1551020700,2019-02-24T15:05:00Z,UAL28,"1.358441,105.593155",24150,471,88
1551020773,2019-02-24T15:06:13Z,UAL28,"1.367798,105.752213",25325,478,75
1551020783,2019-02-24T15:06:23Z,UAL28,"1.37764,105.773666",25475,478,61
1551020793,2019-02-24T15:06:33Z,UAL28,"1.39032,105.791679",25650,476,51
1551020800,2019-02-24T15:06:40Z,UAL28,"1.400986,105.802856",25750,476,44
1551020807,2019-02-24T15:06:47Z,UAL28,"1.413466,105.813065",25875,476,37
1551020813,2019-02-24T15:06:53Z,UAL28,"1.423474,105.819504",25950,476,31
1551020819,2019-02-24T15:06:59Z,UAL28,"1.433762,105.825104",26050,476,28
1551020944,2019-02-24T15:09:04Z,UAL28,"1.683151,105.953362",27750,489,27
1551021007,2019-02-24T15:10:07Z,UAL28,"1.812469,106.020393",28425,497,27
1551021069,2019-02-24T15:11:09Z,UAL28,"1.938249,106.085594",29200,501,27
1551021128,2019-02-24T15:12:08Z,UAL28,"2.062217,106.149712",29875,507,27
1551021170,2019-02-24T15:12:50Z,UAL28,"2.150388,106.195366",30300,510,27
1551021335,2019-02-24T15:15:35Z,UAL28,"2.494315,106.373558",30975,504,27
1551021379,2019-02-24T15:16:19Z,UAL28,"2.584854,106.420418",30975,505,27
1551021562,2019-02-24T15:19:22Z,UAL28,"2.96727,106.618355",30975,506,27
1551021595,2019-02-24T15:19:55Z,UAL28,"3.032822,106.65229",31000,507,27
1551021641,2019-02-24T15:20:41Z,UAL28,"3.133152,106.704285",31000,506,27
1551028018,2019-02-24T17:06:58Z,UAL28,"12.561356,118.416138",32800,510,52
1551028104,2019-02-24T17:08:24Z,UAL28,"12.685089,118.581261",33925,513,52
1551028167,2019-02-24T17:09:27Z,UAL28,"12.774445,118.700737",34750,511,52
1551028230,2019-02-24T17:10:30Z,UAL28,"12.866455,118.82386",34975,510,52
1551028292,2019-02-24T17:11:32Z,UAL28,"12.954044,118.94117",34975,510,52
1551028353,2019-02-24T17:12:33Z,UAL28,"13.041687,119.057938",34975,508,52
1551028415,2019-02-24T17:13:35Z,UAL28,"13.13085,119.1754",34975,509,52
1551028475,2019-02-24T17:14:35Z,UAL28,"13.219346,119.292297",34975,509,52
1551028536,2019-02-24T17:15:36Z,UAL28,"13.30719,119.408508",34975,511,52
1551028598,2019-02-24T17:16:38Z,UAL28,"13.39595,119.526039",35000,512,52
1551028662,2019-02-24T17:17:42Z,UAL28,"13.488278,119.648483",35000,511,52
1551028722,2019-02-24T17:18:42Z,UAL28,"13.57663,119.765701",35000,512,52
1551028783,2019-02-24T17:19:43Z,UAL28,"13.665436,119.883804",35000,513,52
1551028844,2019-02-24T17:20:44Z,UAL28,"13.753952,120.001686",35000,514,52
1551028909,2019-02-24T17:21:49Z,UAL28,"13.847615,120.126869",34975,513,52
1551028970,2019-02-24T17:22:50Z,UAL28,"13.933914,120.246925",34975,513,53
1551029030,2019-02-24T17:23:50Z,UAL28,"14.019836,120.36702",35000,513,53
1551029093,2019-02-24T17:24:53Z,UAL28,"14.106079,120.487488",35000,513,53
1551029152,2019-02-24T17:25:52Z,UAL28,"14.191589,120.606949",35000,513,53
1551029215,2019-02-24T17:26:55Z,UAL28,"14.277832,120.727768",34975,513,53
1551029275,2019-02-24T17:27:55Z,UAL28,"14.363041,120.847198",35000,515,53
1551029335,2019-02-24T17:28:55Z,UAL28,"14.448944,120.967857",35000,515,53
1551029396,2019-02-24T17:29:56Z,UAL28,"14.540126,121.085236",34975,513,48
1551029459,2019-02-24T17:30:59Z,UAL28,"14.637405,121.19838",35000,512,48
1551029519,2019-02-24T17:31:59Z,UAL28,"14.733078,121.30999",35000,513,48
1551029581,2019-02-24T17:33:01Z,UAL28,"14.830399,121.423691",34975,514,48
1551029629,2019-02-24T17:33:49Z,UAL28,"14.906213,121.512321",35000,513,48
1551029718,2019-02-24T17:35:18Z,UAL28,"15.045916,121.675888",35000,514,48
1551029781,2019-02-24T17:36:21Z,UAL28,"15.145724,121.793106",35000,514,48
1551029845,2019-02-24T17:37:25Z,UAL28,"15.245579,121.910522",34975,515,48
1551029907,2019-02-24T17:38:27Z,UAL28,"15.342865,122.025002",35000,515,48
1551029946,2019-02-24T17:39:06Z,UAL28,"15.403061,122.095932",34975,515,48
1551030034,2019-02-24T17:40:34Z,UAL28,"15.542628,122.260765",35000,515,48
1551030094,2019-02-24T17:41:34Z,UAL28,"15.637573,122.373001",35000,515,48
1551030114,2019-02-24T17:41:54Z,UAL28,"15.666969,122.407753",34975,515,48
1551030201,2019-02-24T17:43:21Z,UAL28,"15.806168,122.572731",35000,514,48
1551030263,2019-02-24T17:44:23Z,UAL28,"15.901154,122.685631",35000,515,48
1551030324,2019-02-24T17:45:24Z,UAL28,"15.999026,122.802132",35000,513,49
1551030389,2019-02-24T17:46:29Z,UAL28,"16.09944,122.921806",35000,513,49
1551030443,2019-02-24T17:47:23Z,UAL28,"16.184601,123.023361",35000,513,49
1551030536,2019-02-24T17:48:56Z,UAL28,"16.328197,123.19519",35000,514,49
1551030598,2019-02-24T17:49:58Z,UAL28,"16.42424,123.310303",35000,521,49
1551047076,2019-02-24T22:24:36Z,UAL28,"35,169.96666",38000,586,143
1551047095,2019-02-24T22:24:55Z,UAL28,"35.005184,170.015015",38000,626,89
1551047639,2019-02-24T22:33:59Z,UAL28,"35.270943,171.969498",38000,627,138
1551048225,2019-02-24T22:43:45Z,UAL28,"35.507496,174.022141",38000,622,142
1551048790,2019-02-24T22:53:10Z,UAL28,"35.706463,176.01442",38000,620,137
1551049376,2019-02-24T23:02:56Z,UAL28,"35.866665,178.03334",38000,622,152
1551049939,2019-02-24T23:12:19Z,UAL28,"36,180",38000,607,141
1551050528,2019-02-24T23:22:08Z,UAL28,"36.283333,-177.916672",38000,604,119
1551051109,2019-02-24T23:31:49Z,UAL28,"36.516666,-175.933334",38000,603,141
1551051676,2019-02-24T23:41:16Z,UAL28,"36.704784,-173.956406",38000,595,134
1551052261,2019-02-24T23:51:01Z,UAL28,"36.872093,-171.990524",38000,589,144
1551052827,2019-02-25T00:00:27Z,UAL28,"37.005901,-170.065369",38000,602,139
1551052847,2019-02-25T00:00:47Z,UAL28,"37.005688,-169.998886",38000,570,89
1551053411,2019-02-25T00:10:11Z,UAL28,"37.238617,-168.173004",39000,562,130
1551053976,2019-02-25T00:19:36Z,UAL28,"37.465984,-166.304855",39000,560,109
1551054561,2019-02-25T00:29:21Z,UAL28,"37.671139,-164.410583",39000,561,111
1551055125,2019-02-25T00:38:45Z,UAL28,"37.838867,-162.556061",39000,550,86
1551055714,2019-02-25T00:48:34Z,UAL28,"37.959393,-160.748184",39000,544,113
1551055949,2019-02-25T00:52:29Z,UAL28,"38.004406,-160.002335",39000,536,85
1551056280,2019-02-25T00:58:00Z,UAL28,"38.042515,-158.9384",39000,549,87
1551056868,2019-02-25T01:07:48Z,UAL28,"38.088173,-157.096924",39000,533,20
1551057429,2019-02-25T01:17:09Z,UAL28,"38.105419,-155.291672",39000,537,101
