Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551192003,2019-02-26T14:40:03Z,UAL28,"1.361252,103.99868",500,193,23
1551192009,2019-02-26T14:40:09Z,UAL28,"1.366494,104.000893",775,195,22
1551192015,2019-02-26T14:40:15Z,UAL28,"1.371522,104.003021",1050,194,23
1551192022,2019-02-26T14:40:22Z,UAL28,"1.376541,104.005104",1375,190,22
1551192028,2019-02-26T14:40:28Z,UAL28,"1.383858,104.008087",1700,192,22
1551192035,2019-02-26T14:40:35Z,UAL28,"1.388992,104.010178",1800,198,22
1551192041,2019-02-26T14:40:41Z,UAL28,"1.394302,104.012268",1900,205,21
1551192049,2019-02-26T14:40:49Z,UAL28,"1.399453,104.014343",1950,212,21
1551192060,2019-02-26T14:41:00Z,UAL28,"1.411091,104.018982",2250,223,21
1551192067,2019-02-26T14:41:07Z,UAL28,"1.416412,104.021065",2450,222,21
1551192075,2019-02-26T14:41:15Z,UAL28,"1.425842,104.02475",2850,222,21
1551192081,2019-02-26T14:41:21Z,UAL28,"1.431342,104.026985",3050,223,22
1551192089,2019-02-26T14:41:29Z,UAL28,"1.44,104.031624",3325,226,32
1551192096,2019-02-26T14:41:36Z,UAL28,"1.444702,104.035599",3500,228,43
1551192107,2019-02-26T14:41:47Z,UAL28,"1.451569,104.046486",3850,231,61
1551192113,2019-02-26T14:41:53Z,UAL28,"1.453035,104.05175",3900,241,76
1551192120,2019-02-26T14:42:00Z,UAL28,"1.45372,104.059891",3975,253,87
1551192141,2019-02-26T14:42:21Z,UAL28,"1.452759,104.085686",4575,267,92
1551192150,2019-02-26T14:42:30Z,UAL28,"1.45229,104.096405",4950,267,92
1551192158,2019-02-26T14:42:38Z,UAL28,"1.452057,104.104362",5200,269,91
1551192168,2019-02-26T14:42:48Z,UAL28,"1.451797,104.11953",5600,273,90
1551192182,2019-02-26T14:43:02Z,UAL28,"1.451638,104.134338",6075,274,90
1551192192,2019-02-26T14:43:12Z,UAL28,"1.451523,104.149971",6525,277,91
1551192204,2019-02-26T14:43:24Z,UAL28,"1.450102,104.164742",6925,279,98
1551192214,2019-02-26T14:43:34Z,UAL28,"1.447169,104.175201",7250,280,109
1551192220,2019-02-26T14:43:40Z,UAL28,"1.443166,104.184204",7525,281,115
1551192228,2019-02-26T14:43:48Z,UAL28,"1.438138,104.194382",7775,285,115
1551192236,2019-02-26T14:43:56Z,UAL28,"1.433576,104.204613",8025,289,113
1551192253,2019-02-26T14:44:13Z,UAL28,"1.424789,104.223846",8525,293,115
1551192265,2019-02-26T14:44:25Z,UAL28,"1.417923,104.238373",8950,294,115
1551192276,2019-02-26T14:44:36Z,UAL28,"1.410998,104.252441",9375,294,116
1551192288,2019-02-26T14:44:48Z,UAL28,"1.403229,104.2677",9775,297,117
1551192301,2019-02-26T14:45:01Z,UAL28,"1.395403,104.282463",10200,298,117
1551192313,2019-02-26T14:45:13Z,UAL28,"1.38739,104.297356",10475,307,118
1551192326,2019-02-26T14:45:26Z,UAL28,"1.379059,104.312767",10550,321,118
1551192337,2019-02-26T14:45:37Z,UAL28,"1.370358,104.32901",10600,335,117
1551192349,2019-02-26T14:45:49Z,UAL28,"1.361281,104.346107",10675,347,117
1551192360,2019-02-26T14:46:00Z,UAL28,"1.351877,104.363441",10800,359,118
1551192372,2019-02-26T14:46:12Z,UAL28,"1.34238,104.381432",10875,370,116
1551192382,2019-02-26T14:46:22Z,UAL28,"1.336945,104.395905",10975,379,106
1551192390,2019-02-26T14:46:30Z,UAL28,"1.334653,104.406815",11050,384,100
1551192398,2019-02-26T14:46:38Z,UAL28,"1.333054,104.423096",11175,390,93
1551192405,2019-02-26T14:46:45Z,UAL28,"1.332275,104.438736",11350,396,92
1551192412,2019-02-26T14:46:52Z,UAL28,"1.332138,104.449768",11500,398,89
1551192421,2019-02-26T14:47:01Z,UAL28,"1.332687,104.467133",11750,401,87
1551192432,2019-02-26T14:47:12Z,UAL28,"1.333145,104.487152",12075,403,89
1551192467,2019-02-26T14:47:47Z,UAL28,"1.333832,104.551155",12975,410,89
1551192498,2019-02-26T14:48:18Z,UAL28,"1.334979,104.614372",13725,419,88
1551192532,2019-02-26T14:48:52Z,UAL28,"1.336395,104.678436",14475,426,88
1551192565,2019-02-26T14:49:25Z,UAL28,"1.337958,104.744316",15350,430,88
1551192599,2019-02-26T14:49:59Z,UAL28,"1.339494,104.811371",16000,439,88
1551192632,2019-02-26T14:50:32Z,UAL28,"1.341123,104.87899",16725,445,88
