Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551367609,2019-02-28T15:26:49Z,UAL28,"1.345418,103.990044",0,18,202
1551368038,2019-02-28T15:33:58Z,UAL28,"1.357315,103.997002",225,195,22
1551368050,2019-02-28T15:34:10Z,UAL28,"1.36734,104.001007",675,198,21
1551368063,2019-02-28T15:34:23Z,UAL28,"1.3779,104.00515",1250,197,21
1551368069,2019-02-28T15:34:29Z,UAL28,"1.382834,104.007095",1450,197,22
1551368081,2019-02-28T15:34:41Z,UAL28,"1.393634,104.011497",1600,211,22
1551368088,2019-02-28T15:34:48Z,UAL28,"1.399127,104.01387",1700,216,23
1551368094,2019-02-28T15:34:54Z,UAL28,"1.406483,104.017509",1850,223,28
1551368100,2019-02-28T15:35:00Z,UAL28,"1.412659,104.021538",2125,222,34
1551368108,2019-02-28T15:35:08Z,UAL28,"1.417328,104.025162",2375,221,39
1551368116,2019-02-28T15:35:16Z,UAL28,"1.424173,104.031769",2725,222,47
1551368124,2019-02-28T15:35:24Z,UAL28,"1.428176,104.036552",2875,226,51
1551368132,2019-02-28T15:35:32Z,UAL28,"1.433669,104.044601",2975,239,60
1551368141,2019-02-28T15:35:41Z,UAL28,"1.437068,104.05426",3050,251,75
1551368167,2019-02-28T15:36:07Z,UAL28,"1.430783,104.087173",3800,274,110
1551368176,2019-02-28T15:36:16Z,UAL28,"1.426873,104.097687",4100,277,110
1551368184,2019-02-28T15:36:24Z,UAL28,"1.422636,104.109192",4375,283,110
1551368192,2019-02-28T15:36:32Z,UAL28,"1.42003,104.116341",4575,284,109
1551368204,2019-02-28T15:36:44Z,UAL28,"1.414948,104.131721",5075,285,107
1551368216,2019-02-28T15:36:56Z,UAL28,"1.410207,104.146652",5525,284,107
1551368227,2019-02-28T15:37:07Z,UAL28,"1.405505,104.161659",6025,282,107
1551368241,2019-02-28T15:37:21Z,UAL28,"1.400757,104.176743",6475,284,107
1551368253,2019-02-28T15:37:33Z,UAL28,"1.395962,104.192444",6800,290,106
1551368265,2019-02-28T15:37:45Z,UAL28,"1.391307,104.207596",7075,298,106
1551368276,2019-02-28T15:37:56Z,UAL28,"1.3862,104.224174",7275,309,107
1551368287,2019-02-28T15:38:07Z,UAL28,"1.380926,104.240791",7500,319,107
1551368302,2019-02-28T15:38:22Z,UAL28,"1.375443,104.25779",7975,319,107
1551368314,2019-02-28T15:38:34Z,UAL28,"1.370079,104.274605",8375,321,107
1551368323,2019-02-28T15:38:43Z,UAL28,"1.364865,104.291412",8775,324,107
1551368337,2019-02-28T15:38:57Z,UAL28,"1.359325,104.309174",9250,324,107
1551368348,2019-02-28T15:39:08Z,UAL28,"1.353972,104.3265",9525,330,107
1551368360,2019-02-28T15:39:20Z,UAL28,"1.348572,104.343788",9925,332,107
1551368372,2019-02-28T15:39:32Z,UAL28,"1.343265,104.361069",10150,340,106
1551368385,2019-02-28T15:39:45Z,UAL28,"1.337311,104.38092",10250,353,106
1551368397,2019-02-28T15:39:57Z,UAL28,"1.333008,104.399261",10350,361,100
1551368404,2019-02-28T15:40:04Z,UAL28,"1.331068,104.415154",10475,366,95
1551368411,2019-02-28T15:40:11Z,UAL28,"1.330603,104.425049",10600,370,92
1551368436,2019-02-28T15:40:36Z,UAL28,"1.331534,104.467194",11000,384,88
1551368446,2019-02-28T15:40:46Z,UAL28,"1.332092,104.487053",11250,389,88
1551368459,2019-02-28T15:40:59Z,UAL28,"1.332651,104.510857",11450,397,88
1551368472,2019-02-28T15:41:12Z,UAL28,"1.333282,104.532814",11675,402,88
1551368484,2019-02-28T15:41:24Z,UAL28,"1.334001,104.555794",12000,405,88
1551368517,2019-02-28T15:41:57Z,UAL28,"1.335663,104.618843",12650,419,88
1551368552,2019-02-28T15:42:32Z,UAL28,"1.337128,104.683464",13575,424,88
1551368583,2019-02-28T15:43:03Z,UAL28,"1.338409,104.748863",14525,427,88
1551368616,2019-02-28T15:43:36Z,UAL28,"1.339867,104.814255",15450,429,88
1551368649,2019-02-28T15:44:09Z,UAL28,"1.341339,104.879723",16075,438,88
1551368682,2019-02-28T15:44:42Z,UAL28,"1.34317,104.946388",16900,440,88
1551368715,2019-02-28T15:45:15Z,UAL28,"1.344635,105.013611",17700,443,88
1551368750,2019-02-28T15:45:50Z,UAL28,"1.346524,105.083946",18400,449,88
1551368808,2019-02-28T15:46:48Z,UAL28,"1.34941,105.209625",19550,458,88
1551368886,2019-02-28T15:48:06Z,UAL28,"1.352994,105.372711",21050,465,88
1551368929,2019-02-28T15:48:49Z,UAL28,"1.355484,105.468048",21750,469,88
1551368969,2019-02-28T15:49:29Z,UAL28,"1.361847,105.554642",22350,476,76
1551368975,2019-02-28T15:49:35Z,UAL28,"1.365889,105.567482",22450,478,71
1551368981,2019-02-28T15:49:41Z,UAL28,"1.371196,105.580132",22525,480,66
1551368991,2019-02-28T15:49:51Z,UAL28,"1.381345,105.597931",22650,483,57
1551368999,2019-02-28T15:49:59Z,UAL28,"1.393215,105.613136",22775,484,53
1551369007,2019-02-28T15:50:07Z,UAL28,"1.403783,105.62365",22850,488,43
1551369015,2019-02-28T15:50:15Z,UAL28,"1.419983,105.6362",22950,491,35
1551369023,2019-02-28T15:50:23Z,UAL28,"1.436691,105.647743",23075,493,34
1551369029,2019-02-28T15:50:29Z,UAL28,"1.447449,105.655136",23150,493,34
1551369095,2019-02-28T15:51:35Z,UAL28,"1.572647,105.739357",24125,501,33
1551369442,2019-02-28T15:57:22Z,UAL28,"2.235901,106.188171",29525,487,34
