Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549134159,2019-02-02T19:02:39Z,UAL29,"37.617584,-122.389709",0,0,180
1549134308,2019-02-02T19:05:08Z,UAL29,"37.617622,-122.389671",0,0,34
1549134388,2019-02-02T19:06:28Z,UAL29,"37.617607,-122.389694",0,0,255
1549134532,2019-02-02T19:08:52Z,UAL29,"37.61784,-122.389534",0,9,180
1549134551,2019-02-02T19:09:11Z,UAL29,"37.618046,-122.389435",0,10,163
1549134580,2019-02-02T19:09:40Z,UAL29,"37.618412,-122.389465",0,10,143
1549134619,2019-02-02T19:10:19Z,UAL29,"37.618881,-122.389786",0,10,196
1549134741,2019-02-02T19:12:21Z,UAL29,"37.619514,-122.390007",0,15,281
1549134754,2019-02-02T19:12:34Z,UAL29,"37.619656,-122.390335",0,14,284
1549134770,2019-02-02T19:12:50Z,UAL29,"37.619797,-122.390663",0,13,284
1549134783,2019-02-02T19:13:03Z,UAL29,"37.619923,-122.390976",0,14,284
1549134810,2019-02-02T19:13:30Z,UAL29,"37.620026,-122.39122",0,0,315
1549135121,2019-02-02T19:18:41Z,UAL29,"37.62014,-122.391495",0,10,284
1549135136,2019-02-02T19:18:56Z,UAL29,"37.620312,-122.391876",0,16,286
1549135147,2019-02-02T19:19:07Z,UAL29,"37.620541,-122.392052",0,14,312
1549135161,2019-02-02T19:19:21Z,UAL29,"37.620785,-122.392006",0,13,348
1549135175,2019-02-02T19:19:35Z,UAL29,"37.621109,-122.391815",0,15,8
1549135190,2019-02-02T19:19:50Z,UAL29,"37.621387,-122.391655",0,12,11
1549135253,2019-02-02T19:20:53Z,UAL29,"37.621643,-122.391472",0,10,14
1549135265,2019-02-02T19:21:05Z,UAL29,"37.621902,-122.391296",0,19,14
1549135278,2019-02-02T19:21:18Z,UAL29,"37.622261,-122.390923",0,22,33
1549135287,2019-02-02T19:21:27Z,UAL29,"37.622391,-122.390472",0,23,53
1549135295,2019-02-02T19:21:35Z,UAL29,"37.622601,-122.390045",0,23,39
1549135306,2019-02-02T19:21:46Z,UAL29,"37.622948,-122.389893",0,23,2
1549135318,2019-02-02T19:21:58Z,UAL29,"37.62339,-122.390266",0,26,306
1549135324,2019-02-02T19:22:04Z,UAL29,"37.623779,-122.390518",0,24,323
1549135333,2019-02-02T19:22:13Z,UAL29,"37.624008,-122.390678",0,22,315
1549135341,2019-02-02T19:22:21Z,UAL29,"37.624195,-122.391037",0,22,289
1549135349,2019-02-02T19:22:29Z,UAL29,"37.624367,-122.391441",0,21,284
1549135355,2019-02-02T19:22:35Z,UAL29,"37.624462,-122.391693",0,20,281
1549135361,2019-02-02T19:22:41Z,UAL29,"37.624557,-122.39193",0,18,281
1549135373,2019-02-02T19:22:53Z,UAL29,"37.624706,-122.392311",0,16,284
1549135385,2019-02-02T19:23:05Z,UAL29,"37.624844,-122.392624",0,13,284
1549135404,2019-02-02T19:23:24Z,UAL29,"37.624935,-122.392838",0,2,284
1549135484,2019-02-02T19:24:44Z,UAL29,"37.625027,-122.393059",0,14,284
1549135491,2019-02-02T19:24:51Z,UAL29,"37.625114,-122.393265",0,18,284
1549135501,2019-02-02T19:25:01Z,UAL29,"37.625256,-122.39357",0,17,284
1549135512,2019-02-02T19:25:12Z,UAL29,"37.625439,-122.393936",0,17,286
1549135519,2019-02-02T19:25:19Z,UAL29,"37.625542,-122.39415",0,20,289
1549135526,2019-02-02T19:25:26Z,UAL29,"37.625729,-122.394485",0,21,289
1549135536,2019-02-02T19:25:36Z,UAL29,"37.625988,-122.394913",0,21,292
1549135545,2019-02-02T19:25:45Z,UAL29,"37.626194,-122.395142",0,19,300
1549135554,2019-02-02T19:25:54Z,UAL29,"37.626427,-122.395401",0,20,303
1549135565,2019-02-02T19:26:05Z,UAL29,"37.626823,-122.39579",0,23,306
1549135571,2019-02-02T19:26:11Z,UAL29,"37.62701,-122.395996",0,22,306
1549135580,2019-02-02T19:26:20Z,UAL29,"37.627281,-122.396255",0,20,306
1549135596,2019-02-02T19:26:36Z,UAL29,"37.627647,-122.396576",0,15,315
1549135604,2019-02-02T19:26:44Z,UAL29,"37.627861,-122.396637",0,17,329
1549135613,2019-02-02T19:26:53Z,UAL29,"37.628117,-122.396637",0,19,340
1549135619,2019-02-02T19:26:59Z,UAL29,"37.628372,-122.396637",0,20,345
1549135629,2019-02-02T19:27:09Z,UAL29,"37.628731,-122.396622",0,21,345
1549135637,2019-02-02T19:27:17Z,UAL29,"37.628952,-122.396622",0,15,345
1549135652,2019-02-02T19:27:32Z,UAL29,"37.62928,-122.396606",0,15,348
1549135662,2019-02-02T19:27:42Z,UAL29,"37.629581,-122.396576",0,16,351
1549135670,2019-02-02T19:27:50Z,UAL29,"37.629803,-122.396515",0,15,357
1549135683,2019-02-02T19:28:03Z,UAL29,"37.630035,-122.396385",0,13,8
1549135699,2019-02-02T19:28:19Z,UAL29,"37.630257,-122.396187",0,13,19
1549135712,2019-02-02T19:28:32Z,UAL29,"37.630398,-122.39595",0,14,33
1549135721,2019-02-02T19:28:41Z,UAL29,"37.630508,-122.395645",0,18,47
1549135727,2019-02-02T19:28:47Z,UAL29,"37.630558,-122.395416",0,19,59
1549135734,2019-02-02T19:28:54Z,UAL29,"37.630566,-122.395058",0,19,70
1549135740,2019-02-02T19:29:00Z,UAL29,"37.630569,-122.394798",0,16,73
1549135749,2019-02-02T19:29:09Z,UAL29,"37.630558,-122.394592",0,14,78
1549135759,2019-02-02T19:29:19Z,UAL29,"37.630501,-122.394295",0,14,87
1549135774,2019-02-02T19:29:34Z,UAL29,"37.630409,-122.393951",0,11,92
1549135788,2019-02-02T19:29:48Z,UAL29,"37.630245,-122.39373",0,12,115
1549135806,2019-02-02T19:30:06Z,UAL29,"37.630039,-122.393616",0,2,135
1549136050,2019-02-02T19:34:10Z,UAL29,"37.629707,-122.393425",0,17,140
1549136058,2019-02-02T19:34:18Z,UAL29,"37.629444,-122.393265",0,19,140
1549136071,2019-02-02T19:34:31Z,UAL29,"37.62907,-122.393082",0,17,146
1549136079,2019-02-02T19:34:39Z,UAL29,"37.628803,-122.393089",0,17,160
1549136092,2019-02-02T19:34:52Z,UAL29,"37.62854,-122.392937",0,14,140
1549136104,2019-02-02T19:35:04Z,UAL29,"37.628429,-122.39267",0,12,112
1549136207,2019-02-02T19:36:47Z,UAL29,"37.628349,-122.392441",0,13,104
1549136213,2019-02-02T19:36:53Z,UAL29,"37.628105,-122.391846",0,27,104
1549136225,2019-02-02T19:37:05Z,UAL29,"37.626606,-122.388283",0,78,104
1549136233,2019-02-02T19:37:13Z,UAL29,"37.624603,-122.38343",400,114,117
1549136240,2019-02-02T19:37:20Z,UAL29,"37.622913,-122.379517",400,129,118
1549136246,2019-02-02T19:37:26Z,UAL29,"37.621006,-122.374855",375,153,117
1549136255,2019-02-02T19:37:35Z,UAL29,"37.617744,-122.367035",475,176,117
1549136262,2019-02-02T19:37:42Z,UAL29,"37.615448,-122.361458",675,177,117
1549136272,2019-02-02T19:37:52Z,UAL29,"37.610764,-122.35038",1225,178,116
1549136281,2019-02-02T19:38:01Z,UAL29,"37.60881,-122.344215",1500,182,109
1549136288,2019-02-02T19:38:08Z,UAL29,"37.607552,-122.334732",1875,188,96
1549136296,2019-02-02T19:38:16Z,UAL29,"37.60704,-122.32811",2100,189,96
1549136303,2019-02-02T19:38:23Z,UAL29,"37.60556,-122.318619",2425,186,103
1549136309,2019-02-02T19:38:29Z,UAL29,"37.604187,-122.31237",2600,186,106
1549136315,2019-02-02T19:38:35Z,UAL29,"37.602631,-122.305649",2775,188,106
1549136323,2019-02-02T19:38:43Z,UAL29,"37.601219,-122.299629",2925,189,106
1549136330,2019-02-02T19:38:50Z,UAL29,"37.598328,-122.290161",3200,184,117
1549136336,2019-02-02T19:38:56Z,UAL29,"37.595535,-122.285194",3400,179,128
1549136343,2019-02-02T19:39:03Z,UAL29,"37.591599,-122.28093",3575,173,145
1549136351,2019-02-02T19:39:11Z,UAL29,"37.585098,-122.276779",3750,177,156
1549136357,2019-02-02T19:39:17Z,UAL29,"37.580383,-122.274498",3850,183,159
1549136363,2019-02-02T19:39:23Z,UAL29,"37.575439,-122.272224",3900,191,160
1549136369,2019-02-02T19:39:29Z,UAL29,"37.570496,-122.270004",4000,197,160
1549136375,2019-02-02T19:39:35Z,UAL29,"37.565327,-122.267738",4125,200,160
1549136381,2019-02-02T19:39:41Z,UAL29,"37.559921,-122.265266",4225,207,160
