Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549739108,2019-02-09T19:05:08Z,UAL29,"37.618172,-122.391212",0,0,246
1549739566,2019-02-09T19:12:46Z,UAL29,"37.618195,-122.39119",0,0,311
1549739645,2019-02-09T19:14:05Z,UAL29,"37.61821,-122.391144",0,0,49
1549739802,2019-02-09T19:16:42Z,UAL29,"37.618195,-122.39119",0,0,49
1549739955,2019-02-09T19:19:15Z,UAL29,"37.618195,-122.391159",0,0,180
1549740163,2019-02-09T19:22:43Z,UAL29,"37.618198,-122.391174",0,0,180
1549740464,2019-02-09T19:27:44Z,UAL29,"37.618206,-122.391144",0,0,89
1549740627,2019-02-09T19:30:27Z,UAL29,"37.618206,-122.391159",0,0,30
1549740724,2019-02-09T19:32:04Z,UAL29,"37.618572,-122.390923",0,12,210
1549740745,2019-02-09T19:32:25Z,UAL29,"37.618801,-122.390694",0,11,233
1549740867,2019-02-09T19:34:27Z,UAL29,"37.619316,-122.391365",0,10,284
1549741164,2019-02-09T19:39:24Z,UAL29,"37.619469,-122.391724",0,9,284
1549741176,2019-02-09T19:39:36Z,UAL29,"37.619556,-122.391945",0,14,284
1549741184,2019-02-09T19:39:44Z,UAL29,"37.619659,-122.392181",0,17,284
1549741215,2019-02-09T19:40:15Z,UAL29,"37.619816,-122.392441",0,13,295
1549741227,2019-02-09T19:40:27Z,UAL29,"37.620117,-122.392426",0,17,343
1549741237,2019-02-09T19:40:37Z,UAL29,"37.620369,-122.392296",0,17,5
1549741249,2019-02-09T19:40:49Z,UAL29,"37.620712,-122.39209",0,18,11
1549741257,2019-02-09T19:40:57Z,UAL29,"37.620956,-122.391937",0,20,14
1549741268,2019-02-09T19:41:08Z,UAL29,"37.62133,-122.391678",0,21,14
1549741276,2019-02-09T19:41:16Z,UAL29,"37.621586,-122.391518",0,22,14
1549741283,2019-02-09T19:41:23Z,UAL29,"37.621811,-122.391365",0,23,14
1549741295,2019-02-09T19:41:35Z,UAL29,"37.622269,-122.390938",0,24,30
1549741304,2019-02-09T19:41:44Z,UAL29,"37.622402,-122.390457",0,25,56
1549741311,2019-02-09T19:41:51Z,UAL29,"37.62254,-122.389923",0,25,59
1549741318,2019-02-09T19:41:58Z,UAL29,"37.622623,-122.38958",0,26,59
1549741324,2019-02-09T19:42:04Z,UAL29,"37.622646,-122.389198",0,27,73
1549741333,2019-02-09T19:42:13Z,UAL29,"37.622448,-122.388664",0,27,101
1549741339,2019-02-09T19:42:19Z,UAL29,"37.622295,-122.388306",0,27,104
1549741347,2019-02-09T19:42:27Z,UAL29,"37.622074,-122.387772",0,28,104
1549741355,2019-02-09T19:42:35Z,UAL29,"37.621914,-122.38739",0,29,104
1549741362,2019-02-09T19:42:42Z,UAL29,"37.621674,-122.386818",0,29,104
1549741370,2019-02-09T19:42:50Z,UAL29,"37.621517,-122.386429",0,29,104
1549741381,2019-02-09T19:43:01Z,UAL29,"37.621181,-122.385651",0,30,104
1549741390,2019-02-09T19:43:10Z,UAL29,"37.620941,-122.385048",0,29,104
1549741399,2019-02-09T19:43:19Z,UAL29,"37.620701,-122.384499",0,30,104
1549741405,2019-02-09T19:43:25Z,UAL29,"37.620529,-122.384087",0,30,104
1549741411,2019-02-09T19:43:31Z,UAL29,"37.620388,-122.383751",0,30,104
1549741417,2019-02-09T19:43:37Z,UAL29,"37.620201,-122.383308",0,30,104
1549741423,2019-02-09T19:43:43Z,UAL29,"37.620026,-122.382874",0,31,104
1549741429,2019-02-09T19:43:49Z,UAL29,"37.619854,-122.382469",0,31,104
1549741435,2019-02-09T19:43:55Z,UAL29,"37.61969,-122.38208",0,30,104
1549741446,2019-02-09T19:44:06Z,UAL29,"37.61935,-122.381294",0,31,104
1549741455,2019-02-09T19:44:15Z,UAL29,"37.619179,-122.380859",0,30,104
1549741461,2019-02-09T19:44:21Z,UAL29,"37.618946,-122.380295",0,29,104
1549741467,2019-02-09T19:44:27Z,UAL29,"37.618801,-122.379951",0,28,104
1549741473,2019-02-09T19:44:33Z,UAL29,"37.618641,-122.379578",0,29,104
1549741480,2019-02-09T19:44:40Z,UAL29,"37.618458,-122.37912",0,30,104
1549741487,2019-02-09T19:44:47Z,UAL29,"37.618317,-122.378723",0,31,98
1549741500,2019-02-09T19:45:00Z,UAL29,"37.618034,-122.377808",0,33,95
1549741506,2019-02-09T19:45:06Z,UAL29,"37.617874,-122.377319",0,15,98
1549741512,2019-02-09T19:45:12Z,UAL29,"37.617722,-122.376816",0,15,98
1549741526,2019-02-09T19:45:26Z,UAL29,"37.61734,-122.375557",0,16,95
1549741533,2019-02-09T19:45:33Z,UAL29,"37.617153,-122.375023",0,16,101
1549741539,2019-02-09T19:45:39Z,UAL29,"37.616943,-122.374496",0,16,104
1549741545,2019-02-09T19:45:45Z,UAL29,"37.61673,-122.373993",0,16,104
1549741551,2019-02-09T19:45:51Z,UAL29,"37.616512,-122.373466",0,17,104
1549741558,2019-02-09T19:45:58Z,UAL29,"37.61618,-122.372665",0,16,104
1549741564,2019-02-09T19:46:04Z,UAL29,"37.615963,-122.372177",0,16,104
1549741576,2019-02-09T19:46:16Z,UAL29,"37.615582,-122.371277",0,31,104
1549741587,2019-02-09T19:46:27Z,UAL29,"37.615265,-122.370514",0,31,104
1549741596,2019-02-09T19:46:36Z,UAL29,"37.61507,-122.370033",0,32,104
1549741606,2019-02-09T19:46:46Z,UAL29,"37.614727,-122.369331",0,25,109
1549741617,2019-02-09T19:46:57Z,UAL29,"37.614441,-122.368904",0,25,118
1549741626,2019-02-09T19:47:06Z,UAL29,"37.614151,-122.368515",0,26,118
1549741633,2019-02-09T19:47:13Z,UAL29,"37.613846,-122.368095",0,24,118
1549741640,2019-02-09T19:47:20Z,UAL29,"37.613708,-122.367859",0,18,112
1549741652,2019-02-09T19:47:32Z,UAL29,"37.613525,-122.367493",0,18,106
1549741660,2019-02-09T19:47:40Z,UAL29,"37.613411,-122.36718",0,17,104
1549741671,2019-02-09T19:47:51Z,UAL29,"37.613243,-122.366798",0,18,104
1549741678,2019-02-09T19:47:58Z,UAL29,"37.613136,-122.366562",0,17,104
1549741689,2019-02-09T19:48:09Z,UAL29,"37.612999,-122.366219",0,16,104
1549741703,2019-02-09T19:48:23Z,UAL29,"37.612839,-122.365852",0,15,104
