Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550085122,2019-02-13T19:12:02Z,UAL29,"37.617165,-122.390869",0,0,180
1550085688,2019-02-13T19:21:28Z,UAL29,"37.617165,-122.390854",0,0,142
1550085849,2019-02-13T19:24:09Z,UAL29,"37.617165,-122.390869",0,0,165
1550085978,2019-02-13T19:26:18Z,UAL29,"37.617176,-122.390877",0,0,305
1550086099,2019-02-13T19:28:19Z,UAL29,"37.617165,-122.390877",0,0,89
1550086790,2019-02-13T19:39:50Z,UAL29,"37.617176,-122.390892",0,0,222
1550088193,2019-02-13T20:03:13Z,UAL29,"37.617153,-122.390877",0,0,318
1550088303,2019-02-13T20:05:03Z,UAL29,"37.617142,-122.390862",0,0,174
1550089224,2019-02-13T20:20:24Z,UAL29,"37.617199,-122.390877",0,0,180
1550089394,2019-02-13T20:23:14Z,UAL29,"37.617142,-122.390892",0,0,200
1550089999,2019-02-13T20:33:19Z,UAL29,"37.617004,-122.391045",0,2,39
1550090048,2019-02-13T20:34:08Z,UAL29,"37.616837,-122.391296",0,2,59
1550090079,2019-02-13T20:34:39Z,UAL29,"37.616764,-122.391541",0,2,75
1550090104,2019-02-13T20:35:04Z,UAL29,"37.616768,-122.391769",0,2,75
1550090125,2019-02-13T20:35:25Z,UAL29,"37.616776,-122.391991",0,9,75
1550090143,2019-02-13T20:35:43Z,UAL29,"37.616798,-122.392197",0,2,61
1550090162,2019-02-13T20:36:02Z,UAL29,"37.616776,-122.392403",0,2,47
1550090198,2019-02-13T20:36:38Z,UAL29,"37.616684,-122.392708",0,2,30
1550090264,2019-02-13T20:37:44Z,UAL29,"37.616558,-122.392868",0,2,30
1550090325,2019-02-13T20:38:45Z,UAL29,"37.616764,-122.392776",0,2,5
1550090361,2019-02-13T20:39:21Z,UAL29,"37.61697,-122.392929",0,2,329
1550090395,2019-02-13T20:39:55Z,UAL29,"37.617119,-122.393204",0,9,298
1550090424,2019-02-13T20:40:24Z,UAL29,"37.61729,-122.393616",0,9,284
1550090447,2019-02-13T20:40:47Z,UAL29,"37.61742,-122.39389",0,10,284
1550090467,2019-02-13T20:41:07Z,UAL29,"37.617554,-122.394211",0,11,284
1550090487,2019-02-13T20:41:27Z,UAL29,"37.617653,-122.39444",0,0,271
1550090638,2019-02-13T20:43:58Z,UAL29,"37.617645,-122.394447",0,0,222
1550090703,2019-02-13T20:45:03Z,UAL29,"37.61776,-122.394707",0,14,284
1550090713,2019-02-13T20:45:13Z,UAL29,"37.617943,-122.394966",0,18,295
1550090723,2019-02-13T20:45:23Z,UAL29,"37.618305,-122.395111",0,21,323
1550090733,2019-02-13T20:45:33Z,UAL29,"37.618725,-122.395294",0,25,329
1550090748,2019-02-13T20:45:48Z,UAL29,"37.619411,-122.395187",0,26,5
1550090755,2019-02-13T20:45:55Z,UAL29,"37.619694,-122.394821",0,21,36
1550090769,2019-02-13T20:46:09Z,UAL29,"37.619831,-122.394356",0,16,56
1550090780,2019-02-13T20:46:20Z,UAL29,"37.619923,-122.393936",0,15,59
1550090795,2019-02-13T20:46:35Z,UAL29,"37.620026,-122.393623",0,12,53
1550090806,2019-02-13T20:46:46Z,UAL29,"37.620255,-122.39344",0,15,25
1550090819,2019-02-13T20:46:59Z,UAL29,"37.620491,-122.39328",0,18,16
1550090829,2019-02-13T20:47:09Z,UAL29,"37.620872,-122.393028",0,21,14
1550090849,2019-02-13T20:47:29Z,UAL29,"37.621651,-122.392517",0,23,14
1550090855,2019-02-13T20:47:35Z,UAL29,"37.621876,-122.392365",0,23,14
1550090861,2019-02-13T20:47:41Z,UAL29,"37.622112,-122.39222",0,20,14
1550090873,2019-02-13T20:47:53Z,UAL29,"37.622406,-122.392021",0,17,14
1550090885,2019-02-13T20:48:05Z,UAL29,"37.622646,-122.39183",0,13,16
