Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550430083,2019-02-17T19:01:23Z,UAL29,"37.618198,-122.391159",0,0,194
1550430175,2019-02-17T19:02:55Z,UAL29,"37.618595,-122.390923",0,2,199
1550430227,2019-02-17T19:03:47Z,UAL29,"37.618912,-122.390663",0,2,244
1550430326,2019-02-17T19:05:26Z,UAL29,"37.618961,-122.390503",0,0,71
1550430413,2019-02-17T19:06:53Z,UAL29,"37.618904,-122.390762",0,2,244
1550430590,2019-02-17T19:09:50Z,UAL29,"37.618893,-122.390793",0,0,197
1550430763,2019-02-17T19:12:43Z,UAL29,"37.619122,-122.390892",0,10,278
1550430786,2019-02-17T19:13:06Z,UAL29,"37.619259,-122.391205",0,10,284
1550431090,2019-02-17T19:18:10Z,UAL29,"37.619411,-122.391563",0,2,284
1550431115,2019-02-17T19:18:35Z,UAL29,"37.619514,-122.391815",0,2,284
1550431331,2019-02-17T19:22:11Z,UAL29,"37.619633,-122.392097",0,12,284
1550431347,2019-02-17T19:22:27Z,UAL29,"37.61982,-122.392471",0,15,289
1550431359,2019-02-17T19:22:39Z,UAL29,"37.620132,-122.392426",0,15,348
1550431373,2019-02-17T19:22:53Z,UAL29,"37.620434,-122.392265",0,16,8
1550431383,2019-02-17T19:23:03Z,UAL29,"37.620701,-122.392082",0,17,11
1550431390,2019-02-17T19:23:10Z,UAL29,"37.620945,-122.391937",0,18,11
1550431403,2019-02-17T19:23:23Z,UAL29,"37.621284,-122.391716",0,19,14
1550431415,2019-02-17T19:23:35Z,UAL29,"37.621628,-122.391479",0,19,14
1550431421,2019-02-17T19:23:41Z,UAL29,"37.621853,-122.391335",0,21,14
1550431436,2019-02-17T19:23:56Z,UAL29,"37.622269,-122.390968",0,19,28
1550431442,2019-02-17T19:24:02Z,UAL29,"37.622356,-122.390678",0,19,47
1550431449,2019-02-17T19:24:09Z,UAL29,"37.622402,-122.390457",0,18,56
1550431458,2019-02-17T19:24:18Z,UAL29,"37.622494,-122.390114",0,18,59
1550431464,2019-02-17T19:24:24Z,UAL29,"37.622551,-122.389877",0,17,59
1550431472,2019-02-17T19:24:32Z,UAL29,"37.622623,-122.38958",0,17,59
1550431482,2019-02-17T19:24:42Z,UAL29,"37.622658,-122.38929",0,15,67
1550431491,2019-02-17T19:24:51Z,UAL29,"37.622589,-122.389023",0,15,87
1550431501,2019-02-17T19:25:01Z,UAL29,"37.622498,-122.388794",0,13,98
1550431509,2019-02-17T19:25:09Z,UAL29,"37.622406,-122.388573",0,13,101
1550431524,2019-02-17T19:25:24Z,UAL29,"37.622292,-122.388283",0,11,104
1550431541,2019-02-17T19:25:41Z,UAL29,"37.622192,-122.388039",0,10,104
1550431568,2019-02-17T19:26:08Z,UAL29,"37.622074,-122.387772",0,9,104
1550431587,2019-02-17T19:26:27Z,UAL29,"37.621948,-122.387444",0,11,104
1550431598,2019-02-17T19:26:38Z,UAL29,"37.621841,-122.387199",0,13,104
1550431613,2019-02-17T19:26:53Z,UAL29,"37.621719,-122.386925",0,14,104
1550431625,2019-02-17T19:27:05Z,UAL29,"37.621593,-122.386627",0,14,104
1550431635,2019-02-17T19:27:15Z,UAL29,"37.621468,-122.386337",0,14,104
1550431648,2019-02-17T19:27:28Z,UAL29,"37.621319,-122.385979",0,16,104
1550431661,2019-02-17T19:27:41Z,UAL29,"37.621155,-122.38559",0,17,104
1550431671,2019-02-17T19:27:51Z,UAL29,"37.620995,-122.385185",0,17,104
1550431685,2019-02-17T19:28:05Z,UAL29,"37.620819,-122.384773",0,17,104
1550431696,2019-02-17T19:28:16Z,UAL29,"37.620644,-122.384369",0,18,104
1550431707,2019-02-17T19:28:27Z,UAL29,"37.620468,-122.383949",0,17,104
1550431716,2019-02-17T19:28:36Z,UAL29,"37.620342,-122.383652",0,17,104
1550431727,2019-02-17T19:28:47Z,UAL29,"37.620186,-122.38327",0,16,104
1550431739,2019-02-17T19:28:59Z,UAL29,"37.620037,-122.382919",0,18,104
1550431748,2019-02-17T19:29:08Z,UAL29,"37.619946,-122.382698",0,14,104
1550431761,2019-02-17T19:29:21Z,UAL29,"37.619804,-122.38237",0,14,104
1550431775,2019-02-17T19:29:35Z,UAL29,"37.619682,-122.382057",0,15,104
1550431784,2019-02-17T19:29:44Z,UAL29,"37.619549,-122.381752",0,16,104
1550431796,2019-02-17T19:29:56Z,UAL29,"37.619396,-122.381371",0,16,104
1550431809,2019-02-17T19:30:09Z,UAL29,"37.619225,-122.380981",0,18,104
1550431817,2019-02-17T19:30:17Z,UAL29,"37.619133,-122.380753",0,18,104
1550431828,2019-02-17T19:30:28Z,UAL29,"37.618984,-122.380402",0,15,104
1550431843,2019-02-17T19:30:43Z,UAL29,"37.618824,-122.380013",0,15,104
1550431854,2019-02-17T19:30:54Z,UAL29,"37.618664,-122.379662",0,17,104
1550431862,2019-02-17T19:31:02Z,UAL29,"37.618526,-122.379333",0,19,104
1550431872,2019-02-17T19:31:12Z,UAL29,"37.618389,-122.378975",0,20,101
1550431878,2019-02-17T19:31:18Z,UAL29,"37.618305,-122.378738",0,20,98
1550431884,2019-02-17T19:31:24Z,UAL29,"37.61824,-122.378494",0,19,98
1550431892,2019-02-17T19:31:32Z,UAL29,"37.618164,-122.378273",0,16,98
1550431902,2019-02-17T19:31:42Z,UAL29,"37.618084,-122.377991",0,11,95
1550431921,2019-02-17T19:32:01Z,UAL29,"37.618015,-122.377785",0,2,95
1550431945,2019-02-17T19:32:25Z,UAL29,"37.617931,-122.37751",0,13,95
1550431956,2019-02-17T19:32:36Z,UAL29,"37.617817,-122.377144",0,18,95
1550431964,2019-02-17T19:32:44Z,UAL29,"37.617744,-122.3769",0,20,95
1550431971,2019-02-17T19:32:51Z,UAL29,"37.617622,-122.376503",0,20,95
1550431977,2019-02-17T19:32:57Z,UAL29,"37.617554,-122.376259",0,20,95
1550431984,2019-02-17T19:33:04Z,UAL29,"37.617455,-122.375977",0,22,95
1550431994,2019-02-17T19:33:14Z,UAL29,"37.617336,-122.375557",0,13,95
1550432014,2019-02-17T19:33:34Z,UAL29,"37.617256,-122.37532",0,2,98
1550432045,2019-02-17T19:34:05Z,UAL29,"37.617188,-122.375114",0,9,98
1550432063,2019-02-17T19:34:23Z,UAL29,"37.617069,-122.374825",0,11,101
1550432075,2019-02-17T19:34:35Z,UAL29,"37.616924,-122.374474",0,22,104
1550432081,2019-02-17T19:34:41Z,UAL29,"37.616787,-122.374138",0,26,104
1550432093,2019-02-17T19:34:53Z,UAL29,"37.616467,-122.373405",0,34,104
1550432099,2019-02-17T19:34:59Z,UAL29,"37.616268,-122.372917",0,34,104
1550432108,2019-02-17T19:35:08Z,UAL29,"37.615917,-122.372063",0,30,104
1550432116,2019-02-17T19:35:16Z,UAL29,"37.615746,-122.371666",0,30,104
1550432128,2019-02-17T19:35:28Z,UAL29,"37.615429,-122.370918",0,27,104
1550432143,2019-02-17T19:35:43Z,UAL29,"37.61507,-122.370079",0,26,104
1550432158,2019-02-17T19:35:58Z,UAL29,"37.614731,-122.369331",0,25,109
1550432165,2019-02-17T19:36:05Z,UAL29,"37.614544,-122.369057",0,24,115
1550432171,2019-02-17T19:36:11Z,UAL29,"37.614372,-122.36882",0,24,118
1550432180,2019-02-17T19:36:20Z,UAL29,"37.614079,-122.368423",0,24,118
1550432190,2019-02-17T19:36:30Z,UAL29,"37.61372,-122.367889",0,23,115
1550432197,2019-02-17T19:36:37Z,UAL29,"37.613579,-122.367615",0,21,109
1550432203,2019-02-17T19:36:43Z,UAL29,"37.61348,-122.367386",0,20,106
1550432209,2019-02-17T19:36:49Z,UAL29,"37.61338,-122.367142",0,21,104
1550432218,2019-02-17T19:36:58Z,UAL29,"37.613232,-122.366768",0,20,104
1550432224,2019-02-17T19:37:04Z,UAL29,"37.613113,-122.366501",0,19,104
1550432237,2019-02-17T19:37:17Z,UAL29,"37.612919,-122.366043",0,19,104
1550432248,2019-02-17T19:37:28Z,UAL29,"37.612736,-122.365593",0,19,104
1550432254,2019-02-17T19:37:34Z,UAL29,"37.612648,-122.365364",0,19,104
1550432267,2019-02-17T19:37:47Z,UAL29,"37.612438,-122.364868",0,21,104
1550432279,2019-02-17T19:37:59Z,UAL29,"37.612209,-122.364349",0,22,104
1550432285,2019-02-17T19:38:05Z,UAL29,"37.61208,-122.364052",0,24,104
1550432297,2019-02-17T19:38:17Z,UAL29,"37.611824,-122.363426",0,24,104
1550432309,2019-02-17T19:38:29Z,UAL29,"37.611591,-122.362854",0,21,104
1550432321,2019-02-17T19:38:41Z,UAL29,"37.61137,-122.36235",0,21,104
1550432327,2019-02-17T19:38:47Z,UAL29,"37.611271,-122.362144",0,18,104
1550432338,2019-02-17T19:38:58Z,UAL29,"37.611137,-122.361794",0,16,104
1550432350,2019-02-17T19:39:10Z,UAL29,"37.610985,-122.361427",0,15,104
1550432362,2019-02-17T19:39:22Z,UAL29,"37.610916,-122.361153",0,13,92
1550432377,2019-02-17T19:39:37Z,UAL29,"37.61116,-122.360992",0,12,22
1550432392,2019-02-17T19:39:52Z,UAL29,"37.611382,-122.36084",0,12,16
1550432418,2019-02-17T19:40:18Z,UAL29,"37.611591,-122.360695",0,2,14
1550432713,2019-02-17T19:45:13Z,UAL29,"37.611649,-122.360649",0,0,23
1550432792,2019-02-17T19:46:32Z,UAL29,"37.611992,-122.36042",0,19,14
1550432800,2019-02-17T19:46:40Z,UAL29,"37.612217,-122.360168",0,20,30
1550432810,2019-02-17T19:46:50Z,UAL29,"37.612209,-122.359779",0,17,73
1550432816,2019-02-17T19:46:56Z,UAL29,"37.612137,-122.359573",0,18,90
