Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551036476,2019-02-24T19:27:56Z,UAL29,"37.61842,-122.391861",0,0,194
1551036580,2019-02-24T19:29:40Z,UAL29,"37.618664,-122.391754",0,11,194
1551036595,2019-02-24T19:29:55Z,UAL29,"37.618938,-122.391594",0,12,208
1551036609,2019-02-24T19:30:09Z,UAL29,"37.619144,-122.391388",0,12,230
1551036651,2019-02-24T19:30:51Z,UAL29,"37.619247,-122.391098",0,2,267
1551036677,2019-02-24T19:31:17Z,UAL29,"37.619305,-122.391319",0,9,272
1551036694,2019-02-24T19:31:34Z,UAL29,"37.619385,-122.391525",0,2,278
1551037141,2019-02-24T19:39:01Z,UAL29,"37.61948,-122.391754",0,9,281
1551037154,2019-02-24T19:39:14Z,UAL29,"37.619556,-122.39196",0,12,281
1551037166,2019-02-24T19:39:26Z,UAL29,"37.619682,-122.392242",0,14,284
1551037177,2019-02-24T19:39:37Z,UAL29,"37.619911,-122.392456",0,16,306
1551037186,2019-02-24T19:39:46Z,UAL29,"37.620155,-122.392426",0,17,345
1551037195,2019-02-24T19:39:55Z,UAL29,"37.620388,-122.392296",0,17,8
1551037205,2019-02-24T19:40:05Z,UAL29,"37.620609,-122.392136",0,17,11
1551037213,2019-02-24T19:40:13Z,UAL29,"37.620842,-122.391983",0,18,14
1551037222,2019-02-24T19:40:22Z,UAL29,"37.621067,-122.3918",0,18,16
1551037240,2019-02-24T19:40:40Z,UAL29,"37.621632,-122.391426",0,19,14
1551037247,2019-02-24T19:40:47Z,UAL29,"37.621841,-122.391304",0,21,11
1551037254,2019-02-24T19:40:54Z,UAL29,"37.622051,-122.391174",0,22,14
1551037261,2019-02-24T19:41:01Z,UAL29,"37.622303,-122.390823",0,23,36
1551037267,2019-02-24T19:41:07Z,UAL29,"37.622383,-122.390488",0,23,53
1551037275,2019-02-24T19:41:15Z,UAL29,"37.622463,-122.390182",0,24,56
1551037283,2019-02-24T19:41:23Z,UAL29,"37.622589,-122.389679",0,23,59
1551037290,2019-02-24T19:41:30Z,UAL29,"37.622646,-122.389259",0,23,70
1551037303,2019-02-24T19:41:43Z,UAL29,"37.62244,-122.388641",0,25,101
1551037311,2019-02-24T19:41:51Z,UAL29,"37.622246,-122.388161",0,24,101
1551037318,2019-02-24T19:41:58Z,UAL29,"37.62212,-122.38784",0,22,104
1551037324,2019-02-24T19:42:04Z,UAL29,"37.622005,-122.387596",0,22,104
1551037332,2019-02-24T19:42:12Z,UAL29,"37.621891,-122.387299",0,22,104
1551037341,2019-02-24T19:42:21Z,UAL29,"37.621704,-122.386856",0,22,104
1551037348,2019-02-24T19:42:28Z,UAL29,"37.621536,-122.386467",0,22,104
1551037358,2019-02-24T19:42:38Z,UAL29,"37.621365,-122.38607",0,23,104
1551037372,2019-02-24T19:42:52Z,UAL29,"37.621063,-122.385353",0,23,104
1551037381,2019-02-24T19:43:01Z,UAL29,"37.620918,-122.385025",0,23,104
1551037388,2019-02-24T19:43:08Z,UAL29,"37.620762,-122.384636",0,23,104
1551037397,2019-02-24T19:43:17Z,UAL29,"37.620586,-122.384186",0,24,104
1551037407,2019-02-24T19:43:27Z,UAL29,"37.620365,-122.383667",0,23,104
1551037416,2019-02-24T19:43:36Z,UAL29,"37.620209,-122.383286",0,24,104
1551037425,2019-02-24T19:43:45Z,UAL29,"37.619934,-122.382668",0,26,104
1551037432,2019-02-24T19:43:52Z,UAL29,"37.619781,-122.382278",0,26,104
1551037438,2019-02-24T19:43:58Z,UAL29,"37.619656,-122.381996",0,25,104
1551037444,2019-02-24T19:44:04Z,UAL29,"37.619511,-122.38166",0,25,104
1551037453,2019-02-24T19:44:13Z,UAL29,"37.619316,-122.381187",0,24,104
1551037460,2019-02-24T19:44:20Z,UAL29,"37.61919,-122.380905",0,23,104
1551037466,2019-02-24T19:44:26Z,UAL29,"37.619072,-122.380608",0,22,104
1551037477,2019-02-24T19:44:37Z,UAL29,"37.618862,-122.380096",0,21,104
1551037484,2019-02-24T19:44:44Z,UAL29,"37.618755,-122.379837",0,20,104
1551037496,2019-02-24T19:44:56Z,UAL29,"37.618538,-122.379341",0,21,104
1551037507,2019-02-24T19:45:07Z,UAL29,"37.618332,-122.378784",0,23,98
1551037517,2019-02-24T19:45:17Z,UAL29,"37.618164,-122.378288",0,25,98
1551037523,2019-02-24T19:45:23Z,UAL29,"37.618061,-122.37793",0,26,95
1551037529,2019-02-24T19:45:29Z,UAL29,"37.617943,-122.377571",0,27,95
1551037537,2019-02-24T19:45:37Z,UAL29,"37.617783,-122.377007",0,28,95
1551037545,2019-02-24T19:45:45Z,UAL29,"37.617668,-122.376625",0,26,95
1551037552,2019-02-24T19:45:52Z,UAL29,"37.617512,-122.376144",0,24,95
1551037559,2019-02-24T19:45:59Z,UAL29,"37.61742,-122.375847",0,19,98
1551037571,2019-02-24T19:46:11Z,UAL29,"37.617317,-122.375488",0,12,95
1551037583,2019-02-24T19:46:23Z,UAL29,"37.617233,-122.375244",0,12,98
1551037654,2019-02-24T19:47:34Z,UAL29,"37.61713,-122.374977",0,15,101
1551037661,2019-02-24T19:47:41Z,UAL29,"37.617039,-122.374763",0,20,101
1551037676,2019-02-24T19:47:56Z,UAL29,"37.616722,-122.374008",0,24,104
1551037684,2019-02-24T19:48:04Z,UAL29,"37.616581,-122.37368",0,26,104
1551037695,2019-02-24T19:48:15Z,UAL29,"37.616272,-122.37291",0,29,104
1551037703,2019-02-24T19:48:23Z,UAL29,"37.616035,-122.372368",0,28,104
1551037710,2019-02-24T19:48:30Z,UAL29,"37.615894,-122.372032",0,27,104
1551037725,2019-02-24T19:48:45Z,UAL29,"37.615513,-122.37114",0,27,104
1551037736,2019-02-24T19:48:56Z,UAL29,"37.615219,-122.37043",0,27,104
1551037753,2019-02-24T19:49:13Z,UAL29,"37.614838,-122.36953",0,30,106
1551037760,2019-02-24T19:49:20Z,UAL29,"37.614487,-122.36898",0,30,115
