Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548996053,2019-02-01T04:40:53Z,UAL2,"11.762375,117.329056",34975,503,52
1548996111,2019-02-01T04:41:51Z,UAL2,"11.843948,117.436745",35000,504,52
1548996148,2019-02-01T04:42:28Z,UAL2,"11.897644,117.507584",34975,504,52
1548996188,2019-02-01T04:43:08Z,UAL2,"11.954243,117.582382",35000,503,52
1548996277,2019-02-01T04:44:37Z,UAL2,"12.080399,117.749344",34975,504,52
1548996341,2019-02-01T04:45:41Z,UAL2,"12.172256,117.870987",34975,503,52
1548996385,2019-02-01T04:46:25Z,UAL2,"12.235016,117.954193",34975,501,52
1548996444,2019-02-01T04:47:24Z,UAL2,"12.3187,118.0653",35000,498,52
1548996545,2019-02-01T04:49:05Z,UAL2,"12.460032,118.253174",35000,498,52
1548996609,2019-02-01T04:50:09Z,UAL2,"12.548401,118.370911",35000,499,52
1548996668,2019-02-01T04:51:08Z,UAL2,"12.63295,118.483665",34975,498,52
1548996734,2019-02-01T04:52:14Z,UAL2,"12.725327,118.60688",35000,498,52
1548996795,2019-02-01T04:53:15Z,UAL2,"12.811249,118.721909",35000,500,52
1548996856,2019-02-01T04:54:16Z,UAL2,"12.897623,118.837425",34975,501,52
1548996917,2019-02-01T04:55:17Z,UAL2,"12.984009,118.95314",34975,500,52
1548996981,2019-02-01T04:56:21Z,UAL2,"13.074149,119.07296",34975,501,52
1548997043,2019-02-01T04:57:23Z,UAL2,"13.161668,119.188263",34975,504,52
1548997107,2019-02-01T04:58:27Z,UAL2,"13.25305,119.308968",34975,505,52
1548997167,2019-02-01T04:59:27Z,UAL2,"13.340568,119.424805",35000,504,52
1548997228,2019-02-01T05:00:28Z,UAL2,"13.427994,119.540581",34975,504,52
1548997293,2019-02-01T05:01:33Z,UAL2,"13.51905,119.661354",35000,504,52
1548997353,2019-02-01T05:02:33Z,UAL2,"13.605927,119.776642",35000,506,52
1548997415,2019-02-01T05:03:35Z,UAL2,"13.692764,119.892097",35000,505,52
1548997426,2019-02-01T05:03:46Z,UAL2,"13.709215,119.913986",34975,505,52
1548997462,2019-02-01T05:04:22Z,UAL2,"13.761307,119.98333",34975,506,52
1548997548,2019-02-01T05:05:48Z,UAL2,"13.884109,120.148476",35000,504,53
1548997608,2019-02-01T05:06:48Z,UAL2,"13.967377,120.26487",35000,504,53
1548997670,2019-02-01T05:07:50Z,UAL2,"14.052864,120.384186",35000,504,53
1548997730,2019-02-01T05:08:50Z,UAL2,"14.136611,120.501083",35000,505,53
1548997792,2019-02-01T05:09:52Z,UAL2,"14.221115,120.619225",34975,503,53
1548997836,2019-02-01T05:10:36Z,UAL2,"14.281388,120.703705",35000,503,53
1548997924,2019-02-01T05:12:04Z,UAL2,"14.402939,120.874092",35000,505,53
1548997986,2019-02-01T05:13:06Z,UAL2,"14.489502,120.99527",35000,506,52
1548998047,2019-02-01T05:14:07Z,UAL2,"14.582861,121.108849",34975,507,48
1548998107,2019-02-01T05:15:07Z,UAL2,"14.677083,121.218613",35000,508,48
1548998167,2019-02-01T05:16:07Z,UAL2,"14.770432,121.327606",34975,508,48
1548998229,2019-02-01T05:17:09Z,UAL2,"14.866597,121.43998",34975,508,48
1548998291,2019-02-01T05:18:11Z,UAL2,"14.96161,121.551117",35000,508,48
1548998352,2019-02-01T05:19:12Z,UAL2,"15.057787,121.663773",34975,508,48
1548998412,2019-02-01T05:20:12Z,UAL2,"15.151794,121.774002",35000,507,48
1548998475,2019-02-01T05:21:15Z,UAL2,"15.247604,121.886658",35000,507,48
1548998535,2019-02-01T05:22:15Z,UAL2,"15.34108,121.996719",34975,508,48
1548998596,2019-02-01T05:23:16Z,UAL2,"15.437374,122.110291",35000,511,48
1548998658,2019-02-01T05:24:18Z,UAL2,"15.533112,122.223145",34975,511,48
1548998716,2019-02-01T05:25:16Z,UAL2,"15.622791,122.329231",34975,511,49
1548998723,2019-02-01T05:25:23Z,UAL2,"15.634506,122.343079",35000,511,49
1548998795,2019-02-01T05:26:35Z,UAL2,"15.747691,122.477158",35000,512,49
1548998885,2019-02-01T05:28:05Z,UAL2,"15.888791,122.644501",34975,513,48
1548998949,2019-02-01T05:29:09Z,UAL2,"15.987993,122.76265",34975,512,49
1548999010,2019-02-01T05:30:10Z,UAL2,"16.083481,122.876343",35000,514,49
1548999050,2019-02-01T05:30:50Z,UAL2,"16.145853,122.950699",34975,513,49
1548999138,2019-02-01T05:32:18Z,UAL2,"16.28334,123.115105",34975,516,49
1548999199,2019-02-01T05:33:19Z,UAL2,"16.378647,123.229111",35000,516,49
1548999260,2019-02-01T05:34:20Z,UAL2,"16.473534,123.342819",35000,514,49
1548999322,2019-02-01T05:35:22Z,UAL2,"16.571526,123.460533",35000,514,49
1548999384,2019-02-01T05:36:24Z,UAL2,"16.667816,123.576385",34975,514,49
1549015918,2019-02-01T10:11:58Z,UAL2,"37,170",38000,601,103
1549016502,2019-02-01T10:21:42Z,UAL2,"37.486893,171.998383",38000,597,108
1549017655,2019-02-01T10:40:55Z,UAL2,"38.307228,175.885025",38000,587,138
1549018240,2019-02-01T10:50:40Z,UAL2,"38.662746,177.811127",38000,574,119
1549018805,2019-02-01T11:00:05Z,UAL2,"38.950001,179.666672",38000,546,125
1549018924,2019-02-01T11:02:04Z,UAL2,"39,180",38000,543,78
1549019392,2019-02-01T11:09:52Z,UAL2,"39.349998,-178.566666",38100,541,70
1549019957,2019-02-01T11:19:17Z,UAL2,"39.75,-176.75",38100,544,77
1549020541,2019-02-01T11:29:01Z,UAL2,"40.133335,-174.916672",38300,548,73
1549021113,2019-02-01T11:38:33Z,UAL2,"40.485916,-173.073654",38300,539,75
1549022846,2019-02-01T12:07:26Z,UAL2,"41.316666,-167.633331",38700,536,102
1549023408,2019-02-01T12:16:48Z,UAL2,"41.533333,-165.766663",38700,539,83
1549024013,2019-02-01T12:26:53Z,UAL2,"41.721645,-163.855072",38800,545,96
1549025144,2019-02-01T12:45:44Z,UAL2,"42.004322,-160.011963",39000,539,91
1549026297,2019-02-01T13:04:57Z,UAL2,"42.110878,-156.259018",39000,532,165
1549027447,2019-02-01T13:24:07Z,UAL2,"42.091663,-152.469467",39000,544,92
1549028031,2019-02-01T13:33:51Z,UAL2,"42.027584,-150.533508",39000,547,100
1549028200,2019-02-01T13:36:40Z,UAL2,"42.005016,-149.986267",39000,553,92
1549028599,2019-02-01T13:43:19Z,UAL2,"41.81448,-148.610687",39000,557,111
1549029181,2019-02-01T13:53:01Z,UAL2,"41.45166,-146.621933",39000,572,116
1549029802,2019-02-01T14:03:22Z,UAL2,"41.055969,-144.619263",39000,576,135
1549030370,2019-02-01T14:12:50Z,UAL2,"40.642849,-142.708786",39000,554,115
1549030954,2019-02-01T14:22:34Z,UAL2,"40.218201,-140.850174",39000,555,111
1549031190,2019-02-01T14:26:30Z,UAL2,"40.016003,-140.031921",39000,553,107
1549031501,2019-02-01T14:31:41Z,UAL2,"39.831024,-138.996216",39000,549,100
1549032068,2019-02-01T14:41:08Z,UAL2,"39.524952,-137.146027",39000,547,101
1549032650,2019-02-01T14:50:50Z,UAL2,"39.185093,-135.30722",39000,546,108
1549033210,2019-02-01T15:00:10Z,UAL2,"38.822659,-133.502747",39000,542,106
1549033787,2019-02-01T15:09:47Z,UAL2,"38.422443,-131.737823",39000,530,105
1549034411,2019-02-01T15:20:11Z,UAL2,"37.957809,-129.834396",39000,532,100
1549034477,2019-02-01T15:21:17Z,UAL2,"37.927139,-129.634171",38975,535,100
1549034538,2019-02-01T15:22:18Z,UAL2,"37.897758,-129.444565",39000,536,100
1549034602,2019-02-01T15:23:22Z,UAL2,"37.867035,-129.248184",38975,536,101
1549034669,2019-02-01T15:24:29Z,UAL2,"37.835129,-129.046936",39000,535,101
1549034734,2019-02-01T15:25:34Z,UAL2,"37.802948,-128.846664",39000,536,101
1549034797,2019-02-01T15:26:37Z,UAL2,"37.771408,-128.651718",39000,534,101
1549034864,2019-02-01T15:27:44Z,UAL2,"37.737991,-128.447311",39000,534,101
1549034929,2019-02-01T15:28:49Z,UAL2,"37.704891,-128.249252",39000,533,101
1549034989,2019-02-01T15:29:49Z,UAL2,"37.673935,-128.065414",38975,534,101
1549035055,2019-02-01T15:30:55Z,UAL2,"37.640415,-127.86689",38975,531,102
1549035119,2019-02-01T15:31:59Z,UAL2,"37.606705,-127.66996",38975,534,102
1549035185,2019-02-01T15:33:05Z,UAL2,"37.572464,-127.472206",39000,534,102
1549035246,2019-02-01T15:34:06Z,UAL2,"37.540283,-127.288437",39000,534,102
1549035311,2019-02-01T15:35:11Z,UAL2,"37.509651,-127.089363",39000,540,93
1549035321,2019-02-01T15:35:21Z,UAL2,"37.508396,-127.057961",38975,541,92
1549035386,2019-02-01T15:36:26Z,UAL2,"37.499874,-126.856148",38975,536,92
1549035446,2019-02-01T15:37:26Z,UAL2,"37.491623,-126.666695",38975,537,93
1549035512,2019-02-01T15:38:32Z,UAL2,"37.482327,-126.463264",39000,530,93
1549035578,2019-02-01T15:39:38Z,UAL2,"37.472809,-126.263359",39000,526,93
1549035637,2019-02-01T15:40:37Z,UAL2,"37.463703,-126.079758",39000,533,93
1549035703,2019-02-01T15:41:43Z,UAL2,"37.453217,-125.875618",38975,533,93
1549035768,2019-02-01T15:42:48Z,UAL2,"37.442661,-125.675476",38975,531,93
1549035830,2019-02-01T15:43:50Z,UAL2,"37.432434,-125.489288",38975,529,93
1549035894,2019-02-01T15:44:54Z,UAL2,"37.421356,-125.28978",39000,526,94
1549035959,2019-02-01T15:45:59Z,UAL2,"37.409939,-125.093674",38375,518,93
1549036019,2019-02-01T15:46:59Z,UAL2,"37.39909,-124.913773",36200,513,94
1549036085,2019-02-01T15:48:05Z,UAL2,"37.387344,-124.719955",33525,514,94
1549036149,2019-02-01T15:49:09Z,UAL2,"37.375351,-124.528275",30750,513,94
1549036215,2019-02-01T15:50:15Z,UAL2,"37.362488,-124.330467",28400,510,94
1549036276,2019-02-01T15:51:16Z,UAL2,"37.350952,-124.153633",26200,508,94
1549036341,2019-02-01T15:52:21Z,UAL2,"37.338245,-123.964058",23775,485,94
1549036402,2019-02-01T15:53:22Z,UAL2,"37.326782,-123.799904",21525,461,95
