Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549074346,2019-02-02T02:25:46Z,UAL2,"1.361606,103.998856",375,197,22
1549074353,2019-02-02T02:25:53Z,UAL2,"1.367157,104.001099",650,200,21
1549074364,2019-02-02T02:26:04Z,UAL2,"1.376999,104.006218",1175,199,34
1549074371,2019-02-02T02:26:11Z,UAL2,"1.381065,104.010223",1375,202,49
1549074378,2019-02-02T02:26:18Z,UAL2,"1.384323,104.015251",1450,209,61
1549074384,2019-02-02T02:26:24Z,UAL2,"1.386652,104.020447",1475,219,67
1549074390,2019-02-02T02:26:30Z,UAL2,"1.389908,104.029213",1575,230,70
1549074396,2019-02-02T02:26:36Z,UAL2,"1.391098,104.032707",1650,234,71
1549074404,2019-02-02T02:26:44Z,UAL2,"1.394053,104.042137",1950,236,72
1549074413,2019-02-02T02:26:53Z,UAL2,"1.39694,104.051468",2150,243,73
1549074420,2019-02-02T02:27:00Z,UAL2,"1.399017,104.058403",2250,250,73
1549074432,2019-02-02T02:27:12Z,UAL2,"1.403229,104.072136",2500,263,73
1549074442,2019-02-02T02:27:22Z,UAL2,"1.407578,104.086243",2800,272,72
1549074449,2019-02-02T02:27:29Z,UAL2,"1.409928,104.093613",3000,275,72
1549074456,2019-02-02T02:27:36Z,UAL2,"1.412201,104.100624",3200,278,72
1549074469,2019-02-02T02:27:49Z,UAL2,"1.417143,104.11615",3650,282,73
1549074480,2019-02-02T02:28:00Z,UAL2,"1.419571,104.131073",4050,287,85
1549074500,2019-02-02T02:28:20Z,UAL2,"1.416504,104.160263",4575,306,101
1549074506,2019-02-02T02:28:26Z,UAL2,"1.414215,104.16864",4600,316,106
1549074512,2019-02-02T02:28:32Z,UAL2,"1.411091,104.177528",4650,325,109
1549074520,2019-02-02T02:28:40Z,UAL2,"1.408127,104.185768",4675,334,109
1549074531,2019-02-02T02:28:51Z,UAL2,"1.401672,104.20369",4750,349,109
1549074542,2019-02-02T02:29:02Z,UAL2,"1.394852,104.222641",4975,359,109
1549074550,2019-02-02T02:29:10Z,UAL2,"1.391602,104.231812",5125,364,109
1549074560,2019-02-02T02:29:20Z,UAL2,"1.384557,104.251396",5575,367,109
1549074572,2019-02-02T02:29:32Z,UAL2,"1.377667,104.270676",6025,369,109
1549074584,2019-02-02T02:29:44Z,UAL2,"1.370865,104.289818",6475,370,109
1549074597,2019-02-02T02:29:57Z,UAL2,"1.36409,104.30899",6900,373,109
1549074610,2019-02-02T02:30:10Z,UAL2,"1.356951,104.329483",7350,376,108
1549074621,2019-02-02T02:30:21Z,UAL2,"1.350082,104.349403",7825,377,108
1549074632,2019-02-02T02:30:32Z,UAL2,"1.343311,104.368698",8275,378,109
1549074646,2019-02-02T02:30:46Z,UAL2,"1.336533,104.38916",8700,380,105
1549074657,2019-02-02T02:30:57Z,UAL2,"1.332275,104.409546",9075,383,98
1549074665,2019-02-02T02:31:05Z,UAL2,"1.330696,104.425285",9350,385,94
1549074671,2019-02-02T02:31:11Z,UAL2,"1.330307,104.436172",9525,387,91
1549074699,2019-02-02T02:31:39Z,UAL2,"1.331406,104.485519",10475,390,88
1549074710,2019-02-02T02:31:50Z,UAL2,"1.331863,104.506798",10900,390,88
1549074723,2019-02-02T02:32:03Z,UAL2,"1.332275,104.52877",11375,390,88
1549074736,2019-02-02T02:32:16Z,UAL2,"1.332687,104.549713",11725,392,88
1549074746,2019-02-02T02:32:26Z,UAL2,"1.333237,104.571175",12050,395,88
1549074781,2019-02-02T02:33:01Z,UAL2,"1.335397,104.633408",12950,401,88
