Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549160536,2019-02-03T02:22:16Z,UAL2,"1.358022,103.997246",275,188,22
1549160543,2019-02-03T02:22:23Z,UAL2,"1.362991,103.999283",525,191,22
1549160549,2019-02-03T02:22:29Z,UAL2,"1.367844,104.001266",775,192,22
1549160555,2019-02-03T02:22:35Z,UAL2,"1.372742,104.003242",1025,192,22
1549160561,2019-02-03T02:22:41Z,UAL2,"1.377667,104.005203",1250,192,21
1549160573,2019-02-03T02:22:53Z,UAL2,"1.388048,104.00927",1500,201,21
1549160579,2019-02-03T02:22:59Z,UAL2,"1.393402,104.011406",1600,208,22
1549160585,2019-02-03T02:23:05Z,UAL2,"1.398988,104.01387",1675,215,25
1549160591,2019-02-03T02:23:11Z,UAL2,"1.404109,104.0168",1750,221,32
1549160602,2019-02-03T02:23:22Z,UAL2,"1.41179,104.023102",1925,226,38
1549160608,2019-02-03T02:23:28Z,UAL2,"1.416864,104.029922",2075,238,59
1549160617,2019-02-03T02:23:37Z,UAL2,"1.420166,104.039688",2225,238,59
1549160643,2019-02-03T02:24:03Z,UAL2,"1.41568,104.069527",2800,277,103
1549160649,2019-02-03T02:24:09Z,UAL2,"1.413698,104.07756",2925,284,104
1549160656,2019-02-03T02:24:16Z,UAL2,"1.410828,104.088898",3075,295,104
1549160662,2019-02-03T02:24:22Z,UAL2,"1.408585,104.097504",3175,302,104
1549160669,2019-02-03T02:24:29Z,UAL2,"1.406479,104.105469",3300,308,104
1549160676,2019-02-03T02:24:36Z,UAL2,"1.404236,104.1138",3450,312,104
1549160689,2019-02-03T02:24:49Z,UAL2,"1.399658,104.131027",3900,317,104
1549160695,2019-02-03T02:24:55Z,UAL2,"1.397461,104.139313",4125,319,104
1549160706,2019-02-03T02:25:06Z,UAL2,"1.393021,104.156212",4600,321,104
1549160719,2019-02-03T02:25:19Z,UAL2,"1.388467,104.173592",5150,321,104
1549160729,2019-02-03T02:25:29Z,UAL2,"1.383812,104.191544",5625,325,104
1549160742,2019-02-03T02:25:42Z,UAL2,"1.379343,104.209114",6100,327,104
1549160754,2019-02-03T02:25:54Z,UAL2,"1.374847,104.226967",6550,330,104
1549160766,2019-02-03T02:26:06Z,UAL2,"1.370407,104.244568",6975,333,104
1549160776,2019-02-03T02:26:16Z,UAL2,"1.365829,104.262863",7500,333,104
1549160790,2019-02-03T02:26:30Z,UAL2,"1.361281,104.280762",8100,330,104
1549160801,2019-02-03T02:26:41Z,UAL2,"1.356766,104.298569",8400,336,103
1549160813,2019-02-03T02:26:53Z,UAL2,"1.352203,104.31675",8725,342,104
1549160826,2019-02-03T02:27:06Z,UAL2,"1.347548,104.33522",9150,344,104
1549160839,2019-02-03T02:27:19Z,UAL2,"1.342987,104.353264",9575,345,104
1549160849,2019-02-03T02:27:29Z,UAL2,"1.337997,104.373146",10075,346,104
1549160861,2019-02-03T02:27:41Z,UAL2,"1.333923,104.391953",10425,349,100
1549160873,2019-02-03T02:27:53Z,UAL2,"1.331534,104.410606",10625,356,95
1549160881,2019-02-03T02:28:01Z,UAL2,"1.330835,104.421211",10750,361,93
1549160907,2019-02-03T02:28:27Z,UAL2,"1.331543,104.467972",11150,380,88
1549160919,2019-02-03T02:28:39Z,UAL2,"1.332092,104.489166",11300,388,88
1549160930,2019-02-03T02:28:50Z,UAL2,"1.332604,104.510902",11500,395,88
1549160944,2019-02-03T02:29:04Z,UAL2,"1.33321,104.533348",11800,399,88
1549160954,2019-02-03T02:29:14Z,UAL2,"1.333832,104.555351",12150,402,87
1549160988,2019-02-03T02:29:48Z,UAL2,"1.342241,104.617218",12925,408,80
1549161021,2019-02-03T02:30:21Z,UAL2,"1.352509,104.678848",13000,402,80
1549161054,2019-02-03T02:30:54Z,UAL2,"1.3629,104.739182",13625,405,80
1549161086,2019-02-03T02:31:26Z,UAL2,"1.373431,104.801422",14475,412,80
1549161120,2019-02-03T02:32:00Z,UAL2,"1.384231,104.863647",15275,420,80
1549161151,2019-02-03T02:32:31Z,UAL2,"1.394211,104.921944",16050,424,80
1549161183,2019-02-03T02:33:03Z,UAL2,"1.409271,104.984329",16650,433,71
1549161192,2019-02-03T02:33:12Z,UAL2,"1.413712,104.996849",16800,434,70
1549161224,2019-02-03T02:33:44Z,UAL2,"1.436829,105.059975",17525,441,70
1549161256,2019-02-03T02:34:16Z,UAL2,"1.459991,105.123146",18250,446,69
1549161319,2019-02-03T02:35:19Z,UAL2,"1.505825,105.247177",19525,457,69
1549161382,2019-02-03T02:36:22Z,UAL2,"1.552734,105.374252",20600,470,69
1549161445,2019-02-03T02:37:25Z,UAL2,"1.600937,105.505249",21900,476,69
1549161506,2019-02-03T02:38:26Z,UAL2,"1.645844,105.630005",23025,480,70
1549161569,2019-02-03T02:39:29Z,UAL2,"1.69368,105.763565",23950,489,70
1549161767,2019-02-03T02:42:47Z,UAL2,"1.966919,106.08934",27875,484,28
1549161832,2019-02-03T02:43:52Z,UAL2,"2.09229,106.156387",28650,491,28
1549161903,2019-02-03T02:45:03Z,UAL2,"2.233795,106.232674",30600,472,28
1549161967,2019-02-03T02:46:07Z,UAL2,"2.3595,106.300156",31425,476,28
1549162254,2019-02-03T02:50:54Z,UAL2,"2.941772,106.605133",31975,495,27
1549162343,2019-02-03T02:52:23Z,UAL2,"3.120908,106.697845",31975,492,27
1549162361,2019-02-03T02:52:41Z,UAL2,"3.15829,106.717216",32000,492,27
1549162457,2019-02-03T02:54:17Z,UAL2,"3.352134,106.81765",31975,491,27
1549162520,2019-02-03T02:55:20Z,UAL2,"3.479004,106.883194",31975,492,27
1549168468,2019-02-03T04:34:28Z,UAL2,"11.875476,117.506248",35000,487,52
1549168528,2019-02-03T04:35:28Z,UAL2,"11.958898,117.616493",35000,487,52
1549168590,2019-02-03T04:36:30Z,UAL2,"12.042847,117.727455",35000,487,52
1549168653,2019-02-03T04:37:33Z,UAL2,"12.130646,117.843712",34975,486,52
1549168714,2019-02-03T04:38:34Z,UAL2,"12.213638,117.953766",35000,487,52
1549168775,2019-02-03T04:39:35Z,UAL2,"12.296866,118.064331",35000,488,52
1549168839,2019-02-03T04:40:39Z,UAL2,"12.385208,118.181633",35000,488,52
