Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549246501,2019-02-04T02:15:01Z,UAL2,"1.330125,103.983582",0,19,202
1549246597,2019-02-04T02:16:37Z,UAL2,"1.329544,103.985321",0,15,22
1549246657,2019-02-04T02:17:37Z,UAL2,"1.354523,103.995834",125,186,22
1549246665,2019-02-04T02:17:45Z,UAL2,"1.359931,103.9981",350,189,22
1549246676,2019-02-04T02:17:56Z,UAL2,"1.369707,104.002884",850,192,32
1549246682,2019-02-04T02:18:02Z,UAL2,"1.373383,104.006126",1050,193,44
1549246688,2019-02-04T02:18:08Z,UAL2,"1.37655,104.010643",1250,196,59
1549246694,2019-02-04T02:18:14Z,UAL2,"1.37897,104.0159",1350,204,67
1549246701,2019-02-04T02:18:21Z,UAL2,"1.380832,104.021446",1425,212,72
1549246707,2019-02-04T02:18:27Z,UAL2,"1.382601,104.027176",1550,217,72
1549246713,2019-02-04T02:18:33Z,UAL2,"1.38451,104.033188",1750,219,72
1549246720,2019-02-04T02:18:40Z,UAL2,"1.386337,104.038895",1975,220,72
1549246730,2019-02-04T02:18:50Z,UAL2,"1.389999,104.050537",2450,220,72
1549246736,2019-02-04T02:18:56Z,UAL2,"1.391865,104.056442",2700,220,72
1549246748,2019-02-04T02:19:08Z,UAL2,"1.395636,104.068375",3100,222,72
1549246756,2019-02-04T02:19:16Z,UAL2,"1.397369,104.073952",3300,223,72
1549246767,2019-02-04T02:19:27Z,UAL2,"1.400431,104.086464",3700,228,81
1549246794,2019-02-04T02:19:54Z,UAL2,"1.3968,104.11544",4375,248,103
1549246800,2019-02-04T02:20:00Z,UAL2,"1.395171,104.122498",4500,254,102
1549246809,2019-02-04T02:20:09Z,UAL2,"1.392838,104.132935",4675,263,102
1549246815,2019-02-04T02:20:15Z,UAL2,"1.391167,104.140305",4800,269,102
1549246821,2019-02-04T02:20:21Z,UAL2,"1.38945,104.147781",4950,273,102
1549246828,2019-02-04T02:20:28Z,UAL2,"1.387815,104.154892",5125,276,103
1549246840,2019-02-04T02:20:40Z,UAL2,"1.384277,104.169998",5525,282,103
1549246849,2019-02-04T02:20:49Z,UAL2,"1.380753,104.1847",5950,285,103
