Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549333146,2019-02-05T02:19:06Z,UAL2,"1.359791,103.998146",375,189,23
1549333156,2019-02-05T02:19:16Z,UAL2,"1.369537,104.002121",900,190,21
1549333163,2019-02-05T02:19:23Z,UAL2,"1.374664,104.00412",1200,190,21
1549333171,2019-02-05T02:19:31Z,UAL2,"1.379654,104.006355",1475,190,26
1549333178,2019-02-05T02:19:38Z,UAL2,"1.386139,104.010933",1825,193,40
1549333184,2019-02-05T02:19:44Z,UAL2,"1.389491,104.014954",2000,196,53
1549333191,2019-02-05T02:19:51Z,UAL2,"1.392105,104.020187",2150,202,67
1549333198,2019-02-05T02:19:58Z,UAL2,"1.394007,104.025612",2350,204,72
1549333205,2019-02-05T02:20:05Z,UAL2,"1.396362,104.033684",2675,204,74
1549333211,2019-02-05T02:20:11Z,UAL2,"1.397871,104.039154",2825,209,74
1549333217,2019-02-05T02:20:17Z,UAL2,"1.399267,104.044456",2950,213,75
1549333223,2019-02-05T02:20:23Z,UAL2,"1.401036,104.05085",3075,219,74
1549333229,2019-02-05T02:20:29Z,UAL2,"1.402725,104.056496",3150,224,73
1549333241,2019-02-05T02:20:41Z,UAL2,"1.406809,104.06913",3250,239,72
1549333253,2019-02-05T02:20:53Z,UAL2,"1.409134,104.081818",3500,250,84
1549333277,2019-02-05T02:21:17Z,UAL2,"1.404481,104.111275",4125,275,106
1549333286,2019-02-05T02:21:26Z,UAL2,"1.401306,104.122551",4400,280,105
1549333293,2019-02-05T02:21:33Z,UAL2,"1.399314,104.130264",4575,283,104
1549333303,2019-02-05T02:21:43Z,UAL2,"1.395543,104.145416",5025,287,103
1549333317,2019-02-05T02:21:57Z,UAL2,"1.391539,104.161522",5525,290,103
1549333329,2019-02-05T02:22:09Z,UAL2,"1.387573,104.177437",5925,295,103
1549333341,2019-02-05T02:22:21Z,UAL2,"1.383486,104.193581",6375,299,104
1549333353,2019-02-05T02:22:33Z,UAL2,"1.379343,104.209587",6750,305,104
1549333366,2019-02-05T02:22:46Z,UAL2,"1.375107,104.226204",7125,311,104
1549333377,2019-02-05T02:22:57Z,UAL2,"1.370911,104.242935",7525,316,104
1549333388,2019-02-05T02:23:08Z,UAL2,"1.366516,104.260254",7800,325,104
1549333400,2019-02-05T02:23:20Z,UAL2,"1.362072,104.277634",8025,337,104
1549333413,2019-02-05T02:23:33Z,UAL2,"1.357417,104.296432",8225,347,103
1549333425,2019-02-05T02:23:45Z,UAL2,"1.352575,104.316086",8475,357,103
1549333437,2019-02-05T02:23:57Z,UAL2,"1.347687,104.335358",8675,367,104
1549333451,2019-02-05T02:24:11Z,UAL2,"1.34238,104.356056",8950,376,104
1549333461,2019-02-05T02:24:21Z,UAL2,"1.337311,104.376259",9350,379,103
1549333474,2019-02-05T02:24:34Z,UAL2,"1.333442,104.396729",9850,379,98
1549333482,2019-02-05T02:24:42Z,UAL2,"1.33168,104.412994",10150,381,94
1549333489,2019-02-05T02:24:49Z,UAL2,"1.331068,104.422348",10300,383,93
1549333515,2019-02-05T02:25:15Z,UAL2,"1.332275,104.470947",11250,387,87
1549333526,2019-02-05T02:25:26Z,UAL2,"1.332825,104.493248",11650,390,88
1549333539,2019-02-05T02:25:39Z,UAL2,"1.333145,104.514572",12075,391,89
1549333574,2019-02-05T02:26:14Z,UAL2,"1.334047,104.574265",13325,391,88
1549333605,2019-02-05T02:26:45Z,UAL2,"1.335434,104.63472",14350,396,88
1549333639,2019-02-05T02:27:19Z,UAL2,"1.336887,104.695778",15275,403,88
1549333669,2019-02-05T02:27:49Z,UAL2,"1.338547,104.752129",16075,407,87
1549333701,2019-02-05T02:28:21Z,UAL2,"1.34285,104.814507",17000,412,85
1549333735,2019-02-05T02:28:55Z,UAL2,"1.346756,104.877426",17725,421,86
1549333768,2019-02-05T02:29:28Z,UAL2,"1.350201,104.943062",18625,425,87
1549333831,2019-02-05T02:30:31Z,UAL2,"1.357315,105.069054",20050,438,86
1549333893,2019-02-05T02:31:33Z,UAL2,"1.36547,105.197594",21275,454,85
1549333957,2019-02-05T02:32:37Z,UAL2,"1.375671,105.33226",22425,468,85
1549334021,2019-02-05T02:33:41Z,UAL2,"1.385834,105.47126",23800,475,86
1549334086,2019-02-05T02:34:46Z,UAL2,"1.398429,105.614082",25400,473,79
1549334117,2019-02-05T02:35:17Z,UAL2,"1.42305,105.677582",26050,472,60
1549334123,2019-02-05T02:35:23Z,UAL2,"1.429779,105.688339",26150,472,57
1549334135,2019-02-05T02:35:35Z,UAL2,"1.446121,105.709427",26350,473,49
1549334141,2019-02-05T02:35:41Z,UAL2,"1.455139,105.719063",26450,473,46
1549334149,2019-02-05T02:35:49Z,UAL2,"1.464386,105.727814",26550,474,42
1549334157,2019-02-05T02:35:57Z,UAL2,"1.480087,105.740616",26675,475,38
1549334164,2019-02-05T02:36:04Z,UAL2,"1.491074,105.74881",26775,476,36
1549334232,2019-02-05T02:37:12Z,UAL2,"1.617004,105.836929",27900,482,35
1549334295,2019-02-05T02:38:15Z,UAL2,"1.736724,105.914505",28800,489,31
