Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549505312,2019-02-07T02:08:32Z,UAL2,"1.356445,103.996674",225,187,22
1549505323,2019-02-07T02:08:43Z,UAL2,"1.366215,104.000656",700,188,21
1549505329,2019-02-07T02:08:49Z,UAL2,"1.371185,104.002632",950,190,21
1549505335,2019-02-07T02:08:55Z,UAL2,"1.376175,104.004539",1150,192,21
1549505341,2019-02-07T02:09:01Z,UAL2,"1.381158,104.006477",1300,196,21
1549505347,2019-02-07T02:09:07Z,UAL2,"1.386292,104.008499",1400,203,21
1549505354,2019-02-07T02:09:14Z,UAL2,"1.391912,104.010696",1500,210,21
1549505366,2019-02-07T02:09:26Z,UAL2,"1.403224,104.015144",1750,221,21
1549505372,2019-02-07T02:09:32Z,UAL2,"1.408905,104.017387",1950,223,21
1549505382,2019-02-07T02:09:42Z,UAL2,"1.420303,104.022369",2425,224,26
1549505390,2019-02-07T02:09:50Z,UAL2,"1.425848,104.025467",2600,227,30
1549505396,2019-02-07T02:09:56Z,UAL2,"1.431473,104.028893",2700,234,31
1549505403,2019-02-07T02:10:03Z,UAL2,"1.437103,104.032524",2800,242,33
1549505410,2019-02-07T02:10:10Z,UAL2,"1.444931,104.038757",3075,248,42
1549505418,2019-02-07T02:10:18Z,UAL2,"1.449921,104.044022",3200,255,48
1549505424,2019-02-07T02:10:24Z,UAL2,"1.456055,104.052956",3425,262,58
1549505432,2019-02-07T02:10:32Z,UAL2,"1.458847,104.058731",3575,268,65
1549505438,2019-02-07T02:10:38Z,UAL2,"1.461594,104.066597",3775,273,72
1549505444,2019-02-07T02:10:44Z,UAL2,"1.463323,104.074242",3950,277,77
1549505451,2019-02-07T02:10:51Z,UAL2,"1.46444,104.086273",4200,287,87
1549505480,2019-02-07T02:11:20Z,UAL2,"1.460129,104.122223",5275,295,105
1549505498,2019-02-07T02:11:38Z,UAL2,"1.450287,104.143684",6050,294,117
1549505508,2019-02-07T02:11:48Z,UAL2,"1.442047,104.159279",6525,298,117
1549505522,2019-02-07T02:12:02Z,UAL2,"1.434693,104.173737",7000,299,116
