Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550371354,2019-02-17T02:42:34Z,UAL2,"1.36084,103.998489",350,192,22
1550371360,2019-02-17T02:42:40Z,UAL2,"1.365692,104.000397",600,195,21
1550371373,2019-02-17T02:42:53Z,UAL2,"1.375809,104.005569",1050,198,33
1550371381,2019-02-17T02:43:01Z,UAL2,"1.381485,104.011482",1275,205,53
1550371387,2019-02-17T02:43:07Z,UAL2,"1.384324,104.016663",1375,212,64
1550371393,2019-02-17T02:43:13Z,UAL2,"1.386566,104.022606",1475,220,70
1550371402,2019-02-17T02:43:22Z,UAL2,"1.389496,104.031448",1700,225,71
1550371409,2019-02-17T02:43:29Z,UAL2,"1.391373,104.037079",1850,230,71
1550371416,2019-02-17T02:43:36Z,UAL2,"1.39357,104.043602",2000,234,71
1550371428,2019-02-17T02:43:48Z,UAL2,"1.397591,104.055824",2350,241,72
1550371439,2019-02-17T02:43:59Z,UAL2,"1.400384,104.069603",2725,249,84
1550371461,2019-02-17T02:44:21Z,UAL2,"1.396133,104.094246",3175,272,105
1550371473,2019-02-17T02:44:33Z,UAL2,"1.391958,104.109001",3675,274,106
1550371483,2019-02-17T02:44:43Z,UAL2,"1.387711,104.12381",4200,275,103
1550371490,2019-02-17T02:44:50Z,UAL2,"1.386139,104.131783",4375,281,100
1550371496,2019-02-17T02:44:56Z,UAL2,"1.384743,104.139549",4525,286,100
1550371509,2019-02-17T02:45:09Z,UAL2,"1.381989,104.155235",4925,291,99
1550371525,2019-02-17T02:45:25Z,UAL2,"1.377502,104.17897",5550,297,101
1550371536,2019-02-17T02:45:36Z,UAL2,"1.373932,104.196152",5700,312,102
1550371549,2019-02-17T02:45:49Z,UAL2,"1.370544,104.2117",5950,322,102
1550371562,2019-02-17T02:46:02Z,UAL2,"1.366588,104.230705",6325,329,101
1550371573,2019-02-17T02:46:13Z,UAL2,"1.362717,104.249176",6525,342,101
1550371585,2019-02-17T02:46:25Z,UAL2,"1.358597,104.268402",6825,351,102
1550371598,2019-02-17T02:46:38Z,UAL2,"1.35453,104.287437",7225,355,101
1550371610,2019-02-17T02:46:50Z,UAL2,"1.350403,104.30732",7700,358,101
1550371622,2019-02-17T02:47:02Z,UAL2,"1.34642,104.32692",8150,361,101
1550371635,2019-02-17T02:47:15Z,UAL2,"1.342753,104.34549",8600,363,100
1550371647,2019-02-17T02:47:27Z,UAL2,"1.338455,104.36644",9075,365,101
1550371658,2019-02-17T02:47:38Z,UAL2,"1.334373,104.386597",9450,369,100
1550371671,2019-02-17T02:47:51Z,UAL2,"1.331766,104.407524",9700,376,95
1550371683,2019-02-17T02:48:03Z,UAL2,"1.330765,104.428078",9950,384,91
1550371694,2019-02-17T02:48:14Z,UAL2,"1.330928,104.448959",10225,389,88
1550371708,2019-02-17T02:48:28Z,UAL2,"1.331772,104.471603",10550,395,87
1550371718,2019-02-17T02:48:38Z,UAL2,"1.332418,104.493858",10875,399,88
1550371730,2019-02-17T02:48:50Z,UAL2,"1.333008,104.516289",11225,403,88
1550371743,2019-02-17T02:49:03Z,UAL2,"1.333582,104.53894",11575,406,88
1550371754,2019-02-17T02:49:14Z,UAL2,"1.334015,104.56131",11950,408,88
1550371766,2019-02-17T02:49:26Z,UAL2,"1.334473,104.584396",12350,410,88
1550371796,2019-02-17T02:49:56Z,UAL2,"1.335709,104.642075",13200,417,88
1550371830,2019-02-17T02:50:30Z,UAL2,"1.337213,104.706291",14175,423,88
1550371865,2019-02-17T02:51:05Z,UAL2,"1.338935,104.777367",15175,430,88
1550371898,2019-02-17T02:51:38Z,UAL2,"1.340658,104.843147",16150,433,88
1550371932,2019-02-17T02:52:12Z,UAL2,"1.342163,104.909332",17175,433,88
1550371966,2019-02-17T02:52:46Z,UAL2,"1.343674,104.976463",18025,437,88
1550372025,2019-02-17T02:53:45Z,UAL2,"1.346663,105.099243",19350,447,88
1550372091,2019-02-17T02:54:51Z,UAL2,"1.350061,105.236855",20675,461,88
1550372152,2019-02-17T02:55:52Z,UAL2,"1.353041,105.368073",21900,470,88
1550372215,2019-02-17T02:56:55Z,UAL2,"1.356262,105.503059",23275,474,88
1550372229,2019-02-17T02:57:09Z,UAL2,"1.357132,105.536713",23650,474,88
1550372294,2019-02-17T02:58:14Z,UAL2,"1.360565,105.679863",24875,478,88
1550372338,2019-02-17T02:58:58Z,UAL2,"1.378226,105.773102",25650,481,61
1550372345,2019-02-17T02:59:05Z,UAL2,"1.385147,105.783676",25850,480,56
1550372351,2019-02-17T02:59:11Z,UAL2,"1.393707,105.794426",26025,479,50
1550372359,2019-02-17T02:59:19Z,UAL2,"1.406157,105.806816",26175,479,42
1550372371,2019-02-17T02:59:31Z,UAL2,"1.427856,105.822037",26350,480,39
1550372433,2019-02-17T03:00:33Z,UAL2,"1.555069,105.887672",27275,489,27
1550372495,2019-02-17T03:01:35Z,UAL2,"1.682072,105.952812",28225,494,27
1550372792,2019-02-17T03:06:32Z,UAL2,"2.272568,106.258743",33325,475,27
1550372816,2019-02-17T03:06:56Z,UAL2,"2.319168,106.282806",33625,475,27
1550373008,2019-02-17T03:10:08Z,UAL2,"2.693419,106.476601",34975,485,27
1550373069,2019-02-17T03:11:09Z,UAL2,"2.822433,106.543411",35000,496,27
1550373080,2019-02-17T03:11:20Z,UAL2,"2.842941,106.554024",35000,496,27
1550373169,2019-02-17T03:12:49Z,UAL2,"3.026642,106.649078",34975,498,27
1550373231,2019-02-17T03:13:51Z,UAL2,"3.151866,106.713943",35000,500,27
1550373245,2019-02-17T03:14:05Z,UAL2,"3.18306,106.730133",35000,500,27
1550373279,2019-02-17T03:14:39Z,UAL2,"3.248508,106.764046",35000,501,27
1550373352,2019-02-17T03:15:52Z,UAL2,"3.403564,106.844322",34975,502,27
1550373389,2019-02-17T03:16:29Z,UAL2,"3.479826,106.883858",34975,501,27
1550379810,2019-02-17T05:03:30Z,UAL2,"15.505806,116.1353",34975,527,47
1550380204,2019-02-17T05:10:04Z,UAL2,"16.161076,116.867798",35000,528,47
1550380512,2019-02-17T05:15:12Z,UAL2,"16.674313,117.446793",35000,531,47
1550380544,2019-02-17T05:15:44Z,UAL2,"16.726219,117.505692",34975,530,47
1550380633,2019-02-17T05:17:13Z,UAL2,"16.875778,117.675812",35000,532,47
1550380697,2019-02-17T05:18:17Z,UAL2,"16.981567,117.796135",35000,533,47
1550380758,2019-02-17T05:19:18Z,UAL2,"17.083603,117.912262",35000,535,47
1550380821,2019-02-17T05:20:21Z,UAL2,"17.189507,118.033134",34975,535,47
1550380882,2019-02-17T05:21:22Z,UAL2,"17.290649,118.148804",35000,535,47
1550380942,2019-02-17T05:22:22Z,UAL2,"17.392181,118.265121",35000,535,47
1550381003,2019-02-17T05:23:23Z,UAL2,"17.493668,118.381783",35000,535,47
1550381067,2019-02-17T05:24:27Z,UAL2,"17.600143,118.504326",34975,536,47
1550381129,2019-02-17T05:25:29Z,UAL2,"17.701395,118.621056",35000,536,47
1550381189,2019-02-17T05:26:29Z,UAL2,"17.80274,118.738029",34975,535,47
1550381253,2019-02-17T05:27:33Z,UAL2,"17.90818,118.859856",35000,535,47
1550381313,2019-02-17T05:28:33Z,UAL2,"18.009109,118.97683",35000,535,47
1550381376,2019-02-17T05:29:36Z,UAL2,"18.115082,119.099892",34975,535,47
1550381439,2019-02-17T05:30:39Z,UAL2,"18.220266,119.222382",35100,537,48
1550381501,2019-02-17T05:31:41Z,UAL2,"18.320938,119.339676",36025,533,48
1550381565,2019-02-17T05:32:45Z,UAL2,"18.425537,119.4618",35975,531,48
1550381625,2019-02-17T05:33:45Z,UAL2,"18.525284,119.578484",36000,532,48
1550381689,2019-02-17T05:34:49Z,UAL2,"18.629879,119.700989",36000,532,48
1550381751,2019-02-17T05:35:51Z,UAL2,"18.734482,119.823906",36000,533,48
1550381813,2019-02-17T05:36:53Z,UAL2,"18.834476,119.941643",36000,533,48
1550381873,2019-02-17T05:37:53Z,UAL2,"18.934479,120.059525",35975,534,48
1550381937,2019-02-17T05:38:57Z,UAL2,"19.039028,120.183136",36000,534,48
1550381996,2019-02-17T05:39:56Z,UAL2,"19.138462,120.300896",36000,534,48
1550382057,2019-02-17T05:40:57Z,UAL2,"19.238022,120.418983",35975,534,48
1550382122,2019-02-17T05:42:02Z,UAL2,"19.343386,120.544243",35975,534,48
1550382182,2019-02-17T05:43:02Z,UAL2,"19.442589,120.662392",36000,534,48
1550382245,2019-02-17T05:44:05Z,UAL2,"19.546463,120.786293",35975,534,48
1550382305,2019-02-17T05:45:05Z,UAL2,"19.645649,120.904991",36000,537,48
1550382369,2019-02-17T05:46:09Z,UAL2,"19.750998,121.031281",35975,539,48
1550382429,2019-02-17T05:47:09Z,UAL2,"19.850479,121.150833",36000,539,48
1550382493,2019-02-17T05:48:13Z,UAL2,"19.955933,121.277733",36000,540,48
1550382555,2019-02-17T05:49:15Z,UAL2,"20.056892,121.399475",36000,541,48
1550382617,2019-02-17T05:50:17Z,UAL2,"20.161606,121.5261",36000,541,48
1550382679,2019-02-17T05:51:19Z,UAL2,"20.261349,121.646919",35975,541,48
1550382719,2019-02-17T05:51:59Z,UAL2,"20.329056,121.729103",36000,542,48
1550382857,2019-02-17T05:54:17Z,UAL2,"20.55691,122.006523",36000,541,48
1550382873,2019-02-17T05:54:33Z,UAL2,"20.583956,122.039581",36000,542,48
1550382997,2019-02-17T05:56:37Z,UAL2,"20.784622,122.284996",36000,542,48
1550383057,2019-02-17T05:57:37Z,UAL2,"20.886475,122.410011",35975,545,49
1550383065,2019-02-17T05:57:45Z,UAL2,"20.899338,122.42585",35975,545,49
1550383175,2019-02-17T05:59:35Z,UAL2,"21.102827,122.621361",36000,536,33
1550383235,2019-02-17T06:00:35Z,UAL2,"21.228239,122.708794",36000,530,33
1550383296,2019-02-17T06:01:36Z,UAL2,"21.353373,122.795967",35975,529,33
1550383358,2019-02-17T06:02:38Z,UAL2,"21.48316,122.886658",36000,528,33
1550383420,2019-02-17T06:03:40Z,UAL2,"21.60317,122.983345",35950,539,41
1550383482,2019-02-17T06:04:42Z,UAL2,"21.723633,123.099861",35000,555,42
1550383543,2019-02-17T06:05:43Z,UAL2,"21.838577,123.211418",35000,559,42
1550383605,2019-02-17T06:06:45Z,UAL2,"21.955524,123.325142",34975,560,42
1550383668,2019-02-17T06:07:48Z,UAL2,"22.078516,123.44503",34975,559,42
1550383732,2019-02-17T06:08:52Z,UAL2,"22.200762,123.564354",35000,559,42
1550383793,2019-02-17T06:09:53Z,UAL2,"22.317097,123.67823",34975,560,42
1550383852,2019-02-17T06:10:52Z,UAL2,"22.431988,123.79084",35000,560,42
1550383914,2019-02-17T06:11:54Z,UAL2,"22.551161,123.908028",35000,559,42
1550383976,2019-02-17T06:12:56Z,UAL2,"22.668274,124.023407",35000,560,42
1550384085,2019-02-17T06:14:45Z,UAL2,"22.87738,124.230202",35000,557,42
1550384146,2019-02-17T06:15:46Z,UAL2,"22.991638,124.34362",34975,556,42
1550384208,2019-02-17T06:16:48Z,UAL2,"23.110626,124.462128",35000,552,42
1550384269,2019-02-17T06:17:49Z,UAL2,"23.224073,124.575043",34975,554,42
1550384331,2019-02-17T06:18:51Z,UAL2,"23.34362,124.694672",35000,557,42
1550384394,2019-02-17T06:19:54Z,UAL2,"23.461945,124.813278",35000,559,42
1550384456,2019-02-17T06:20:56Z,UAL2,"23.582851,124.934708",35000,557,42
1550384518,2019-02-17T06:21:58Z,UAL2,"23.696114,125.048927",34975,557,42
1550384580,2019-02-17T06:23:00Z,UAL2,"23.815102,125.169052",35000,556,42
1550384642,2019-02-17T06:24:02Z,UAL2,"23.931108,125.28653",35000,553,42
1550384709,2019-02-17T06:25:09Z,UAL2,"24.056213,125.413666",34975,553,43
1550384771,2019-02-17T06:26:11Z,UAL2,"24.174362,125.533905",35000,553,43
1550384834,2019-02-17T06:27:14Z,UAL2,"24.292786,125.654755",34975,553,43
1550384894,2019-02-17T06:28:14Z,UAL2,"24.405716,125.770515",35000,555,43
1550384958,2019-02-17T06:29:18Z,UAL2,"24.524185,125.891975",35000,557,43
1550385021,2019-02-17T06:30:21Z,UAL2,"24.643616,126.014709",34975,557,43
1550385081,2019-02-17T06:31:21Z,UAL2,"24.757179,126.132011",34975,559,43
1550385145,2019-02-17T06:32:25Z,UAL2,"24.875931,126.254784",34975,560,43
1550385208,2019-02-17T06:33:28Z,UAL2,"24.996918,126.380516",35000,561,43
1550385268,2019-02-17T06:34:28Z,UAL2,"25.110371,126.499741",35000,565,45
1550385332,2019-02-17T06:35:32Z,UAL2,"25.224609,126.633453",35000,570,46
1550385393,2019-02-17T06:36:33Z,UAL2,"25.333786,126.761375",35000,570,46
1550385455,2019-02-17T06:37:35Z,UAL2,"25.448914,126.895088",35000,570,46
1550385518,2019-02-17T06:38:38Z,UAL2,"25.562668,127.026924",34975,567,46
1550385579,2019-02-17T06:39:39Z,UAL2,"25.673264,127.15551",35000,566,46
1550385643,2019-02-17T06:40:43Z,UAL2,"25.788071,127.289787",35000,571,46
1550385704,2019-02-17T06:41:44Z,UAL2,"25.898081,127.418961",35000,568,46
1550385767,2019-02-17T06:42:47Z,UAL2,"26.012741,127.55381",35000,568,46
1550385831,2019-02-17T06:43:51Z,UAL2,"26.126419,127.688019",35000,572,46
1550385890,2019-02-17T06:44:50Z,UAL2,"26.235123,127.81691",35000,575,46
1550385955,2019-02-17T06:45:55Z,UAL2,"26.351871,127.95565",34975,578,47
1550386018,2019-02-17T06:46:58Z,UAL2,"26.467833,128.093979",34975,577,47
1550386081,2019-02-17T06:48:01Z,UAL2,"26.583563,128.232574",34975,576,47
