Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551147742,2019-02-26T02:22:22Z,UAL2,"1.357773,103.997185",400,187,22
1551147748,2019-02-26T02:22:28Z,UAL2,"1.362817,103.999184",600,191,21
1551147754,2019-02-26T02:22:34Z,UAL2,"1.367798,104.001129",850,192,21
1551147761,2019-02-26T02:22:41Z,UAL2,"1.372696,104.003006",1125,191,21
1551147768,2019-02-26T02:22:48Z,UAL2,"1.377914,104.004959",1325,193,20
1551147778,2019-02-26T02:22:58Z,UAL2,"1.388306,104.00901",1575,204,21
1551147786,2019-02-26T02:23:06Z,UAL2,"1.393821,104.011261",1650,213,22
1551147798,2019-02-26T02:23:18Z,UAL2,"1.405272,104.016136",1750,231,23
1551147809,2019-02-26T02:23:29Z,UAL2,"1.417143,104.021301",2100,238,23
1551147816,2019-02-26T02:23:36Z,UAL2,"1.423335,104.023956",2250,243,23
1551147823,2019-02-26T02:23:43Z,UAL2,"1.429916,104.02684",2425,248,23
1551147834,2019-02-26T02:23:54Z,UAL2,"1.44278,104.032524",2800,255,24
1551147845,2019-02-26T02:24:05Z,UAL2,"1.45634,104.038445",3075,267,23
1551147852,2019-02-26T02:24:12Z,UAL2,"1.462875,104.041832",3275,270,29
1551147860,2019-02-26T02:24:20Z,UAL2,"1.470978,104.048485",3600,270,44
1551147866,2019-02-26T02:24:26Z,UAL2,"1.475784,104.055237",3825,272,58
1551147872,2019-02-26T02:24:32Z,UAL2,"1.478732,104.062119",4000,274,70
1551147878,2019-02-26T02:24:38Z,UAL2,"1.480315,104.070175",4175,278,81
1551147902,2019-02-26T02:25:02Z,UAL2,"1.473312,104.099319",5075,285,116
1551147908,2019-02-26T02:25:08Z,UAL2,"1.469328,104.106964",5325,288,117
1551147923,2019-02-26T02:25:23Z,UAL2,"1.460158,104.125107",5950,289,116
1551147935,2019-02-26T02:25:35Z,UAL2,"1.453079,104.139778",6425,292,115
1551147947,2019-02-26T02:25:47Z,UAL2,"1.446099,104.154366",6875,293,115
1551147961,2019-02-26T02:26:01Z,UAL2,"1.438705,104.172226",7825,280,110
1551147974,2019-02-26T02:26:14Z,UAL2,"1.4328,104.187164",8150,287,112
1551147986,2019-02-26T02:26:26Z,UAL2,"1.425709,104.202431",8325,300,116
1551147998,2019-02-26T02:26:38Z,UAL2,"1.418198,104.217239",8550,310,116
1551148010,2019-02-26T02:26:50Z,UAL2,"1.410141,104.232971",8725,322,116
1551148023,2019-02-26T02:27:03Z,UAL2,"1.401398,104.250198",8800,338,116
1551148034,2019-02-26T02:27:14Z,UAL2,"1.393066,104.267189",8875,351,115
1551148047,2019-02-26T02:27:27Z,UAL2,"1.384277,104.285637",9000,364,115
1551148059,2019-02-26T02:27:39Z,UAL2,"1.376038,104.303825",9225,371,113
1551148071,2019-02-26T02:27:51Z,UAL2,"1.367472,104.32338",9500,378,113
1551148083,2019-02-26T02:28:03Z,UAL2,"1.35886,104.342743",9775,383,113
1551148095,2019-02-26T02:28:15Z,UAL2,"1.350015,104.362442",10000,392,114
1551148106,2019-02-26T02:28:26Z,UAL2,"1.34103,104.382759",10400,393,113
1551148120,2019-02-26T02:28:40Z,UAL2,"1.333603,104.40345",10900,393,106
1551148127,2019-02-26T02:28:47Z,UAL2,"1.330353,104.419136",11200,393,99
1551148135,2019-02-26T02:28:55Z,UAL2,"1.329254,104.430405",11400,395,94
1551148143,2019-02-26T02:29:03Z,UAL2,"1.329346,104.447113",11650,399,87
1551148151,2019-02-26T02:29:11Z,UAL2,"1.33017,104.457634",11800,401,85
1551148160,2019-02-26T02:29:20Z,UAL2,"1.331441,104.474205",11950,406,85
1551148195,2019-02-26T02:29:55Z,UAL2,"1.334198,104.54287",13025,411,88
1551148228,2019-02-26T02:30:28Z,UAL2,"1.335114,104.606186",13950,416,89
1551148260,2019-02-26T02:31:00Z,UAL2,"1.336282,104.670303",14800,422,88
1551148293,2019-02-26T02:31:33Z,UAL2,"1.337679,104.735458",15550,430,88
1551148323,2019-02-26T02:32:03Z,UAL2,"1.339541,104.79612",16200,435,88
1551148359,2019-02-26T02:32:39Z,UAL2,"1.340844,104.863129",16750,446,88
1551148389,2019-02-26T02:33:09Z,UAL2,"1.341934,104.930748",17450,451,91
1551148408,2019-02-26T02:33:28Z,UAL2,"1.338423,104.969391",17950,451,98
1551148414,2019-02-26T02:33:34Z,UAL2,"1.336349,104.980743",18025,453,101
1551148422,2019-02-26T02:33:42Z,UAL2,"1.333256,104.994064",18100,456,103
1551148429,2019-02-26T02:33:49Z,UAL2,"1.328275,105.012489",18225,459,105
1551148495,2019-02-26T02:34:55Z,UAL2,"1.290847,105.148109",19600,467,101
1551148504,2019-02-26T02:35:04Z,UAL2,"1.28801,105.167976",19800,467,95
1551148511,2019-02-26T02:35:11Z,UAL2,"1.287186,105.18087",19925,467,92
1551148520,2019-02-26T02:35:20Z,UAL2,"1.287495,105.200485",20125,466,87
1551148530,2019-02-26T02:35:30Z,UAL2,"1.28973,105.220184",20325,466,81
1551148538,2019-02-26T02:35:38Z,UAL2,"1.293594,105.238922",20575,465,77
1551148548,2019-02-26T02:35:48Z,UAL2,"1.298401,105.258102",20800,465,75
1551148610,2019-02-26T02:36:50Z,UAL2,"1.33429,105.39003",21950,473,76
1551148675,2019-02-26T02:37:55Z,UAL2,"1.368164,105.533455",22900,486,76
1551148713,2019-02-26T02:38:33Z,UAL2,"1.390096,105.612236",23475,488,66
1551148721,2019-02-26T02:38:41Z,UAL2,"1.399453,105.629707",23600,487,59
1551148727,2019-02-26T02:38:47Z,UAL2,"1.406529,105.640175",23675,486,55
1551148735,2019-02-26T02:38:55Z,UAL2,"1.416046,105.65184",23775,486,49
1551148741,2019-02-26T02:39:01Z,UAL2,"1.428818,105.664551",23875,485,43
1551148748,2019-02-26T02:39:08Z,UAL2,"1.439488,105.673225",23975,486,38
1551148756,2019-02-26T02:39:16Z,UAL2,"1.451889,105.681816",24075,486,33
1551148762,2019-02-26T02:39:22Z,UAL2,"1.468918,105.692947",24200,487,33
1551148768,2019-02-26T02:39:28Z,UAL2,"1.480225,105.700439",24300,487,33
