Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551325312,2019-02-28T03:41:52Z,UAL2,"1.380926,103.990997",475,188,22
1551325324,2019-02-28T03:42:04Z,UAL2,"1.391006,103.995003",975,190,21
1551325334,2019-02-28T03:42:14Z,UAL2,"1.40062,103.998817",1400,188,22
1551325342,2019-02-28T03:42:22Z,UAL2,"1.405609,104.000862",1475,195,22
1551325348,2019-02-28T03:42:28Z,UAL2,"1.410919,104.003098",1550,202,23
1551325360,2019-02-28T03:42:40Z,UAL2,"1.421473,104.007713",1700,215,24
1551325366,2019-02-28T03:42:46Z,UAL2,"1.427078,104.010361",1800,221,26
1551325372,2019-02-28T03:42:52Z,UAL2,"1.432755,104.013901",1900,227,35
1551325378,2019-02-28T03:42:58Z,UAL2,"1.437393,104.017891",2025,232,42
1551325384,2019-02-28T03:43:04Z,UAL2,"1.441909,104.022675",2150,237,47
1551325390,2019-02-28T03:43:10Z,UAL2,"1.446238,104.028023",2300,242,52
1551325396,2019-02-28T03:43:16Z,UAL2,"1.449921,104.033638",2450,246,58
1551325405,2019-02-28T03:43:25Z,UAL2,"1.453361,104.043419",2625,256,77
1551325429,2019-02-28T03:43:49Z,UAL2,"1.446099,104.071831",3375,276,117
1551325435,2019-02-28T03:43:55Z,UAL2,"1.442281,104.079071",3625,276,117
1551325443,2019-02-28T03:44:03Z,UAL2,"1.437021,104.089401",4000,278,116
1551325450,2019-02-28T03:44:10Z,UAL2,"1.433762,104.096405",4225,278,114
1551325456,2019-02-28T03:44:16Z,UAL2,"1.431481,104.101616",4400,279,113
1551325464,2019-02-28T03:44:24Z,UAL2,"1.427856,104.110634",4700,279,111
1551325474,2019-02-28T03:44:34Z,UAL2,"1.422455,104.125252",5150,281,109
1551325486,2019-02-28T03:44:46Z,UAL2,"1.417329,104.140213",5575,283,108
1551325497,2019-02-28T03:44:57Z,UAL2,"1.412348,104.154984",5900,286,108
1551325510,2019-02-28T03:45:10Z,UAL2,"1.407228,104.170326",6050,286,108
1551325522,2019-02-28T03:45:22Z,UAL2,"1.4022,104.185341",6175,291,108
1551325536,2019-02-28T03:45:36Z,UAL2,"1.396912,104.201317",6725,289,107
1551325546,2019-02-28T03:45:46Z,UAL2,"1.392151,104.215981",7225,287,107
1551325558,2019-02-28T03:45:58Z,UAL2,"1.387117,104.231415",7625,291,108
1551325572,2019-02-28T03:46:12Z,UAL2,"1.381989,104.246986",8000,294,108
1551325582,2019-02-28T03:46:22Z,UAL2,"1.376678,104.263",8300,302,108
1551325595,2019-02-28T03:46:35Z,UAL2,"1.371289,104.279335",8500,312,107
1551325607,2019-02-28T03:46:47Z,UAL2,"1.366168,104.295013",8650,321,108
1551325618,2019-02-28T03:46:58Z,UAL2,"1.36007,104.313484",8850,332,108
